x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.415810245080e+01,5.459062044457e+00,0.000000000000e+00,1.026928589758e+00,9.868161997239e-04,-3.140100062676e-02,3.124529567930e-03,WALL,8.704430280796e-01,-4.076261311773e-03,8.665775474475e-02,0.000000000000e+00
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.414733073362e+01,5.437518610100e+00,0.000000000000e+00,1.026823914818e+00,8.857889427475e-03,-9.370668211645e-02,9.361349808125e-03,WALL,8.714547823564e-01,-1.216452320284e-02,8.676753424119e-02,0.000000000000e+00
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.412657616837e+01,5.396009479590e+00,0.000000000000e+00,1.026622310261e+00,2.447581149569e-02,-1.545341919038e-01,1.556177096143e-02,WALL,8.734273140022e-01,-2.006899007081e-02,8.698141249318e-02,0.000000000000e+00
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.409590031772e+01,5.334657778298e+00,0.000000000000e+00,1.026324288686e+00,4.759430264093e-02,-2.129246701512e-01,2.170173228805e-02,WALL,8.763318822822e-01,-2.767358546891e-02,8.729558129324e-02,0.000000000000e+00
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.405538266350e+01,5.253622469850e+00,0.000000000000e+00,1.025930504381e+00,7.784878846975e-02,-2.679572874792e-01,2.775735872411e-02,WALL,8.801268036274e-01,-3.486584436991e-02,8.770456384733e-02,0.000000000000e+00
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.400512616080e+01,5.153109464452e+00,0.000000000000e+00,1.025441799148e+00,1.147621831988e-01,-3.187642266232e-01,3.370509638266e-02,WALL,8.847574965125e-01,-4.153875652523e-02,8.820131072527e-02,0.000000000000e+00
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.394525753809e+01,5.033372219029e+00,0.000000000000e+00,1.024859209071e+00,1.577523382189e-01,-3.645441447049e-01,3.952177743038e-02,WALL,8.901571369511e-01,-4.759211209182e-02,8.877737472296e-02,0.000000000000e+00
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.387592585964e+01,4.894708862133e+00,0.000000000000e+00,1.024183966150e+00,2.061413413235e-01,-4.045751621003e-01,4.518474469952e-02,WALL,8.962477264834e-01,-5.293398820386e-02,8.942313714510e-02,0.000000000000e+00
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.379730586122e+01,4.737468865292e+00,0.000000000000e+00,1.023417518890e+00,2.591661214656e-01,-4.382259789063e-01,5.067190867578e-02,WALL,9.029406940649e-01,-5.748191460856e-02,9.012798542079e-02,0.000000000000e+00
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.370959593837e+01,4.562049019589e+00,0.000000000000e+00,1.022561531320e+00,3.159904721981e-01,-4.649658600644e-01,5.596183385041e-02,WALL,9.101381928478e-01,-6.116396592343e-02,9.088055283254e-02,0.000000000000e+00
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,7.361301979042e+01,4.368896723703e+00,0.000000000000e+00,1.021617898041e+00,3.757182957380e-01,-4.843731082049e-01,6.103383170912e-02,WALL,9.177342251341e-01,-6.391995846969e-02,9.166892665252e-02,0.000000000000e+00
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.350782690066e+01,4.158510944187e+00,0.000000000000e+00,1.020588756109e+00,4.374077235646e-01,-4.961416732287e-01,6.586803571263e-02,WALL,9.256159875173e-01,-6.570233116041e-02,9.248085710684e-02,0.000000000000e+00
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,7.339429296589e+01,3.931443074640e+00,0.000000000000e+00,1.019476498334e+00,5.000859076658e-01,-5.000859076658e-01,7.044546822998e-02,WALL,9.336652708516e-01,-6.647684961291e-02,9.330394792288e-02,0.000000000000e+00
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,7.327272091296e+01,3.688298968781e+00,0.000000000000e+00,1.018283783186e+00,5.627644086304e-01,-4.961435657688e-01,7.474812187792e-02,WALL,9.417599404717e-01,-6.622338800078e-02,9.412583082452e-02,0.000000000000e+00
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,7.314344117121e+01,3.429739485285e+00,0.000000000000e+00,1.017013550270e+00,6.244548123982e-01,-4.843768035536e-01,7.875903294367e-02,WALL,9.497756448000e-01,-6.493636541585e-02,9.493433690984e-02,0.000000000000e+00
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,7.300681275679e+01,3.156482656434e+00,0.000000000000e+00,1.015669033672e+00,6.841842919582e-01,-4.649711646711e-01,8.246234332707e-02,WALL,9.575874252972e-01,-6.262505849821e-02,9.571763427696e-02,0.000000000000e+00
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,7.286322354570e+01,2.869304234266e+00,0.000000000000e+00,1.014253772814e+00,7.410108696210e-01,-4.382326066629e-01,8.584335398112e-02,WALL,9.650713863723e-01,-5.931370869390e-02,9.646435051098e-02,0.000000000000e+00
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,7.271309124281e+01,2.569039628472e+00,0.000000000000e+00,1.012771625079e+00,7.940384078113e-01,-4.045827766559e-01,8.888860007507e-02,WALL,9.721065281093e-01,-5.504154873960e-02,9.716369372740e-02,0.000000000000e+00
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,7.255686354567e+01,2.256584234202e+00,0.000000000000e+00,1.011226774619e+00,8.424306428896e-01,-3.645522925917e-01,9.158589319330e-02,WALL,9.785764787025e-01,-4.986250552058e-02,9.780554869080e-02,0.000000000000e+00
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,7.239501888141e+01,1.932894905668e+00,0.000000000000e+00,1.009623743742e+00,8.854244221529e-01,-3.187724068671e-01,9.392437673722e-02,WALL,9.843712673104e-01,-4.384476556228e-02,9.838056698649e-02,0.000000000000e+00
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,7.222806638096e+01,1.598989904771e+00,0.000000000000e+00,1.007967396407e+00,9.223416876771e-01,-2.679650313537e-01,9.589456539396e-02,WALL,9.893890374036e-01,-3.707012438444e-02,9.888024514545e-02,0.000000000000e+00
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,7.205654623624e+01,1.255949615332e+00,0.000000000000e+00,1.006262945962e+00,9.526002649026e-01,-2.129313868206e-01,9.748839538905e-02,WALL,9.935378008033e-01,-2.963311975730e-02,9.929700491166e-02,0.000000000000e+00
-7.817863703751e-02,-4.936004880108e-01,1.564344650402e-01,9.876883405951e-01,7.188102957689e+01,9.049162966379e-01,0.000000000000e+00,1.004515956259e+00,9.757229108207e-01,-1.545393271422e-01,9.869924559205e-02,WALL,9.967369452461e-01,-2.163993266760e-02,9.962425112042e-02,0.000000000000e+00
-4.703093827340e-02,-4.975353574357e-01,9.410831331851e-02,9.955619646031e-01,7.170211801862e+01,5.470931801057e-01,0.000000000000e+00,1.002732338827e+00,9.913449555812e-01,-9.370968860161e-02,9.952197950688e-02,WALL,9.989188178651e-01,-1.320713984588e-02,9.985644361410e-02,0.000000000000e+00
-1.569762988233e-02,-4.995066821071e-01,3.141075907813e-02,9.995065603657e-01,7.152044532188e+01,1.837477866182e-01,0.000000000000e+00,1.000918371029e+00,9.992197870455e-01,-3.140174686347e-02,9.995294254760e-02,WALL,1.000029896510e+00,-4.460310373355e-03,9.998913749425e-02,0.000000000000e+00
1.569762988233e-02,-4.995066821071e-01,-3.141075907813e-02,9.995065603657e-01,7.133702471942e+01,-1.830934183012e-01,0.000000000000e+00,9.990841709054e-01,9.992212539487e-01,3.140179296276e-02,9.998976308376e-02,WALL,1.000031360367e+00,4.450403434483e-03,1.000189131663e-01,0.000000000000e+00
4.703093827340e-02,-4.975353574357e-01,-9.410831331851e-02,9.955619646031e-01,7.115459146596e+01,-5.479599252133e-01,0.000000000000e+00,9.972571444033e-01,9.913492774196e-01,9.371009713562e-02,9.963145985493e-02,WALL,9.989147859026e-01,1.328600815338e-02,9.994451770229e-02,0.000000000000e+00
7.817863703751e-02,-4.936004880108e-01,-1.564344650402e-01,9.876883405951e-01,7.097418553910e+01,-9.087717789367e-01,0.000000000000e+00,9.954478092349e-01,9.757299167882e-01,1.545404367784e-01,9.887914785383e-02,WALL,9.967027974980e-01,2.189112982962e-02,9.976746638529e-02,0.000000000000e+00
1.090178004376e-01,-4.877176029643e-01,-2.181432413965e-01,9.759167619387e-01,7.079647543853e+01,-1.264191980085e+00,0.000000000000e+00,9.936630064188e-01,9.526097111016e-01,2.129334982962e-01,9.773541278255e-02,WALL,9.934340927055e-01,3.013192326148e-02,9.949052802588e-02,0.000000000000e+00
1.394267203850e-01,-4.799099193559e-01,-2.789911060392e-01,9.602936856769e-01,7.062210719485e+01,-1.612928467438e+00,0.000000000000e+00,9.919093849232e-01,9.223532862986e-01,2.679684010647e-01,9.620438601504e-02,WALL,9.891633991108e-01,3.788076421864e-02,9.911772372913e-02,0.000000000000e+00
1.692853867649e-01,-4.702082505459e-01,-3.387379202453e-01,9.408807689542e-01,7.045170536499e+01,-1.953732127160e+00,0.000000000000e+00,9.901934077409e-01,8.854378049073e-01,3.187772249551e-01,9.429175330969e-02,WALL,9.839607315411e-01,4.501803554413e-02,9.865432126058e-02,0.000000000000e+00
1.984759610624e-01,-4.586508845886e-01,-3.971478906348e-01,9.177546256840e-01,7.028587201518e+01,-2.285398826786e+00,0.000000000000e+00,9.885213362373e-01,8.424454585602e-01,3.645587039048e-01,9.200473919678e-02,WALL,9.779102649726e-01,5.143394297124e-02,9.810680698135e-02,0.000000000000e+00
2.268832414167e-01,-4.452834331275e-01,-4.539904997395e-01,8.910065241884e-01,7.012518518942e+01,-2.606772478295e+00,0.000000000000e+00,9.868992109220e-01,7.940542310493e-01,4.045908389983e-01,8.935207707777e-02,WALL,9.711089589442e-01,5.703010352760e-02,9.748284500834e-02,0.000000000000e+00
2.543951172702e-01,-4.301586513865e-01,-5.090414157504e-01,8.607420270039e-01,6.997019816419e+01,-2.916746528755e+00,0.000000000000e+00,9.853328396354e-01,7.410272973205e-01,4.382423219773e-01,8.634398861730e-02,WALL,9.636651005976e-01,6.172105073414e-02,9.679123683521e-02,0.000000000000e+00
2.809030118179e-01,-4.133362299692e-01,-5.620833778521e-01,8.270805742746e-01,6.982143836974e+01,-3.214266117669e+00,0.000000000000e+00,9.838277812305e-01,6.842009172896e-01,4.649824632346e-01,8.299213917417e-02,WALL,9.556965600853e-01,6.543546254309e-02,9.604185553234e-02,0.000000000000e+00
3.063023105103e-01,-3.948825592877e-01,-6.129070536530e-01,7.901550123757e-01,6.967940665626e+01,-3.498329544616e+00,0.000000000000e+00,9.823893347952e-01,6.244712489373e-01,4.843895530402e-01,7.930959429537e-02,WALL,9.473289982968e-01,6.811721169771e-02,9.524557401754e-02,0.000000000000e+00
3.304927739193e-01,-3.748704675493e-01,-6.613118653237e-01,7.501110696305e-01,6.954457673647e+01,-3.767989384207e+00,0.000000000000e+00,9.810225275284e-01,5.627802853144e-01,4.961575629487e-01,7.531077884366e-02,WALL,9.386939403825e-01,6.972621164947e-02,9.441417299521e-02,0.000000000000e+00
3.533789333375e-01,-3.533789333375e-01,-7.071067811865e-01,7.071067811865e-01,6.941739398771e+01,-4.022354881728e+00,0.000000000000e+00,9.797321038914e-01,5.001008949071e-01,5.001008949071e-01,7.101140875678e-02,WALL,9.299267381909e-01,7.023891683108e-02,9.356022463363e-02,0.000000000000e+00
3.748704675493e-01,-3.304927739193e-01,-7.501110696305e-01,6.613118653237e-01,6.929827574187e+01,-4.260591373399e+00,0.000000000000e+00,9.785225172176e-01,4.374215578066e-01,4.961573650960e-01,6.642843909313e-02,WALL,9.211645158772e-01,6.964873300231e-02,9.269695630478e-02,0.000000000000e+00
3.948825592877e-01,-3.063023105103e-01,-7.901550123757e-01,6.129070536530e-01,6.918760986243e+01,-4.481923132282e+00,0.000000000000e+00,9.773979204331e-01,3.757307623892e-01,4.843891801149e-01,6.157999620909e-02,WALL,9.125441114446e-01,6.796603870979e-02,9.183808950257e-02,0.000000000000e+00
4.133362299692e-01,-2.809030118179e-01,-8.270805742746e-01,5.620833778521e-01,6.908575486816e+01,-4.685633120824e+00,0.000000000000e+00,9.763621576331e-01,3.160013933040e-01,4.649819299838e-01,5.648530171689e-02,WALL,9.041999540417e-01,6.521803223431e-02,9.099764290071e-02,0.000000000000e+00
4.301586513865e-01,-2.543951172702e-01,-8.607420270039e-01,5.090414157504e-01,6.899303932273e+01,-4.871064211677e+00,0.000000000000e+00,9.754187593678e-01,2.591754017034e-01,4.382416709314e-01,5.116459699375e-02,WALL,8.962620451207e-01,6.144828733457e-02,9.018971307460e-02,0.000000000000e+00
4.452834331275e-01,-2.268832414167e-01,-8.910065241884e-01,4.539904997395e-01,6.890976158290e+01,-5.037619691334e+00,0.000000000000e+00,9.745709334902e-01,2.061489732351e-01,4.045901405703e-01,4.563906588275e-02,WALL,8.888539712055e-01,5.671611151742e-02,8.942822347742e-02,0.000000000000e+00
4.586508845886e-01,-1.984759610624e-01,-9.177546256840e-01,3.971478906348e-01,6.883618913723e+01,-5.184764582691e+00,0.000000000000e+00,9.738215606427e-01,1.577583297315e-01,3.645579902736e-01,3.993073503959e-02,WALL,8.820910105055e-01,5.109554962011e-02,8.872664784174e-02,0.000000000000e+00
4.702082505459e-01,-1.692853867649e-01,-9.408807689542e-01,3.387379202453e-01,6.877255834885e+01,-5.312026159449e+00,0.000000000000e+00,9.731731902885e-01,1.147666349413e-01,3.187765918137e-01,3.406240365156e-02,WALL,8.760784366694e-01,4.467437741774e-02,8.809772316385e-02,0.000000000000e+00
4.799099193559e-01,-1.394267203850e-01,-9.602936856769e-01,2.789911060392e-01,6.871907433691e+01,-5.418994183322e+00,0.000000000000e+00,9.726280332494e-01,7.785187747263e-02,2.679679198969e-01,2.805753122807e-02,WALL,8.709098422509e-01,3.755266763161e-02,8.755313780671e-02,0.000000000000e+00
4.877176029643e-01,-1.090178004376e-01,-9.759167619387e-01,2.181432413965e-01,6.867591059218e+01,-5.505321672789e+00,0.000000000000e+00,9.721879604633e-01,4.759622224695e-02,2.129332579749e-01,2.194015088012e-02,WALL,8.666657461746e-01,2.984130504105e-02,8.710323332372e-02,0.000000000000e+00
4.936004880108e-01,-7.817863703751e-02,-9.876883405951e-01,1.564344650402e-01,6.864320850265e+01,-5.570725851838e+00,0.000000000000e+00,9.718544972220e-01,2.447681325234e-02,1.545405167464e-01,1.573476467238e-02,WALL,8.634123595638e-01,2.166029446757e-02,8.675671749712e-02,0.000000000000e+00
