step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,1.073012789732e-10,1.569524274515e+02,-7.793565792724e-11,0.000000000000e+00,1.569524274515e+02,0.000000000000e+00,1.073012789732e-10
2,0.000000000000e+00,-8.813330309162e-06,1.302553515003e+02,9.117656562196e-06,1.307274066489e+00,1.289480774339e+02,-5.120310544969e-07,-8.301299254665e-06
3,0.000000000000e+00,-1.352222037860e-05,1.101677932204e+02,1.408532954461e-05,2.447389443542e+00,1.077204037769e+02,-8.298630752128e-07,-1.269235730339e-05
4,0.000000000000e+00,-1.574193327784e-05,9.490849716701e+01,1.657727124360e-05,3.415244327669e+00,9.149325283934e+01,-1.030303695290e-06,-1.471162958255e-05
5,0.000000000000e+00,-1.648524833447e-05,8.321109889752e+01,1.759066058726e-05,4.239711076240e+00,7.897138782128e+01,-1.168265339413e-06,-1.531698299506e-05
6,0.000000000000e+00,-1.637624443595e-05,7.415746251076e+01,1.774859644088e-05,4.949718143605e+00,6.920774436715e+01,-1.271968093845e-06,-1.510427634210e-05
7,0.000000000000e+00,-1.580273489631e-05,6.707820832705e+01,1.743713820629e-05,5.569474284294e+00,6.150873404276e+01,-1.343475585877e-06,-1.445925931043e-05
8,0.000000000000e+00,-1.502760344793e-05,6.148604945608e+01,1.688494573499e-05,6.121148664211e+00,5.536490079187e+01,-1.422613913532e-06,-1.360498953440e-05
9,0.000000000000e+00,-1.416272354672e-05,5.701907557315e+01,1.623544627838e-05,6.618771668960e+00,5.040030390419e+01,-1.482934778321e-06,-1.267978876840e-05
10,0.000000000000e+00,-1.330937773850e-05,5.341002202721e+01,1.556764293920e-05,7.073228048121e+00,4.633679397908e+01,-1.549267434869e-06,-1.176011030363e-05
11,0.000000000000e+00,-1.250520589352e-05,5.046156026239e+01,1.492422306698e-05,7.493634198594e+00,4.296792606379e+01,-1.618610267429e-06,-1.088659562609e-05
12,0.000000000000e+00,-1.177198016297e-05,4.802557881337e+01,1.432499005211e-05,7.886152203450e+00,4.013942660992e+01,-1.692466645470e-06,-1.007951351750e-05
13,0.000000000000e+00,-1.112585937184e-05,4.599024678359e+01,1.377644875100e-05,8.254907328153e+00,3.773533945543e+01,-1.780716451447e-06,-9.345142920392e-06
14,0.000000000000e+00,-1.055225131109e-05,4.427117116847e+01,1.327947573110e-05,8.603203381384e+00,3.566796778708e+01,-1.869207851349e-06,-8.683043459745e-06
15,0.000000000000e+00,-1.004438649471e-05,4.280457112394e+01,1.283030810662e-05,8.934004107296e+00,3.387056701664e+01,-1.956329448105e-06,-8.088057046607e-06
16,0.000000000000e+00,-9.598499313118e-06,4.154135378274e+01,1.242339668522e-05,9.249455181362e+00,3.229189860138e+01,-2.044029180220e-06,-7.554470132898e-06
17,0.000000000000e+00,-9.206253156105e-06,4.044361101845e+01,1.205311835054e-05,9.551259277650e+00,3.089235174080e+01,-2.131273743780e-06,-7.074979412325e-06
18,0.000000000000e+00,-8.862444413490e-06,3.948188364744e+01,1.171407535083e-05,9.840831474138e+00,2.964105217330e+01,-2.219745979901e-06,-6.642698433590e-06
19,0.000000000000e+00,-8.566308381044e-06,3.863324514481e+01,1.140166985966e-05,1.011952937353e+01,2.851371577128e+01,-2.314798482075e-06,-6.251509898969e-06
20,0.000000000000e+00,-8.298572113541e-06,3.787960020125e+01,1.111160926184e-05,1.038852669691e+01,2.749107350434e+01,-2.403099148063e-06,-5.895472965478e-06
