step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,1.000000000000e+00,8.964244873335e-06,7.962932100153e-02,7.207241462674e+00,1.064296186952e+00,1.994714755773e+01,2.123610351249e+01,1.249578509383e+05
2,0.000000000000e+00,3,1.001536235531e+00,8.954998126019e-06,7.363930753835e-02,4.770945610945e+00,3.889098295218e-01,1.784215922654e+01,1.847325746833e+01,1.137542651398e+05
3,0.000000000000e+00,3,1.003074831082e+00,8.949017412464e-06,6.644007399117e-02,3.337211110505e+00,1.784795437953e-01,1.575419938927e+01,1.610490750126e+01,9.779481879380e+04
4,0.000000000000e+00,3,1.004615790278e+00,8.945292447278e-06,6.026992233317e-02,2.463820292637e+00,1.908512129056e-01,1.414407622531e+01,1.435845950480e+01,8.370976112603e+04
5,0.000000000000e+00,3,1.006159116751e+00,8.943374742781e-06,5.531522796046e-02,1.912617087756e+00,1.995488842280e-01,1.293879301053e+01,1.308103009038e+01,7.233435979845e+04
6,0.000000000000e+00,3,1.007704814136e+00,8.942673443391e-06,5.139008933904e-02,1.550367864200e+00,1.854213786117e-01,1.202217793977e+01,1.212325966722e+01,6.402897795735e+04
7,0.000000000000e+00,3,1.009252886077e+00,8.942855639403e-06,4.832421293102e-02,1.300115159317e+00,1.616914014632e-01,1.131831182759e+01,1.139398794948e+01,5.772751153194e+04
8,0.000000000000e+00,3,1.010803336220e+00,8.943788046682e-06,4.583551984067e-02,1.120310325049e+00,1.365997929262e-01,1.075062104887e+01,1.080979687872e+01,5.279227478355e+04
9,0.000000000000e+00,3,1.012356168221e+00,8.945364753625e-06,4.375947330133e-02,9.859602289230e-01,1.149462773876e-01,1.027715369531e+01,1.032507303550e+01,4.881502884306e+04
10,0.000000000000e+00,3,1.013911385737e+00,8.947510674414e-06,4.199773682928e-02,8.815809835633e-01,9.799098524842e-02,9.874474912731e+00,9.914323268677e+00,4.553037566528e+04
11,0.000000000000e+00,3,1.015468992433e+00,8.950202057883e-06,4.046379765963e-02,7.982157853513e-01,8.513092102573e-02,9.523316214349e+00,9.557174517142e+00,4.274704007442e+04
12,0.000000000000e+00,3,1.017028991980e+00,8.953397651607e-06,3.909663511735e-02,7.300343635956e-01,7.553081853808e-02,9.210144560374e+00,9.239423491022e+00,4.032220247508e+04
13,0.000000000000e+00,3,1.018591388054e+00,8.957071326817e-06,3.786578688506e-02,6.731922269642e-01,6.844591661766e-02,8.928301464246e+00,8.953986457004e+00,3.821752422986e+04
14,0.000000000000e+00,3,1.020156184336e+00,8.961182339869e-06,3.674849710079e-02,6.249125278165e-01,6.326488438689e-02,8.672660440999e+00,8.695453276852e+00,3.636830305659e+04
15,0.000000000000e+00,3,1.021723384514e+00,8.965698269552e-06,3.572369124679e-02,5.834373303895e-01,5.934547116682e-02,8.438379115979e+00,8.458808384787e+00,3.472715841797e+04
16,0.000000000000e+00,3,1.023292992281e+00,8.970589804156e-06,3.477628458709e-02,5.474026096454e-01,5.627508114643e-02,8.221982597445e+00,8.240450456405e+00,3.325808710703e+04
17,0.000000000000e+00,3,1.024865011334e+00,8.975830483981e-06,3.389497295127e-02,5.157662720207e-01,5.379210963941e-02,8.020852210813e+00,8.037669282529e+00,3.193313246309e+04
18,0.000000000000e+00,3,1.026439445380e+00,8.981396391184e-06,3.306967679009e-02,4.877374353518e-01,5.180036512573e-02,7.832735639198e+00,7.848147060342e+00,3.073021558084e+04
19,0.000000000000e+00,3,1.028016298126e+00,8.987265880815e-06,3.229319661975e-02,4.627172836361e-01,5.019662684118e-02,7.655981282877e+00,7.670183781385e+00,2.963163706181e+04
20,0.000000000000e+00,3,1.029595573290e+00,8.993419344006e-06,3.156069738416e-02,4.402327721295e-01,4.884018172994e-02,7.489360284495e+00,7.502513165973e+00,2.862302015132e+04
21,0.000000000000e+00,3,1.031177274593e+00,8.999838997972e-06,3.086764772416e-02,4.199051110944e-01,4.765534441571e-02,7.331758367342e+00,7.343992436198e+00,2.769254985994e+04
22,0.000000000000e+00,3,1.032761405761e+00,9.006508699408e-06,3.020996749178e-02,4.014272337413e-01,4.660127522360e-02,7.182200246190e+00,7.193624157638e+00,2.683041470368e+04
23,0.000000000000e+00,3,1.034347970528e+00,9.013413778422e-06,2.958406834734e-02,3.845476941629e-01,4.565440328396e-02,7.039841376151e+00,7.050546296003e+00,2.602838998801e+04
24,0.000000000000e+00,3,1.035936972632e+00,9.020540890811e-06,2.898690005656e-02,3.690602476024e-01,4.479518165128e-02,6.903974129950e+00,6.914037250554e+00,2.527952180724e+04
25,0.000000000000e+00,3,1.037528415818e+00,9.027877886786e-06,2.841582137298e-02,3.547909955333e-01,4.400688488745e-02,6.773985462495e+00,6.783472544459e+00,2.457788389025e+04
26,0.000000000000e+00,3,1.039122303835e+00,9.035413694403e-06,2.786850164155e-02,3.415969705390e-01,4.328183312244e-02,6.649340846586e+00,6.658308505530e+00,2.391838813657e+04
27,0.000000000000e+00,3,1.040718640440e+00,9.043138216264e-06,2.734287348721e-02,3.293560338003e-01,4.261245081088e-02,6.529566740898e+00,6.538063985198e+00,2.329663574317e+04
28,0.000000000000e+00,3,1.042317429393e+00,9.051042325408e-06,2.683682841248e-02,3.179617099495e-01,4.199178645871e-02,6.414182740998e+00,6.422252206929e+00,2.270879661146e+04
29,0.000000000000e+00,3,1.043918674463e+00,9.059118322002e-06,2.634903076749e-02,3.073249624959e-01,4.141554766620e-02,6.302884792956e+00,6.310563751746e+00,2.215331697166e+04
30,0.000000000000e+00,3,1.045522379423e+00,9.067358460969e-06,2.587749605727e-02,2.973659927551e-01,4.088141349754e-02,6.195226190078e+00,6.202547461701e+00,2.162915142677e+04
31,0.000000000000e+00,3,1.047128548051e+00,9.075755020260e-06,2.542155693624e-02,2.880190587475e-01,4.039281150368e-02,6.091065126904e+00,6.098057657416e+00,2.112845069348e+04
32,0.000000000000e+00,3,1.048737184132e+00,9.084301789513e-06,2.498027730269e-02,2.792272647797e-01,3.994420209199e-02,5.990199630210e+00,5.996889112590e+00,2.064809923996e+04
33,0.000000000000e+00,3,1.050348291458e+00,9.092993089260e-06,2.455267526725e-02,2.709415901997e-01,3.952814696256e-02,5.892413807918e+00,5.898823199360e+00,2.018686906139e+04
34,0.000000000000e+00,3,1.051961873823e+00,9.101823848633e-06,2.413786396661e-02,2.631186384206e-01,3.913970890445e-02,5.797513777514e+00,5.803663668033e+00,1.974340196461e+04
35,0.000000000000e+00,3,1.053577935031e+00,9.110789185076e-06,2.373503181413e-02,2.557197156891e-01,3.877383347917e-02,5.705323369210e+00,5.711232273524e+00,1.931634853557e+04
36,0.000000000000e+00,3,1.055196478890e+00,9.119884246150e-06,2.334346001311e-02,2.487099314247e-01,3.842693871788e-02,5.615683622797e+00,5.621368225627e+00,1.890449378388e+04
37,0.000000000000e+00,3,1.056817509214e+00,9.129102930307e-06,2.296250494082e-02,2.420577310787e-01,3.809639310559e-02,5.528452551745e+00,5.533927915493e+00,1.850667017016e+04
38,0.000000000000e+00,3,1.058441029821e+00,9.138457659464e-06,2.259153757574e-02,2.357349317552e-01,3.777975927588e-02,5.443487031466e+00,5.448766806128e+00,1.812193374647e+04
39,0.000000000000e+00,3,1.060067044539e+00,9.147930614735e-06,2.222987317841e-02,2.297145502451e-01,3.747501432540e-02,5.360607430837e+00,5.365703993522e+00,1.774949956692e+04
40,0.000000000000e+00,3,1.061695557199e+00,9.157503520663e-06,2.187691903870e-02,2.239728055316e-01,3.717987933068e-02,5.279668844790e+00,5.284593444275e+00,1.738820863935e+04
41,0.000000000000e+00,3,1.063326571637e+00,9.167173285313e-06,2.153214476178e-02,2.184887585187e-01,3.689321534200e-02,5.200553158901e+00,5.205316055606e+00,1.702783481764e+04
42,0.000000000000e+00,3,1.064960091698e+00,9.176935521948e-06,2.119519657983e-02,2.132433499247e-01,3.661471427318e-02,5.123170570637e+00,5.127781127913e+00,1.672721255298e+04
43,0.000000000000e+00,3,1.066596121230e+00,9.186786878684e-06,2.086568016093e-02,2.082195250578e-01,3.634419977671e-02,5.047422725676e+00,5.051889529646e+00,1.648216972851e+04
44,0.000000000000e+00,3,1.068234664089e+00,9.196724508878e-06,2.054297852228e-02,2.034000902415e-01,3.608082128393e-02,4.973141537343e+00,4.977472469717e+00,1.623417170798e+04
45,0.000000000000e+00,3,1.069875724136e+00,9.206745930076e-06,2.022671540108e-02,1.987709500848e-01,3.582512793979e-02,4.900248812106e+00,4.904451128409e+00,1.599450076968e+04
46,0.000000000000e+00,3,1.071519305238e+00,9.216848838973e-06,1.991674140350e-02,1.943204561833e-01,3.557641194504e-02,4.828714216150e+00,4.832794613742e+00,1.576582864043e+04
47,0.000000000000e+00,3,1.073165411267e+00,9.227031107493e-06,1.961268312434e-02,1.900370612462e-01,3.533395816349e-02,4.758457538429e+00,4.762422217277e+00,1.554464674229e+04
48,0.000000000000e+00,3,1.074814046103e+00,9.237290751569e-06,1.931432639349e-02,1.859109679646e-01,3.509693831812e-02,4.689435803565e+00,4.693290517542e+00,1.532711106388e+04
49,0.000000000000e+00,3,1.076465213630e+00,9.247625905515e-06,1.902145279380e-02,1.819328682701e-01,3.486502386192e-02,4.621602591721e+00,4.625352686003e+00,1.511296978736e+04
50,0.000000000000e+00,3,1.078118917739e+00,9.258034808968e-06,1.873382993592e-02,1.780943056301e-01,3.463753917900e-02,4.554910204355e+00,4.558560657372e+00,1.490229190823e+04
51,0.000000000000e+00,3,1.079775162328e+00,9.268515792613e-06,1.845122613985e-02,1.743876525180e-01,3.441375805596e-02,4.489309082561e+00,4.492864547992e+00,1.469523865884e+04
52,0.000000000000e+00,3,1.081433951298e+00,9.279067267676e-06,1.817338208747e-02,1.708052528645e-01,3.419367179461e-02,4.424741690627e+00,4.428206515304e+00,1.449184251423e+04
53,0.000000000000e+00,3,1.083095288559e+00,9.289687715586e-06,1.790013128468e-02,1.673405140612e-01,3.397631112570e-02,4.361176137918e+00,4.364554382524e+00,1.429212209165e+04
54,0.000000000000e+00,3,1.084759178025e+00,9.300375665156e-06,1.763133057040e-02,1.639872062117e-01,3.376153865277e-02,4.298581928982e+00,4.301877393567e+00,1.409608870290e+04
55,0.000000000000e+00,3,1.086425623617e+00,9.311129604436e-06,1.736684779741e-02,1.607393268639e-01,3.354940136058e-02,4.236931789189e+00,4.240148026564e+00,1.390371314183e+04
56,0.000000000000e+00,3,1.088094629262e+00,9.321947556019e-06,1.710658280352e-02,1.575917386084e-01,3.333985320502e-02,4.176204699100e+00,4.179345047474e+00,1.371492123735e+04
57,0.000000000000e+00,3,1.089766198893e+00,9.332825494958e-06,1.685032357840e-02,1.545390250785e-01,3.313255811581e-02,4.116352923448e+00,4.119420517556e+00,1.352962179312e+04
58,0.000000000000e+00,3,1.091440336449e+00,9.343768990265e-06,1.659794327507e-02,1.515763524226e-01,3.292763172988e-02,4.057349108344e+00,4.060346893832e+00,1.334773250168e+04
59,0.000000000000e+00,3,1.093117045874e+00,9.354779285402e-06,1.634936384241e-02,1.486999785649e-01,3.272509620062e-02,3.999185430358e+00,4.002116193170e+00,1.316918972467e+04
60,0.000000000000e+00,3,1.094796331120e+00,9.365854861520e-06,1.610446982429e-02,1.459055503876e-01,3.252506952129e-02,3.941834314846e+00,3.944700676785e+00,1.299395544411e+04
61,0.000000000000e+00,3,1.096478196143e+00,9.376989780814e-06,1.586312714451e-02,1.431893839384e-01,3.232746968652e-02,3.885265405819e+00,3.888069852437e+00,1.282202363314e+04
62,0.000000000000e+00,3,1.098162644907e+00,9.388182664807e-06,1.562525876964e-02,1.405482887994e-01,3.213230526672e-02,3.829462344206e+00,3.832207236166e+00,1.265339120887e+04
63,0.000000000000e+00,3,1.099849681382e+00,9.399432768636e-06,1.539080767025e-02,1.379789727587e-01,3.193968644233e-02,3.774413243107e+00,3.777100812422e+00,1.248774418500e+04
64,0.000000000000e+00,3,1.101539309541e+00,9.410739410453e-06,1.515966611683e-02,1.354782864791e-01,3.174950935636e-02,3.720092616318e+00,3.722724981369e+00,1.232343358747e+04
65,0.000000000000e+00,3,1.103231533368e+00,9.422101857362e-06,1.493170103225e-02,1.330433851303e-01,3.156167145900e-02,3.666467632480e+00,3.669046815884e+00,1.214702239534e+04
66,0.000000000000e+00,3,1.104926356849e+00,9.433519372099e-06,1.470688491017e-02,1.306716415528e-01,3.137627508716e-02,3.613537563005e+00,3.616065480637e+00,1.197415200054e+04
67,0.000000000000e+00,3,1.106623783978e+00,9.444991223774e-06,1.448517023316e-02,1.283607597864e-01,3.119327504812e-02,3.561293214159e+00,3.563771693365e+00,1.180573939366e+04
68,0.000000000000e+00,3,1.108323818754e+00,9.456516697259e-06,1.426643158100e-02,1.261084418518e-01,3.101258506152e-02,3.509705945499e+00,3.512136739149e+00,1.164856524931e+04
69,0.000000000000e+00,3,1.110026465185e+00,9.468095096707e-06,1.405058753277e-02,1.239122190963e-01,3.083436286448e-02,3.458755688643e+00,3.461140466480e+00,1.150036634228e+04
70,0.000000000000e+00,3,1.111731727282e+00,9.479725748165e-06,1.383762495368e-02,1.217702049437e-01,3.065849156333e-02,3.408441715335e+00,3.410782070526e+00,1.135361288735e+04
71,0.000000000000e+00,3,1.113439609062e+00,9.491408000842e-06,1.362744395342e-02,1.196801233448e-01,3.048524086757e-02,3.358735460034e+00,3.361032918546e+00,1.120770903750e+04
72,0.000000000000e+00,3,1.115150114552e+00,9.503141227732e-06,1.341998463000e-02,1.176402679297e-01,3.031443202053e-02,3.309626966344e+00,3.311882991557e+00,1.106293342509e+04
73,0.000000000000e+00,3,1.116863247781e+00,9.514924825733e-06,1.321520581420e-02,1.156491043427e-01,3.014599579214e-02,3.261110258013e+00,3.263326255982e+00,1.091954485270e+04
74,0.000000000000e+00,3,1.118579012785e+00,9.526758215552e-06,1.301302700278e-02,1.137046494903e-01,2.998029811442e-02,3.213160596196e+00,3.215337917141e+00,1.077778569022e+04
75,0.000000000000e+00,3,1.120297413610e+00,9.538640841495e-06,1.281342265316e-02,1.118056430615e-01,2.981723435949e-02,3.165776857348e+00,3.167916801876e+00,1.063773324581e+04
76,0.000000000000e+00,3,1.122018454302e+00,9.550572171319e-06,1.261631273912e-02,1.099506733203e-01,2.965679144213e-02,3.118940444414e+00,3.121044271232e+00,1.049941554342e+04
77,0.000000000000e+00,3,1.123742138918e+00,9.562551696021e-06,1.242160138781e-02,1.081381102165e-01,2.949903013483e-02,3.072625071371e+00,3.074693996003e+00,1.036282997997e+04
78,0.000000000000e+00,3,1.125468471520e+00,9.574578929030e-06,1.222930799329e-02,1.063668569455e-01,2.934399183880e-02,3.026840846939e+00,3.028876036880e+00,1.022795575862e+04
79,0.000000000000e+00,3,1.127197456176e+00,9.586653406495e-06,1.203939198754e-02,1.046357306689e-01,2.919171876123e-02,2.981579238098e+00,2.983581822674e+00,1.009476046576e+04
80,0.000000000000e+00,3,1.128929096959e+00,9.598774687846e-06,1.185177467654e-02,1.029435241876e-01,2.904217281947e-02,2.936818369453e+00,2.938789447492e+00,9.963205426996e+03
81,0.000000000000e+00,3,1.130663397950e+00,9.610942355812e-06,1.166641550551e-02,1.012890584741e-01,2.889552891682e-02,2.892551082921e+00,2.894491716609e+00,9.833251865722e+03
82,0.000000000000e+00,3,1.132400363236e+00,9.623156016539e-06,1.148329036033e-02,9.967140588938e-02,2.875170379679e-02,2.848773337437e+00,2.850684557027e+00,9.704859681107e+03
83,0.000000000000e+00,3,1.134139996909e+00,9.635415299489e-06,1.130235694849e-02,9.808969527463e-02,2.861078660597e-02,2.805476442508e+00,2.807359253493e+00,9.577988257809e+03
84,0.000000000000e+00,3,1.135882303070e+00,9.647719823553e-06,1.112354823718e-02,9.654282745025e-02,2.847276535262e-02,2.762640389627e+00,2.764495771677e+00,9.452596805481e+03
85,0.000000000000e+00,3,1.137627285823e+00,9.660069294231e-06,1.094682311673e-02,9.502993098933e-02,2.833762097584e-02,2.720257987362e+00,2.722086894148e+00,9.328644492044e+03
86,0.000000000000e+00,3,1.139374949281e+00,9.672463405613e-06,1.077218867679e-02,9.355027936113e-02,2.820535224123e-02,2.678336001388e+00,2.680139357019e+00,9.206090572176e+03
87,0.000000000000e+00,3,1.141125297562e+00,9.684901830632e-06,1.059962115423e-02,9.210315912045e-02,2.807598907982e-02,2.636869618317e+00,2.638648326143e+00,9.084894551251e+03
88,0.000000000000e+00,3,1.142878334790e+00,9.697384240329e-06,1.042905473831e-02,9.068772852421e-02,2.794952343785e-02,2.595837419436e+00,2.597592368578e+00,8.965016291468e+03
89,0.000000000000e+00,3,1.144634065096e+00,9.709908911910e-06,1.026040858636e-02,8.930311274002e-02,2.782594137097e-02,2.555220890160e+00,2.556952952726e+00,8.846416096990e+03
90,0.000000000000e+00,3,1.146392492617e+00,9.722472180031e-06,1.009358523152e-02,8.794861328035e-02,2.770521370784e-02,2.514998354844e+00,2.516708394466e+00,8.729054856854e+03
91,0.000000000000e+00,3,1.148153621497e+00,9.735082384873e-06,9.928674177647e-03,8.662384042978e-02,2.758737104589e-02,2.475194845955e+00,2.476883698680e+00,8.612894072769e+03
92,0.000000000000e+00,3,1.149917455886e+00,9.747738795742e-06,9.765685316843e-03,8.532822956259e-02,2.747245323739e-02,2.435815813720e+00,2.437484295216e+00,8.497895819871e+03
93,0.000000000000e+00,3,1.151683999940e+00,9.760440832436e-06,9.604555886606e-03,8.406099313847e-02,2.736049807591e-02,2.396841915780e+00,2.398490830534e+00,8.384021880234e+03
94,0.000000000000e+00,3,1.153453257821e+00,9.773187914201e-06,9.445143253913e-03,8.282139141752e-02,2.725142999002e-02,2.358235453046e+00,2.359865607624e+00,8.271235199672e+03
95,0.000000000000e+00,3,1.155225233699e+00,9.785979325999e-06,9.287502517782e-03,8.160904401041e-02,2.714518569677e-02,2.320013793136e+00,2.321625972291e+00,8.159499927543e+03
96,0.000000000000e+00,3,1.156999931750e+00,9.798814474602e-06,9.131631676815e-03,8.042352926664e-02,2.704177522982e-02,2.282178587772e+00,2.283773564705e+00,8.048780834728e+03
97,0.000000000000e+00,3,1.158777356155e+00,9.811692830096e-06,8.977527219706e-03,7.926433854222e-02,2.694123069759e-02,2.244729022153e+00,2.246307557786e+00,7.939088281009e+03
98,0.000000000000e+00,3,1.160557511103e+00,9.824613888090e-06,8.825147832311e-03,7.813097455935e-02,2.684350635902e-02,2.207653843464e+00,2.209216693495e+00,7.830427417295e+03
99,0.000000000000e+00,3,1.162340400787e+00,9.837577181893e-06,8.674469281275e-03,7.702310558025e-02,2.674846532900e-02,2.170952042428e+00,2.172499955381e+00,7.722747681879e+03
100,0.000000000000e+00,3,1.164126029410e+00,9.850582276443e-06,8.525469926716e-03,7.594024354759e-02,2.665612933953e-02,2.134617517605e+00,2.136151235265e+00,7.616023699904e+03
101,0.000000000000e+00,3,1.165914401180e+00,9.863628785218e-06,8.378118001672e-03,7.488201911224e-02,2.656643605705e-02,2.098641434657e+00,2.100161697687e+00,7.510239430486e+03
102,0.000000000000e+00,3,1.167705520309e+00,9.876716381805e-06,8.232339522635e-03,7.384789146212e-02,2.647935986933e-02,2.063003996751e+00,2.064511547460e+00,7.405363411587e+03
103,0.000000000000e+00,3,1.169499391020e+00,9.889844815371e-06,8.088192710043e-03,7.283760998637e-02,2.639481978383e-02,2.027721556971e+00,2.029217123771e+00,7.301360011918e+03
104,0.000000000000e+00,3,1.171296017538e+00,9.903014113006e-06,7.945646475060e-03,7.185078138144e-02,2.631276590101e-02,1.992786532989e+00,1.994270843139e+00,7.198196498776e+03
105,0.000000000000e+00,3,1.173095404098e+00,9.916224154305e-06,7.804668315813e-03,7.088705366008e-02,2.623313653793e-02,1.958191452916e+00,1.959665234409e+00,7.095846423377e+03
106,0.000000000000e+00,3,1.174897554940e+00,9.929474639676e-06,7.665229281895e-03,6.994604549977e-02,2.615587891685e-02,1.923928569579e+00,1.925392551108e+00,6.994291633101e+03
107,0.000000000000e+00,3,1.176702474309e+00,9.942765286435e-06,7.527287788989e-03,6.902740372678e-02,2.608091958535e-02,1.889988691511e+00,1.891443605010e+00,6.889291130186e+03
108,0.000000000000e+00,3,1.178510166460e+00,9.956095830372e-06,7.390804714410e-03,6.813083271573e-02,2.600817092009e-02,1.856363873249e+00,1.857810455676e+00,6.773718870935e+03
109,0.000000000000e+00,3,1.180320635652e+00,9.969466027761e-06,7.255840705401e-03,6.725604886362e-02,2.593755658452e-02,1.823070843248e+00,1.824509819014e+00,6.663269706570e+03
