step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,5.000000000000e-01,4.486033898898e-05,7.963639993324e-02,6.906802008754e-01,3.992361716099e-01,1.994892282491e+01,1.996502673404e+01,1.249470669504e+05
2,0.000000000000e+00,3,5.000000000000e-01,4.484682998432e-05,7.142190332168e-02,5.239520648427e-01,3.062919935112e-01,1.786522765621e+01,1.787567623471e+01,1.122432620219e+05
3,0.000000000000e+00,3,5.000000000000e-01,4.486626702117e-05,6.368205681758e-02,4.328290357409e-01,2.554584985219e-01,1.593167269890e+01,1.593972554368e+01,9.899684389326e+04
4,0.000000000000e+00,3,5.000000000000e-01,4.492112861360e-05,5.699083600036e-02,3.881067267055e-01,2.306359967334e-01,1.426405829501e+01,1.427131482356e+01,8.596514077335e+04
5,0.000000000000e+00,3,5.000000000000e-01,4.500166389466e-05,5.151941622497e-02,3.689095896886e-01,2.196997843275e-01,1.289944273380e+01,1.290668971400e+01,7.359230138442e+04
6,0.000000000000e+00,3,5.000000000000e-01,4.509856727691e-05,4.710987734908e-02,3.609160917949e-01,2.148395852545e-01,1.179825183356e+01,1.180581984198e+01,6.205708332428e+04
7,0.000000000000e+00,3,5.000000000000e-01,4.520489761568e-05,4.355884999610e-02,3.563435673335e-01,2.126915035970e-01,1.091024833300e+01,1.091822487746e+01,5.142262643509e+04
8,0.000000000000e+00,3,5.000000000000e-01,4.531381700784e-05,4.071278509227e-02,3.522096562219e-01,2.107261532261e-01,1.019757102715e+01,1.020590856016e+01,4.227887651294e+04
9,0.000000000000e+00,3,5.000000000000e-01,4.541928134312e-05,3.839865766100e-02,3.465697821844e-01,2.065566909376e-01,9.618205358484e+00,9.626740105320e+00,4.092735313390e+04
10,0.000000000000e+00,3,5.000000000000e-01,4.551951637004e-05,3.661050786344e-02,3.390442853647e-01,2.009666068640e-01,9.170078304556e+00,9.178617273069e+00,3.839575722075e+04
11,0.000000000000e+00,3,5.000000000000e-01,4.561227200677e-05,3.526323442345e-02,3.298029841774e-01,1.943585174957e-01,8.832010970602e+00,8.840373664175e+00,3.493094893868e+04
12,0.000000000000e+00,3,5.000000000000e-01,4.569551680216e-05,3.428317891887e-02,3.192358201977e-01,1.872530757991e-01,8.585907157569e+00,8.593948584791e+00,3.161461722303e+04
13,0.000000000000e+00,3,5.000000000000e-01,4.576943358709e-05,3.351835420764e-02,3.083227044054e-01,1.803112857460e-01,8.394157731622e+00,8.401820192866e+00,3.320963541300e+04
14,0.000000000000e+00,3,5.000000000000e-01,4.583309843364e-05,3.286017435870e-02,2.972297650140e-01,1.735656623284e-01,8.229766814077e+00,8.237026901588e+00,3.366558781530e+04
15,0.000000000000e+00,3,5.000000000000e-01,4.588730869200e-05,3.221638356373e-02,2.862738191669e-01,1.670185511286e-01,8.069270994730e+00,8.076138939972e+00,3.286255586335e+04
16,0.000000000000e+00,3,5.000000000000e-01,4.593367670309e-05,3.159017432547e-02,2.762114690649e-01,1.612774063570e-01,7.913156169233e+00,7.919680654877e+00,3.086253030274e+04
17,0.000000000000e+00,3,5.000000000000e-01,4.596362131321e-05,3.095632587905e-02,2.665646687278e-01,1.563397861344e-01,7.755195368558e+00,7.761411749802e+00,2.790627519647e+04
18,0.000000000000e+00,3,5.000000000000e-01,4.592853444032e-05,3.029543679937e-02,2.582470544122e-01,1.520532384834e-01,7.590375832769e+00,7.596350098871e+00,2.601088026201e+04
19,0.000000000000e+00,3,5.000000000000e-01,4.590547824832e-05,2.956170578440e-02,2.509121899853e-01,1.481579226913e-01,7.407553544848e+00,7.413341426872e+00,2.612363676381e+04
20,0.000000000000e+00,3,5.000000000000e-01,4.589466990712e-05,2.876188120172e-02,2.444287883185e-01,1.445496782470e-01,7.207620941068e+00,7.213270195824e+00,2.504989416451e+04
21,0.000000000000e+00,3,5.000000000000e-01,4.589251179845e-05,2.796428072774e-02,2.387383445012e-01,1.412634958228e-01,7.007695248879e+00,7.013239342454e+00,2.333970318096e+04
22,0.000000000000e+00,3,5.000000000000e-01,4.590106790011e-05,2.718503725720e-02,2.336383778664e-01,1.381973431713e-01,6.812177239152e+00,6.817637652526e+00,2.114340898279e+04
23,0.000000000000e+00,3,5.000000000000e-01,4.591268256072e-05,2.643501019420e-02,2.287585650901e-01,1.351850791950e-01,6.624006514984e+00,6.629386593574e+00,2.067170170677e+04
24,0.000000000000e+00,3,5.000000000000e-01,4.592851749035e-05,2.570143122597e-02,2.238874804455e-01,1.321127141852e-01,6.440122469400e+00,6.445418322932e+00,2.092233678523e+04
25,0.000000000000e+00,3,5.000000000000e-01,4.594814982645e-05,2.496676489173e-02,2.187733036305e-01,1.289889279656e-01,6.255238945075e+00,6.260442276808e+00,2.025972445762e+04
26,0.000000000000e+00,3,5.000000000000e-01,4.596820877356e-05,2.432049578742e-02,2.137733208944e-01,1.259580573554e-01,6.092745877881e+00,6.097844560489e+00,1.902239252421e+04
27,0.000000000000e+00,3,5.000000000000e-01,4.598984061091e-05,2.374361217492e-02,2.087852736770e-01,1.230237833758e-01,5.947926883717e+00,5.952908878435e+00,1.736614224838e+04
28,0.000000000000e+00,3,5.000000000000e-01,4.601154775460e-05,2.320909568849e-02,2.037085371027e-01,1.201637051887e-01,5.814103527556e+00,5.818958237983e+00,1.652578130554e+04
29,0.000000000000e+00,3,5.000000000000e-01,4.603164909448e-05,2.270369412844e-02,1.987139252541e-01,1.174079429507e-01,5.687857876875e+00,5.692584170165e+00,1.665793626905e+04
