x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.262355508146e+01,2.389967305773e+00,0.000000000000e+00,1.010764355522e+00,1.134731626402e-03,-3.610774582117e-02,3.601943668094e-03,WALL,-7.459965460067e-03,-3.651009941416e-02,3.715650268836e-03,0.000000000000e+00
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.259939636378e+01,2.341649870412e+00,0.000000000000e+00,1.010511699777e+00,1.023102698505e-02,-1.082329601496e-01,1.084005263097e-02,WALL,1.865565659723e-03,-1.094072083360e-01,1.091105213129e-02,0.000000000000e+00
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.256681064519e+01,2.276478433229e+00,0.000000000000e+00,1.010198455914e+00,2.820413078895e-02,-1.780738734888e-01,1.797838154255e-02,WALL,2.002326366770e-02,-1.803538600737e-01,1.809562739379e-02,0.000000000000e+00
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.251190085905e+01,2.166658860952e+00,0.000000000000e+00,1.009676874163e+00,5.500937896995e-02,-2.460978147062e-01,2.514881474288e-02,WALL,4.711170346476e-02,-2.492926578381e-01,2.530283417379e-02,0.000000000000e+00
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.243885288103e+01,2.020562904917e+00,0.000000000000e+00,1.008985528091e+00,9.009689408325e-02,-3.101155435223e-01,3.221158756187e-02,WALL,8.256716641185e-02,-3.141909334303e-01,3.240440117804e-02,0.000000000000e+00
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.234646983774e+01,1.835796818346e+00,0.000000000000e+00,1.008108263925e+00,1.329669284418e-01,-3.693298517840e-01,3.916162615181e-02,WALL,1.258972732233e-01,-3.742327482828e-01,3.939310539150e-02,0.000000000000e+00
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.223464288109e+01,1.612142905029e+00,0.000000000000e+00,1.007043739848e+00,1.829778902972e-01,-4.228369561519e-01,4.597627056432e-02,WALL,1.764360824628e-01,-4.285107734500e-01,4.624557087773e-02,0.000000000000e+00
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.210496056296e+01,1.352778268774e+00,0.000000000000e+00,1.005807288457e+00,2.393589946652e-01,-4.697684775171e-01,5.262762685579e-02,WALL,2.333892409534e-01,-4.761552203980e-01,5.293317966993e-02,0.000000000000e+00
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.196037664717e+01,1.063610437196e+00,0.000000000000e+00,1.004427116553e+00,3.012378908480e-01,-5.093654558474e-01,5.908877177246e-02,WALL,2.958707335092e-01,-5.164019498975e-01,5.942810022583e-02,0.000000000000e+00
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.180444629336e+01,7.517497295813e-01,0.000000000000e+00,1.002937582317e+00,3.676540842877e-01,-5.409865567081e-01,6.533349913117e-02,WALL,3.629148709457e-01,-5.486002175008e-01,6.570323028198e-02,0.000000000000e+00
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,7.163655494948e+01,4.159670418253e-01,0.000000000000e+00,1.001331143042e+00,4.371463218695e-01,-5.635656423076e-01,7.126720177221e-02,WALL,4.333396908046e-01,-5.720354613499e-01,7.170914323892e-02,0.000000000000e+00
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.146697856311e+01,7.681426907268e-02,0.000000000000e+00,9.997087588373e-01,5.088261605808e-01,-5.771499886554e-01,7.691005763939e-02,WALL,5.057221359181e-01,-5.860706164011e-01,7.737974822318e-02,0.000000000000e+00
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,7.130813347705e+01,-2.408759030396e-01,0.000000000000e+00,9.981954132493e-01,5.840160133331e-01,-5.840160133331e-01,8.258743650708e-02,WALL,5.803336680274e-01,-5.921805652830e-01,8.291058440183e-02,0.000000000000e+00
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,7.111500052246e+01,-6.271418122170e-01,0.000000000000e+00,9.963332358950e-01,6.575665124436e-01,-5.797228630857e-01,8.769438682422e-02,WALL,6.558782743921e-01,-5.889714413102e-01,8.818461277039e-02,0.000000000000e+00
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,7.093432424552e+01,-9.884943661079e-01,0.000000000000e+00,9.946001734659e-01,7.289529491665e-01,-5.654338671876e-01,9.232498112211e-02,WALL,7.285809345011e-01,-5.751140749874e-01,9.289373535178e-02,0.000000000000e+00
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,7.075792727958e+01,-1.341288297984e+00,0.000000000000e+00,9.929029136090e-01,7.985488435092e-01,-5.426932336469e-01,9.666193570287e-02,WALL,7.991354091676e-01,-5.523783002484e-01,9.725941175899e-02,0.000000000000e+00
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,7.058774703501e+01,-1.681648787120e+00,0.000000000000e+00,9.912633217147e-01,8.651959488025e-01,-5.116754577593e-01,1.006716783373e-01,WALL,8.667360983105e-01,-5.212398724484e-01,1.012954298853e-01,0.000000000000e+00
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,7.042145021875e+01,-2.014242419650e+00,0.000000000000e+00,9.896575535234e-01,9.273504012536e-01,-4.725086300376e-01,1.042771017415e-01,WALL,9.298488369597e-01,-4.818923989860e-01,1.049298872658e-01,0.000000000000e+00
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,7.026023065516e+01,-2.336681546824e+00,0.000000000000e+00,9.880963505519e-01,9.838149727930e-01,-4.257347555491e-01,1.074404181562e-01,WALL,9.872136154191e-01,-4.347950650436e-01,1.081161706419e-01,0.000000000000e+00
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,7.010387827932e+01,-2.649386298495e+00,0.000000000000e+00,9.865765029450e-01,1.033863073985e+00,-3.722136099021e-01,1.101688398203e-01,WALL,1.038087082223e+00,-3.808250596861e-01,1.108618509566e-01,0.000000000000e+00
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,6.995254806139e+01,-2.952046734360e+00,0.000000000000e+00,9.850988268292e-01,1.076676217982e+00,-3.128033573282e-01,1.124488869212e-01,WALL,1.081643509069e+00,-3.208623320255e-01,1.131544957511e-01,0.000000000000e+00
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,6.980787918613e+01,-3.241384484881e+00,0.000000000000e+00,9.836790430337e-01,1.111645154334e+00,-2.484821315780e-01,1.142783264028e-01,WALL,1.117368830297e+00,-2.559069674296e-01,1.150025509224e-01,0.000000000000e+00
-7.817863703751e-02,-4.936004880108e-01,1.564344650402e-01,9.876883405951e-01,6.967057827207e+01,-3.515986313000e+00,0.000000000000e+00,9.823254599402e-01,1.138038559099e+00,-1.802476002506e-01,1.156314641237e-01,WALL,1.144472915082e+00,-1.869469975276e-01,1.163754271456e-01,0.000000000000e+00
-4.703093827340e-02,-4.975353574357e-01,9.410831331851e-02,9.955619646031e-01,6.955005169119e+01,-3.757039474771e+00,0.000000000000e+00,9.811299896828e-01,1.155768152080e+00,-1.092522567622e-01,1.165340810936e-01,WALL,1.162681096437e+00,-1.151279513372e-01,1.172811798318e-01,0.000000000000e+00
-1.569762988233e-02,-4.995066821071e-01,3.141075907813e-02,9.995065603657e-01,6.944674903608e+01,-3.963644784982e+00,0.000000000000e+00,9.800976794801e-01,1.165292141940e+00,-3.662078087083e-02,1.170560517219e-01,WALL,1.171613521344e+00,-4.158970199658e-02,1.177066270072e-01,0.000000000000e+00
1.569762988233e-02,-4.995066821071e-01,-3.141075907813e-02,9.995065603657e-01,6.936421811487e+01,-4.128706627401e+00,0.000000000000e+00,9.792670564035e-01,1.164700897471e+00,3.660220026484e-02,1.170166249948e-01,WALL,1.171289259259e+00,3.255837175774e-02,1.176655340857e-01,0.000000000000e+00
4.703093827340e-02,-4.975353574357e-01,-9.410831331851e-02,9.955619646031e-01,6.930382892390e+01,-4.249485009344e+00,0.000000000000e+00,9.786491914287e-01,1.154188673909e+00,1.091029521163e-01,1.164338881834e-01,WALL,1.161914287453e+00,1.060832125297e-01,1.171781206876e-01,0.000000000000e+00
7.817863703751e-02,-4.936004880108e-01,-1.564344650402e-01,9.876883405951e-01,6.926612929248e+01,-4.324884272181e+00,0.000000000000e+00,9.782495670112e-01,1.135400941954e+00,1.798298427354e-01,1.154595014382e-01,WALL,1.143213563509e+00,1.778511334200e-01,1.162038633094e-01,0.000000000000e+00
1.090178004376e-01,-4.877176029643e-01,-2.181432413965e-01,9.759167619387e-01,6.925166749289e+01,-4.353807871356e+00,0.000000000000e+00,9.780781464322e-01,1.108129249236e+00,2.476962336772e-01,1.140473722668e-01,WALL,1.115876800257e+00,2.467092121598e-01,1.147855065421e-01,0.000000000000e+00
1.394267203850e-01,-4.799099193559e-01,-2.789911060392e-01,9.602936856769e-01,6.925827878925e+01,-4.340585278640e+00,0.000000000000e+00,9.781057978877e-01,1.072822092448e+00,3.116836303515e-01,1.122061566085e-01,WALL,1.080145796605e+00,3.116498653490e-01,1.129122234683e-01,0.000000000000e+00
1.692853867649e-01,-4.702082505459e-01,-3.387379202453e-01,9.408807689542e-01,6.928866723080e+01,-4.279808395547e+00,0.000000000000e+00,9.783672967317e-01,1.029318115641e+00,3.705773242136e-01,1.098679108280e-01,WALL,1.036379413497e+00,3.714723994739e-01,1.105661346542e-01,0.000000000000e+00
1.984759610624e-01,-4.586508845886e-01,-3.971478906348e-01,9.177546256840e-01,6.934264814626e+01,-4.171846564630e+00,0.000000000000e+00,9.788550969382e-01,9.786368808843e-01,4.234939950871e-01,1.070754653074e-01,WALL,9.852884660787e-01,4.252541981374e-01,1.077593992495e-01,0.000000000000e+00
2.268832414167e-01,-4.452834331275e-01,-4.539904997395e-01,8.910065241884e-01,6.942227901174e+01,-4.012584833654e+00,0.000000000000e+00,9.795917121008e-01,9.216829810677e-01,4.696209352199e-01,1.038507850951e-01,WALL,9.277519910171e-01,4.722501019312e-01,1.045145158391e-01,0.000000000000e+00
