step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,1.183291357832e-30,0.000000000000e+00,4.683861624750e-31,0.000000000000e+00,0.000000000000e+00,1.183291357832e-30,0.000000000000e+00
2,0.000000000000e+00,-2.285639579807e-07,3.326471471101e-01,-1.257753138436e-07,3.326471471101e-01,0.000000000000e+00,-2.285639579807e-07,0.000000000000e+00
3,0.000000000000e+00,-2.063851525864e-06,5.856801194873e-01,-1.503082767865e-06,5.856801194873e-01,0.000000000000e+00,-2.063851525864e-06,0.000000000000e+00
4,0.000000000000e+00,-6.959636797052e-06,7.675891517306e-01,-5.219002876968e-06,7.675891517306e-01,0.000000000000e+00,-6.959636797052e-06,0.000000000000e+00
5,0.000000000000e+00,-9.607995900345e-06,8.894967952189e-01,-7.171693642742e-06,8.894967952189e-01,0.000000000000e+00,-9.607995900345e-06,0.000000000000e+00
6,0.000000000000e+00,-7.038719856085e-06,9.635252882605e-01,-5.272208762273e-06,9.635252882605e-01,0.000000000000e+00,-7.038719856085e-06,0.000000000000e+00
7,0.000000000000e+00,-3.893595303959e-06,1.001305141632e+00,-2.895664578642e-06,1.001305141632e+00,0.000000000000e+00,-3.893595303959e-06,0.000000000000e+00
8,0.000000000000e+00,-2.008659207927e-06,1.013187515085e+00,-1.558664493370e-06,1.013187515085e+00,0.000000000000e+00,-2.008659207927e-06,0.000000000000e+00
9,0.000000000000e+00,-8.699382893426e-07,1.008306174887e+00,-7.096298155068e-07,1.008306174887e+00,0.000000000000e+00,-8.699382893426e-07,0.000000000000e+00
10,0.000000000000e+00,-1.919499892651e-06,9.927900744070e-01,-1.474243937474e-06,9.927900744070e-01,0.000000000000e+00,-1.919499892651e-06,0.000000000000e+00
11,0.000000000000e+00,-6.083599799825e-07,9.699010774405e-01,-5.574754988564e-07,9.699010774405e-01,0.000000000000e+00,-6.083599799825e-07,0.000000000000e+00
12,0.000000000000e+00,2.016626484292e-07,9.454081135743e-01,2.372266122170e-08,9.454081135743e-01,0.000000000000e+00,2.016626484292e-07,0.000000000000e+00
13,0.000000000000e+00,3.157191025768e-07,9.240388782636e-01,1.570638484810e-07,9.240388782636e-01,0.000000000000e+00,3.157191025768e-07,0.000000000000e+00
14,0.000000000000e+00,4.501477086846e-07,9.084953648985e-01,2.790103710822e-07,9.084953648985e-01,0.000000000000e+00,4.501477086846e-07,0.000000000000e+00
15,0.000000000000e+00,4.285703146360e-07,8.998387490823e-01,2.881330344552e-07,8.998387490823e-01,0.000000000000e+00,4.285703146360e-07,0.000000000000e+00
16,0.000000000000e+00,2.914217501811e-07,8.974747543365e-01,2.018945703891e-07,8.974747543365e-01,0.000000000000e+00,2.914217501811e-07,0.000000000000e+00
17,0.000000000000e+00,1.297562544061e-07,8.996833162773e-01,9.366055900382e-08,8.996833162773e-01,0.000000000000e+00,1.297562544061e-07,0.000000000000e+00
18,0.000000000000e+00,1.228238240107e-08,9.043270524417e-01,1.589389644549e-08,9.043270524417e-01,0.000000000000e+00,1.228238240107e-08,0.000000000000e+00
19,0.000000000000e+00,-8.729657181503e-08,9.094976164488e-01,-4.641518930749e-08,9.094976164488e-01,0.000000000000e+00,-8.729657181503e-08,0.000000000000e+00
