step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,1.000000000000e+00,3.387578149714e-07,8.094051672998e-01,3.296601313394e+00,4.323101455655e+00,9.033861011761e+01,9.050567054678e+01,2.230577558577e+07
2,0.000000000000e+00,3,1.002305238078e+00,3.449724372566e-07,6.477833540303e-01,1.779686118729e+00,2.572036830235e+00,7.268208787798e+01,7.275223830036e+01,1.801858035263e+07
3,0.000000000000e+00,3,1.004615790278e+00,3.501462578838e-07,5.235280840429e-01,1.526165178965e+00,2.151715589814e+00,5.889632616515e+01,5.895769990035e+01,1.400785581161e+07
4,0.000000000000e+00,3,1.006931668852e+00,3.538775078172e-07,4.337005193662e-01,1.497231641999e+00,2.031775193565e+00,4.879916498888e+01,4.886631163470e+01,1.037539120245e+07
5,0.000000000000e+00,3,1.009252886077e+00,3.569828384385e-07,3.694245006844e-01,1.481644362217e+00,1.937570764202e+00,4.152776879977e+01,4.160097963307e+01,7.238791755454e+06
6,0.000000000000e+00,3,1.011579454260e+00,3.599655608156e-07,3.249962855274e-01,1.434528113302e+00,1.822371293023e+00,3.649097676344e+01,3.656604867597e+01,5.785313700888e+06
7,0.000000000000e+00,3,1.013911385737e+00,3.627152179520e-07,2.969363769349e-01,1.345078994912e+00,1.676191192138e+00,3.331910696402e+01,3.338966778072e+01,4.746654631642e+06
8,0.000000000000e+00,3,1.016248692871e+00,3.651384184305e-07,2.790840848519e-01,1.236835847078e+00,1.520692010482e+00,3.133469928367e+01,3.139718990973e+01,4.720544208289e+06
9,0.000000000000e+00,3,1.018591388054e+00,3.671953011936e-07,2.644995844748e-01,1.124125401124e+00,1.374956317959e+00,2.973880340756e+01,2.979296143282e+01,4.473712491025e+06
10,0.000000000000e+00,3,1.020939483708e+00,3.684881058567e-07,2.509058341247e-01,1.020363222049e+00,1.249903364242e+00,2.825281794958e+01,2.829996599565e+01,3.557535720099e+06
11,0.000000000000e+00,3,1.023292992281e+00,3.687055579481e-07,2.352320516257e-01,9.404391946552e-01,1.150248556352e+00,2.651357386954e+01,2.655621266435e+01,3.269721651865e+06
12,0.000000000000e+00,3,1.025651926251e+00,3.693991626043e-07,2.176372692401e-01,8.812557994849e-01,1.073415004864e+00,2.453126100607e+01,2.457150715943e+01,2.824117335477e+06
13,0.000000000000e+00,3,1.028016298126e+00,3.704743150254e-07,1.994142652124e-01,8.338939534565e-01,1.004429397479e+00,2.246683816453e+01,2.250561798086e+01,2.446226450526e+06
14,0.000000000000e+00,3,1.030386120442e+00,3.717100126190e-07,1.827873289419e-01,7.852919755507e-01,9.365288879865e-01,2.057808399850e+01,2.061515758130e+01,2.261275933467e+06
15,0.000000000000e+00,3,1.032761405761e+00,3.730875660180e-07,1.694871251909e-01,7.343590354937e-01,8.666767522442e-01,1.907833472811e+01,1.911287507596e+01,1.843951054089e+06
16,0.000000000000e+00,3,1.035142166679e+00,3.744093992720e-07,1.582096108714e-01,6.796717338148e-01,7.990025374548e-01,1.781327906373e+01,1.784483959031e+01,1.718838368616e+06
17,0.000000000000e+00,3,1.037528415818e+00,3.756447624413e-07,1.478152200750e-01,6.303712188803e-01,7.383905594068e-01,1.664612480216e+01,1.667506847842e+01,1.477913546617e+06
18,0.000000000000e+00,3,1.039920165829e+00,3.762544566769e-07,1.378552100680e-01,5.869760491452e-01,6.848708916268e-01,1.552688996001e+01,1.555367817944e+01,1.298695607328e+06
19,0.000000000000e+00,3,1.042317429393e+00,3.769802739088e-07,1.280792327151e-01,5.492694972639e-01,6.377292269964e-01,1.442362812221e+01,1.444873171061e+01,1.170846467246e+06
20,0.000000000000e+00,3,1.044720219221e+00,3.778362363334e-07,1.191375932152e-01,5.152211892043e-01,5.940808900569e-01,1.341515269473e+01,1.343870903647e+01,9.690259950132e+05
21,0.000000000000e+00,3,1.047128548051e+00,3.787793005193e-07,1.109428561688e-01,4.824062754374e-01,5.533099545457e-01,1.249110309737e+01,1.251314639197e+01,9.077592219233e+05
22,0.000000000000e+00,3,1.049542428652e+00,3.797581910726e-07,1.035846871603e-01,4.519394161493e-01,5.152595759563e-01,1.166224812881e+01,1.168282940353e+01,7.627437802899e+05
23,0.000000000000e+00,3,1.051961873823e+00,3.807390186647e-07,9.684850251300e-02,4.227023337215e-01,4.799390214604e-01,1.090433258655e+01,1.092350069885e+01,6.983819414444e+05
24,0.000000000000e+00,3,1.054386896391e+00,3.815713317070e-07,9.058785695829e-02,3.965229817799e-01,4.478590821261e-01,1.019917117568e+01,1.021709875958e+01,6.121764294416e+05
25,0.000000000000e+00,3,1.056817509214e+00,3.824303734272e-07,8.477069630123e-02,3.721448043059e-01,4.182231215446e-01,9.544005717169e+00,9.560786240424e+00,5.327537594490e+05
26,0.000000000000e+00,3,1.059253725177e+00,3.833234367300e-07,7.936715419616e-02,3.498074094581e-01,3.911657014266e-01,8.934938874499e+00,8.950687552690e+00,4.844773519882e+05
27,0.000000000000e+00,3,1.061695557199e+00,3.842377433285e-07,7.438580212375e-02,3.291934621718e-01,3.660703141548e-01,8.373562165774e+00,8.388352186341e+00,4.041656797620e+05
28,0.000000000000e+00,3,1.064143018224e+00,3.851592055879e-07,6.980027905571e-02,3.097485464465e-01,3.429207086953e-01,7.856775062907e+00,7.870662312827e+00,3.880353590979e+05
29,0.000000000000e+00,3,1.066596121230e+00,3.860783633054e-07,6.556711847942e-02,2.920373008892e-01,3.215631844612e-01,7.379619720560e+00,7.392683878932e+00,4.125928733041e+05
30,0.000000000000e+00,3,1.069054879223e+00,3.869905479315e-07,6.165694772285e-02,2.753046881104e-01,3.018028542140e-01,6.938896964264e+00,6.951184812245e+00,4.384747836479e+05
31,0.000000000000e+00,3,1.071519305238e+00,3.878950026928e-07,5.804516059648e-02,2.600548177971e-01,2.836636091383e-01,6.531631545067e+00,6.543215832646e+00,4.656552036146e+05
32,0.000000000000e+00,3,1.073989412341e+00,3.887935369680e-07,5.470226603376e-02,2.457962777540e-01,2.668688900674e-01,6.154662927611e+00,6.165590231686e+00,4.940812746001e+05
33,0.000000000000e+00,3,1.076465213630e+00,3.896891224997e-07,5.163367420976e-02,2.326204500516e-01,2.514332595488e-01,5.808549579880e+00,5.818869754173e+00,5.236644113110e+05
34,0.000000000000e+00,3,1.078946722230e+00,3.905847304468e-07,4.879310935368e-02,2.204983736798e-01,2.371775737303e-01,5.488055847261e+00,5.497818702399e+00,5.543425791441e+05
35,0.000000000000e+00,3,1.081433951298e+00,3.914827184556e-07,4.617958059660e-02,2.091310717759e-01,2.240225127994e-01,5.193034419583e+00,5.202274591759e+00,5.860420963629e+05
36,0.000000000000e+00,3,1.083926914021e+00,3.923845503148e-07,4.377834949836e-02,1.987652234379e-01,2.119289560312e-01,4.921905307704e+00,4.930668301391e+00,6.186767088257e+05
37,0.000000000000e+00,3,1.086425623617e+00,3.932908130536e-07,4.155561723443e-02,1.890207856651e-01,2.007402642606e-01,4.670805965167e+00,4.679121792033e+00,6.521461977438e+05
38,0.000000000000e+00,3,1.088930093333e+00,3.942014359116e-07,3.953003307250e-02,1.800630641641e-01,1.904722179578e-01,4.441899933905e+00,4.449802244957e+00,6.863299697379e+05
39,0.000000000000e+00,3,1.091440336449e+00,3.951159696116e-07,3.765829324396e-02,1.718174759095e-01,1.810007235731e-01,4.230278555016e+00,4.237800998990e+00,7.210883739245e+05
40,0.000000000000e+00,3,1.093956366272e+00,3.960338359235e-07,3.594153502494e-02,1.640922383411e-01,1.722777029544e-01,4.036004506821e+00,4.043170790684e+00,7.562729121669e+05
41,0.000000000000e+00,3,1.096478196143e+00,3.969545058669e-07,3.438065684083e-02,1.570578626582e-01,1.642852642221e-01,3.859316774278e+00,3.866156335956e+00,7.917183353349e+05
42,0.000000000000e+00,3,1.099005839433e+00,3.978775999014e-07,3.293657047284e-02,1.504678397689e-01,1.569088892312e-01,3.695708281421e+00,3.702243304993e+00,8.272430192437e+05
43,0.000000000000e+00,3,1.101539309541e+00,3.988029218306e-07,3.163370810085e-02,1.443937632163e-01,1.501750287370e-01,3.547948088463e+00,3.554200110859e+00,8.626455253485e+05
44,0.000000000000e+00,3,1.104078619902e+00,3.997304446064e-07,3.045486310480e-02,1.388900330786e-01,1.440272421198e-01,3.414126936022e+00,3.420120541987e+00,8.976980582106e+05
45,0.000000000000e+00,3,1.106623783978e+00,4.006602676488e-07,2.937807621612e-02,1.337094456806e-01,1.384092510889e-01,3.291658706867e+00,3.297410415842e+00,9.321319494068e+05
46,0.000000000000e+00,3,1.109174815262e+00,4.015925627782e-07,2.843305482663e-02,1.290528005309e-01,1.333781160081e-01,3.183926231119e+00,3.189457482233e+00,9.655977064875e+05
47,0.000000000000e+00,3,1.111731727282e+00,4.025275222714e-07,2.760677711876e-02,1.249339545827e-01,1.289106309745e-01,3.089476587801e+00,3.094810844704e+00,9.975416379773e+05
48,0.000000000000e+00,3,1.114294533592e+00,4.034653184057e-07,2.688633503729e-02,1.211438196783e-01,1.249708082370e-01,3.006731993995e+00,3.011885403976e+00,1.026703720269e+06
49,0.000000000000e+00,3,1.116863247781e+00,4.044060792343e-07,2.631150456566e-02,1.179293537186e-01,1.216483694571e-01,2.940240520807e+00,2.945235520927e+00,1.056005361883e+06
50,0.000000000000e+00,3,1.119437883467e+00,4.053498813099e-07,2.587498433576e-02,1.153339232240e-01,1.189569661535e-01,2.889224814491e+00,2.894087458445e+00,1.084890474382e+06
51,0.000000000000e+00,3,1.122018454302e+00,4.062967567490e-07,2.558020056628e-02,1.133158596052e-01,1.169059703422e-01,2.854076506909e+00,2.858830975048e+00,1.134341312995e+06
52,0.000000000000e+00,3,1.124604973967e+00,4.072467099933e-07,2.543480449178e-02,1.119101743442e-01,1.154902021660e-01,2.835915728940e+00,2.840585648216e+00,1.177792342481e+06
53,0.000000000000e+00,3,1.127197456176e+00,4.081997381084e-07,2.541682873805e-02,1.111382781135e-01,1.146472091389e-01,2.832526046534e+00,2.837136852339e+00,1.214857397696e+06
54,0.000000000000e+00,3,1.129795914673e+00,4.091558497261e-07,2.548978547289e-02,1.108262716499e-01,1.142240222306e-01,2.839922972459e+00,2.844493242812e+00,1.246494901791e+06
55,0.000000000000e+00,3,1.132400363236e+00,4.101150787428e-07,2.562258526721e-02,1.108634076205e-01,1.140497220567e-01,2.854636518230e+00,2.859178938495e+00,1.273132903843e+06
56,0.000000000000e+00,3,1.135010815672e+00,4.110774900536e-07,2.576890825483e-02,1.110950803962e-01,1.139798860258e-01,2.871510567165e+00,2.876033815045e+00,1.294680890492e+06
57,0.000000000000e+00,3,1.137627285823e+00,4.120431760568e-07,2.588169767389e-02,1.113310763142e-01,1.138774683095e-01,2.885083101835e+00,2.889591156740e+00,1.310943271396e+06
58,0.000000000000e+00,3,1.140249787561e+00,4.130122498203e-07,2.593588181891e-02,1.113404397676e-01,1.136384049096e-01,2.892394916424e+00,2.896883049610e+00,1.321816251922e+06
59,0.000000000000e+00,3,1.142878334790e+00,4.139848321130e-07,2.592107124287e-02,1.110547551862e-01,1.132022666118e-01,2.892152439656e+00,2.896612771490e+00,1.327443387187e+06
60,0.000000000000e+00,3,1.145512941446e+00,4.149610399226e-07,2.582149974283e-02,1.104699040876e-01,1.125379144183e-01,2.882342827536e+00,2.886769008284e+00,1.327938379404e+06
61,0.000000000000e+00,3,1.148153621497e+00,4.159409773039e-07,2.565966450228e-02,1.097071814602e-01,1.117334352208e-01,2.865401789127e+00,2.869791953736e+00,1.323629581679e+06
62,0.000000000000e+00,3,1.150800388944e+00,4.169247332261e-07,2.544915373896e-02,1.087922808799e-01,1.108037289254e-01,2.842843051102e+00,2.847194671839e+00,1.315027643060e+06
63,0.000000000000e+00,3,1.153453257821e+00,4.179123985756e-07,2.521117412771e-02,1.077684296807e-01,1.097514104808e-01,2.817011345476e+00,2.821320245981e+00,1.302502048252e+06
64,0.000000000000e+00,3,1.156112242192e+00,4.189040448312e-07,2.496037264275e-02,1.066686693113e-01,1.085860179444e-01,2.789594857995e+00,2.793856048593e+00,1.286698941813e+06
65,0.000000000000e+00,3,1.158777356155e+00,4.197189873345e-07,2.471293883167e-02,1.054714677717e-01,1.073068141597e-01,2.762598799064e+00,2.766803541420e+00,1.268093005028e+06
66,0.000000000000e+00,3,1.161448613840e+00,4.205087663784e-07,2.448033380068e-02,1.041929598497e-01,1.059746772174e-01,2.737498038822e+00,2.741638489004e+00,1.247040655475e+06
67,0.000000000000e+00,3,1.164126029410e+00,4.212859059356e-07,2.425232151843e-02,1.028472899743e-01,1.045621232497e-01,2.713110449094e+00,2.717180024724e+00,1.223713015508e+06
68,0.000000000000e+00,3,1.166809617061e+00,4.220559896268e-07,2.401707021021e-02,1.014942959531e-01,1.030993271705e-01,2.687944684784e+00,2.691942423511e+00,1.198134020077e+06
69,0.000000000000e+00,3,1.169499391020e+00,4.228220746692e-07,2.377301488321e-02,1.001791766892e-01,1.016174920522e-01,2.661765388979e+00,2.665693554094e+00,1.170206570987e+06
70,0.000000000000e+00,3,1.172195365548e+00,4.235864293732e-07,2.352433031332e-02,9.893794636741e-02,1.001265718653e-01,2.634961919837e+00,2.638823935152e+00,1.139756899986e+06
71,0.000000000000e+00,3,1.174897554940e+00,4.243508241747e-07,2.328082266631e-02,9.777710131908e-02,9.862945568504e-02,2.608746415606e+00,2.612544351530e+00,1.106569406624e+06
