x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,3.224564440254e+01,9.992253130168e-01,0.000000000000e+00,1.010310654764e+00,1.490379239978e-03,-4.280356194543e-02,6.407239113004e-03,bc-4,1.863638673751e-03,-4.282315649732e-02,6.412422761701e-03,0.000000000000e+00
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,3.223973281733e+01,9.874021425921e-01,0.000000000000e+00,1.010223129868e+00,1.332712564506e-02,-1.283451225490e-01,1.930443598113e-02,bc-4,1.369524554420e-02,-1.283672699446e-01,1.931360959626e-02,0.000000000000e+00
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,3.222549086412e+01,9.589182361832e-01,0.000000000000e+00,1.009880180399e+00,3.564111907325e-02,-2.082994743491e-01,3.161734807686e-02,bc-4,3.599786984052e-02,-2.083428457077e-01,3.163305181915e-02,0.000000000000e+00
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,3.220523004583e+01,9.183965996064e-01,0.000000000000e+00,1.009397799586e+00,6.665151879242e-02,-2.808662304065e-01,4.319168270859e-02,bc-4,6.701139848358e-02,-2.809410901664e-01,4.321542723471e-02,0.000000000000e+00
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,3.218069566461e+01,8.693278371562e-01,0.000000000000e+00,1.008820402224e+00,1.046967006538e-01,-3.454136649193e-01,5.400957193397e-02,bc-4,1.050678807539e-01,-3.455369136776e-01,5.404385590114e-02,0.000000000000e+00
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,3.215208045000e+01,8.120974079344e-01,0.000000000000e+00,1.008157470134e+00,1.471072300288e-01,-4.002071100480e-01,6.381166176241e-02,bc-4,1.475041880532e-01,-4.004028393462e-01,6.386026256422e-02,0.000000000000e+00
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,3.212135052082e+01,7.506375495705e-01,0.000000000000e+00,1.007377743423e+00,1.911163670254e-01,-4.448495547663e-01,7.246518972839e-02,bc-4,1.915756606832e-01,-4.451449455702e-01,7.253373236298e-02,0.000000000000e+00
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,3.209320480063e+01,6.943461091930e-01,0.000000000000e+00,1.006687759773e+00,2.370067244002e-01,-4.826661593834e-01,8.048779432036e-02,bc-4,2.375128973630e-01,-4.830253830823e-01,8.057036628654e-02,0.000000000000e+00
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,3.206125681311e+01,6.304501341486e-01,0.000000000000e+00,1.005980599872e+00,2.837977330013e-01,-5.137100710425e-01,8.786113178494e-02,bc-4,2.843222670853e-01,-5.141025495040e-01,8.795145584574e-02,0.000000000000e+00
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,3.203060624174e+01,5.691489914083e-01,0.000000000000e+00,1.005284317660e+00,3.281724612066e-01,-5.368426036684e-01,9.420827285604e-02,bc-4,3.287403084744e-01,-5.372715046623e-01,9.430831595078e-02,0.000000000000e+00
