step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2,0.000000000000e+00,-2.542992767751e-09,5.741478611089e+00,-1.991408340313e-16,5.741478611089e+00,0.000000000000e+00,-2.542992767751e-09,0.000000000000e+00
3,0.000000000000e+00,1.269719052122e-10,1.045359662633e+01,-2.481603247548e-16,1.045359662633e+01,0.000000000000e+00,1.269719052122e-10,0.000000000000e+00
4,0.000000000000e+00,6.536776453459e-09,1.431531037835e+01,-4.807352432801e-16,1.431531037835e+01,0.000000000000e+00,6.536776453459e-09,0.000000000000e+00
5,0.000000000000e+00,1.519089717905e-08,1.747496966013e+01,-4.510009986997e-16,1.747496966013e+01,0.000000000000e+00,1.519089717905e-08,0.000000000000e+00
6,0.000000000000e+00,2.476236454774e-08,2.005582829498e+01,-5.921370165030e-16,2.005582829498e+01,0.000000000000e+00,2.476236454774e-08,0.000000000000e+00
7,0.000000000000e+00,3.420217098427e-08,2.216032040600e+01,-6.841315708384e-16,2.216032040600e+01,0.000000000000e+00,3.420217098427e-08,0.000000000000e+00
8,0.000000000000e+00,4.276899021050e-08,2.387348893418e+01,-8.080558791534e-16,2.387348893418e+01,0.000000000000e+00,4.276899021050e-08,0.000000000000e+00
9,0.000000000000e+00,5.000603681138e-08,2.526580507007e+01,-6.738316501997e-16,2.526580507007e+01,0.000000000000e+00,5.000603681138e-08,0.000000000000e+00
10,0.000000000000e+00,5.569141392492e-08,2.639552716139e+01,-8.950088933868e-16,2.639552716139e+01,0.000000000000e+00,5.569141392492e-08,0.000000000000e+00
11,0.000000000000e+00,5.978081268898e-08,2.731069395481e+01,-8.957136247989e-16,2.731069395481e+01,0.000000000000e+00,5.978081268898e-08,0.000000000000e+00
12,0.000000000000e+00,6.235341931671e-08,2.805081571780e+01,-9.588141912376e-16,2.805081571780e+01,0.000000000000e+00,6.235341931671e-08,0.000000000000e+00
13,0.000000000000e+00,6.356599091539e-08,2.864830895936e+01,-7.549299727017e-16,2.864830895936e+01,0.000000000000e+00,6.356599091539e-08,0.000000000000e+00
14,0.000000000000e+00,6.361647081343e-08,2.912971038926e+01,-8.204157839198e-16,2.912971038926e+01,0.000000000000e+00,6.361647081343e-08,0.000000000000e+00
15,0.000000000000e+00,6.271695907056e-08,2.951669986614e+01,-8.102784936070e-16,2.951669986614e+01,0.000000000000e+00,6.271695907056e-08,0.000000000000e+00
