x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,6.963802450875e+01,-3.581093839635e+00,0.000000000000e+00,9.805808103523e-01,1.248141633554e-03,-3.971651076307e-02,3.985106150098e-03,WALL,5.960300012488e-03,-3.956842522022e-02,4.013056493007e-03,0.000000000000e+00
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,6.962429572964e+01,-3.608551397859e+00,0.000000000000e+00,9.804517082710e-01,1.123288554006e-02,-1.188315166013e-01,1.197104386516e-02,WALL,1.594070732536e-02,-1.183864964183e-01,1.198043479213e-02,0.000000000000e+00
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,6.956466225858e+01,-3.727818339981e+00,0.000000000000e+00,9.798747368684e-01,3.063521174108e-02,-1.934231145326e-01,1.964334150924e-02,WALL,3.508371242707e-02,-1.927185412412e-01,1.964853594683e-02,0.000000000000e+00
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,6.953683388634e+01,-3.783475084457e+00,0.000000000000e+00,9.796222308404e-01,5.869137923912e-02,-2.625701370076e-01,2.698922384479e-02,WALL,6.310814097756e-02,-2.615828737904e-01,2.699304194184e-02,0.000000000000e+00
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,6.949526619610e+01,-3.866610464935e+00,0.000000000000e+00,9.792427936971e-01,9.501677032993e-02,-3.270498686378e-01,3.416752089657e-02,WALL,9.928435570952e-02,-3.258100204717e-01,3.417042961355e-02,0.000000000000e+00
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,6.948337935604e+01,-3.890384145062e+00,0.000000000000e+00,9.791675237298e-01,1.390883011818e-01,-3.863326186618e-01,4.119559712255e-02,WALL,1.433571389917e-01,-3.847957424823e-01,4.119811192633e-02,0.000000000000e+00
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,6.947303540789e+01,-3.911072041365e+00,0.000000000000e+00,9.791158458135e-01,1.910167985210e-01,-4.414137769832e-01,4.825742964905e-02,WALL,1.952609974529e-01,-4.395771480999e-01,4.825966026010e-02,0.000000000000e+00
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,6.945762557510e+01,-3.941891706945e+00,0.000000000000e+00,9.790210264840e-01,2.499412759764e-01,-4.905373739906e-01,5.524121768237e-02,WALL,2.541043676382e-01,-4.884161728403e-01,5.524320704140e-02,0.000000000000e+00
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,6.943754616283e+01,-3.982050531480e+00,0.000000000000e+00,9.788860690554e-01,3.145523620787e-01,-5.318789971841e-01,6.200756915802e-02,WALL,3.185867430640e-01,-5.294930709204e-01,6.200935291875e-02,0.000000000000e+00
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,6.941905513259e+01,-4.019032591968e+00,0.000000000000e+00,9.787724620219e-01,3.834980141318e-01,-5.643001915006e-01,6.846992955487e-02,WALL,3.873856811982e-01,-5.616581356906e-01,6.847155443926e-02,0.000000000000e+00
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,6.940404320623e+01,-4.049056444680e+00,0.000000000000e+00,9.786983402182e-01,4.555159417926e-01,-5.872476136132e-01,7.458937764581e-02,WALL,4.592370580356e-01,-5.843612199852e-01,7.459087507599e-02,0.000000000000e+00
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,6.939802001004e+01,-4.061102837072e+00,0.000000000000e+00,9.787178888509e-01,5.294098703463e-01,-6.004976244061e-01,8.034834294306e-02,WALL,5.329603639483e-01,-5.973674432345e-01,8.034974736633e-02,0.000000000000e+00
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,6.940061969408e+01,-4.055903468986e+00,0.000000000000e+00,9.788267106786e-01,6.040085588303e-01,-6.040085588303e-01,8.573641195927e-02,WALL,6.073703602110e-01,-6.006467574495e-01,8.573773993415e-02,0.000000000000e+00
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,6.941314508631e+01,-4.030852684519e+00,0.000000000000e+00,9.790368333306e-01,6.778947377963e-01,-5.976446045064e-01,9.070919746027e-02,WALL,6.810437719763e-01,-5.940727263640e-01,9.071045663807e-02,0.000000000000e+00
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,6.944094889582e+01,-3.975245065511e+00,0.000000000000e+00,9.794007214736e-01,7.498202463186e-01,-5.816202020395e-01,9.524742250652e-02,WALL,7.527470214902e-01,-5.778470262242e-01,9.524862843137e-02,0.000000000000e+00
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,6.948390399963e+01,-3.889334857882e+00,0.000000000000e+00,9.799160707423e-01,8.187619310863e-01,-5.564300337792e-01,9.935692395384e-02,WALL,8.214489464469e-01,-5.524762107432e-01,9.935808242381e-02,0.000000000000e+00
