step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,5.000000000000e-01,4.486046012767e-05,7.962682015649e-02,6.907367076903e-01,3.993269628124e-01,1.994651844920e+01,1.996262803083e+01,1.249406678838e+05
2,0.000000000000e+00,3,5.000000000000e-01,4.495914601226e-05,6.598792795730e-02,5.723624475894e-01,3.308024036780e-01,1.653183808820e+01,1.654518219854e+01,1.035548755350e+05
3,0.000000000000e+00,3,5.000000000000e-01,4.505773599163e-05,5.619293827083e-02,4.877314273065e-01,2.819162558806e-01,1.407932712212e+01,1.409070504192e+01,8.551868863628e+04
4,0.000000000000e+00,3,5.000000000000e-01,4.515441750879e-05,4.911529679624e-02,4.266898362235e-01,2.467653380568e-01,1.230658197487e+01,1.231654698221e+01,7.039977343890e+04
5,0.000000000000e+00,3,5.000000000000e-01,4.524741027199e-05,4.392065252751e-02,3.818834385412e-01,2.210533258496e-01,1.100507699342e+01,1.101400690886e+01,5.779315170625e+04
6,0.000000000000e+00,3,5.000000000000e-01,4.533533523866e-05,4.001250579105e-02,3.481351210719e-01,2.017530922264e-01,1.002576076458e+01,1.003391161422e+01,4.732967937871e+04
7,0.000000000000e+00,3,5.000000000000e-01,4.541723220758e-05,3.698010758715e-02,3.219123163591e-01,1.868028844270e-01,9.265872561852e+00,9.273418178745e+00,3.867949945537e+04
8,0.000000000000e+00,3,5.000000000000e-01,4.549252573311e-05,3.454900779382e-02,3.008648438232e-01,1.748352877907e-01,8.656662330311e+00,8.663722258190e+00,3.467971146713e+04
9,0.000000000000e+00,3,5.000000000000e-01,4.556096620248e-05,3.253896920989e-02,2.834508255189e-01,1.649561931482e-01,8.152951113734e+00,8.159609400186e+00,3.265056218246e+04
10,0.000000000000e+00,3,5.000000000000e-01,4.562204322480e-05,3.083196663827e-02,2.686594722222e-01,1.565813023569e-01,7.725159624549e+00,7.731477054948e+00,3.017205101725e+04
11,0.000000000000e+00,3,5.000000000000e-01,4.567634574021e-05,2.934993859321e-02,2.558205380226e-01,1.493242900176e-01,7.353735685691e+00,7.359757594185e+00,2.746573564786e+04
12,0.000000000000e+00,3,5.000000000000e-01,4.572443154818e-05,2.804022217260e-02,2.444802745846e-01,1.429243285160e-01,7.025495233873e+00,7.031256466918e+00,2.469464924680e+04
13,0.000000000000e+00,3,5.000000000000e-01,4.576673449519e-05,2.686635774700e-02,2.343233173374e-01,1.372005951073e-01,6.731310936865e+00,6.736839032535e+00,2.197420219496e+04
14,0.000000000000e+00,3,5.000000000000e-01,4.580373921638e-05,2.580237375480e-02,2.251241887027e-01,1.320240912881e-01,6.464678144436e+00,6.469995404532e+00,2.110772952452e+04
15,0.000000000000e+00,3,5.000000000000e-01,4.583595092321e-05,2.482923463533e-02,2.167171439386e-01,1.273001553329e-01,6.220826121083e+00,6.225950993195e+00,2.004420544077e+04
16,0.000000000000e+00,3,5.000000000000e-01,4.586387289015e-05,2.393260928046e-02,2.089771670030e-01,1.229574697432e-01,5.996160829489e+00,6.001108852419e+00,1.880821241394e+04
17,0.000000000000e+00,3,5.000000000000e-01,4.588799048353e-05,2.310144281764e-02,2.018077452814e-01,1.189410121665e-01,5.787908658532e+00,5.792693125533e+00,1.746293445822e+04
18,0.000000000000e+00,3,5.000000000000e-01,4.590876052857e-05,2.232702261704e-02,1.951328148880e-01,1.152074264875e-01,5.593883160621e+00,5.598515595868e+00,1.606217546531e+04
19,0.000000000000e+00,3,5.000000000000e-01,4.592660489231e-05,2.160235220701e-02,1.888913237321e-01,1.117219092110e-01,5.412328449510e+00,5.416818958040e+00,1.501378148636e+04
20,0.000000000000e+00,3,5.000000000000e-01,4.594169287914e-05,2.092172086317e-02,1.830334747930e-01,1.084560638071e-01,5.241811416882e+00,5.246168946882e+00,1.443427692659e+04
21,0.000000000000e+00,3,5.000000000000e-01,4.595458042199e-05,2.028040066453e-02,1.775180714838e-01,1.053863878608e-01,5.081145761025e+00,5.085378304107e+00,1.374371357566e+04
22,0.000000000000e+00,3,5.000000000000e-01,4.596560733698e-05,1.967442811294e-02,1.723106029207e-01,1.024931824980e-01,4.929337233008e+00,4.933451979717e+00,1.297105998582e+04
23,0.000000000000e+00,3,5.000000000000e-01,4.597503947215e-05,1.910044392706e-02,1.673818352469e-01,9.975975052050e-02,4.785543362924e+00,4.789546825324e+00,1.214304212564e+04
24,0.000000000000e+00,3,5.000000000000e-01,4.598310952208e-05,1.855557312641e-02,1.627067573877e-01,9.717179682509e-02,4.649043288538e+00,4.652941398190e+00,1.128348543509e+04
25,0.000000000000e+00,3,5.000000000000e-01,4.599001992869e-05,1.803733363094e-02,1.582637793839e-01,9.471697279211e-02,4.519214778252e+00,4.523012965510e+00,1.082650992625e+04
26,0.000000000000e+00,3,5.000000000000e-01,4.599594590373e-05,1.754356569012e-02,1.540341139972e-01,9.238452488450e-02,4.395516474824e+00,4.399219733755e+00,1.040302876323e+04
27,0.000000000000e+00,3,5.000000000000e-01,4.600103841875e-05,1.707237635474e-02,1.500012935901e-01,9.016501968328e-02,4.277473992889e+00,4.281086934966e+00,9.920870286683e+03
28,0.000000000000e+00,3,5.000000000000e-01,4.600542706085e-05,1.662209572911e-02,1.461507877970e-01,8.805012616862e-02,4.164668905347e+00,4.168195804268e+00,9.394522187105e+03
29,0.000000000000e+00,3,5.000000000000e-01,4.600922269290e-05,1.619124192342e-02,1.424696978012e-01,8.603244181293e-02,4.056729925459e+00,4.060174754893e+00,8.837556011679e+03
30,0.000000000000e+00,3,5.000000000000e-01,4.601251988519e-05,1.577849266278e-02,1.389465093913e-01,8.410535225688e-02,3.953325778482e+00,3.956692244084e+00,8.326147112378e+03
31,0.000000000000e+00,3,5.000000000000e-01,4.601539910608e-05,1.538266218368e-02,1.355708917117e-01,8.226291699692e-02,3.854159387864e+00,3.857450954653e+00,8.054031088628e+03
