x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,3.223800375942e+01,9.839440267787e-01,0.000000000000e+00,1.008523380774e+00,1.352260338695e-03,-3.883679913209e-02,5.809000691644e-03,bc-4,9.793135869713e-04,-3.945726119484e-02,5.900389885811e-03,0.000000000000e+00
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,3.223011517136e+01,9.681668506634e-01,0.000000000000e+00,1.008313988396e+00,1.229813337947e-02,-1.184355485009e-01,1.779974802899e-02,bc-4,1.209380869243e-02,-1.201367999942e-01,1.805135575048e-02,0.000000000000e+00
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,3.221335834374e+01,9.346531954234e-01,0.000000000000e+00,1.008010181384e+00,3.296245847031e-02,-1.926444217003e-01,2.921951533529e-02,bc-4,3.307904932448e-02,-1.952415817736e-01,2.960810141937e-02,0.000000000000e+00
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,3.219405114923e+01,8.960388063908e-01,0.000000000000e+00,1.007592085875e+00,6.167039826450e-02,-2.598760328652e-01,3.993497455291e-02,bc-4,6.214184384411e-02,-2.632982086716e-01,4.045293993038e-02,0.000000000000e+00
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,3.216890992160e+01,8.457563511365e-01,0.000000000000e+00,1.007083970911e+00,9.648526261426e-02,-3.183226210776e-01,4.973981640019e-02,bc-4,9.742615924490e-02,-3.226267518660e-01,5.040100941523e-02,0.000000000000e+00
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,3.214002413398e+01,7.879847758979e-01,0.000000000000e+00,1.006498289040e+00,1.342439587371e-01,-3.652124151686e-01,5.819485120627e-02,bc-4,1.358403581479e-01,-3.706340243958e-01,5.904311345322e-02,0.000000000000e+00
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,3.210939647377e+01,7.267294554772e-01,0.000000000000e+00,1.005828960454e+00,1.728063568375e-01,-4.022304949411e-01,6.548442009695e-02,bc-4,1.752144649414e-01,-4.088920014473e-01,6.654728123283e-02,0.000000000000e+00
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,3.208072133389e+01,6.693791757220e-01,0.000000000000e+00,1.005263271488e+00,2.141497927531e-01,-4.361178285658e-01,7.268821625741e-02,bc-4,2.172548223706e-01,-4.433179008937e-01,7.386504735564e-02,0.000000000000e+00
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,3.204612365308e+01,6.001838140975e-01,0.000000000000e+00,1.004610336586e+00,2.573601693718e-01,-4.658547110061e-01,7.964082365042e-02,bc-4,2.606337252567e-01,-4.724472909357e-01,8.074572841814e-02,0.000000000000e+00
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,3.201866598716e+01,5.452684822596e-01,0.000000000000e+00,1.004057662219e+00,2.982543341118e-01,-4.879008820278e-01,8.558339432367e-02,bc-4,3.012551564665e-01,-4.936077608551e-01,8.655108313330e-02,0.000000000000e+00
3.212294286292e-03,-9.842776789700e-03,8.313905417703e-01,5.556885522078e-01,3.198945767936e+01,4.868518666467e-01,0.000000000000e+00,1.003467189741e+00,3.377498875048e-01,-5.053227403009e-01,9.098041112514e-02,bc-4,3.409592247120e-01,-5.108507651270e-01,9.193997118378e-02,0.000000000000e+00
3.754717172253e-03,-1.062095390846e-02,8.092361084251e-01,5.874835494045e-01,3.196150925981e+01,4.309550275620e-01,0.000000000000e+00,1.002936014230e+00,3.759528919904e-01,-5.178607223536e-01,9.580687524282e-02,bc-4,3.796160022925e-01,-5.236061685282e-01,9.682933624065e-02,0.000000000000e+00
4.321999690633e-03,-1.137402606599e-02,7.876574461496e-01,6.161134209909e-01,3.193868109421e+01,3.852986963631e-01,0.000000000000e+00,1.002508604206e+00,4.107431760681e-01,-5.251061088148e-01,9.982314194356e-02,bc-4,4.142157321551e-01,-5.304217280132e-01,1.007745449189e-01,0.000000000000e+00
4.897447488290e-03,-1.208541960185e-02,7.667769880648e-01,6.419135849740e-01,3.192320096252e+01,3.543384329842e-01,0.000000000000e+00,1.002235099119e+00,4.431130921030e-01,-5.293063273440e-01,1.033726346265e-01,bc-4,4.457112264322e-01,-5.336516578409e-01,1.041258951649e-01,0.000000000000e+00
5.511098472117e-03,-1.279505896759e-02,7.466579844938e-01,6.652081284768e-01,3.190039328348e+01,3.087230748997e-01,0.000000000000e+00,1.001791356676e+00,4.743237046987e-01,-5.324011631652e-01,1.067932702206e-01,bc-4,4.772721281607e-01,-5.369072651378e-01,1.075953690103e-01,0.000000000000e+00
6.162708931538e-03,-1.350527885328e-02,7.266612641268e-01,6.869959295496e-01,3.188172301836e+01,2.713825446512e-01,0.000000000000e+00,1.001431749042e+00,5.058385190657e-01,-5.350443021538e-01,1.102893307610e-01,bc-4,5.087658728678e-01,-5.394235642682e-01,1.110719971490e-01,0.000000000000e+00
6.817833219012e-03,-1.417925776943e-02,7.070630654251e-01,7.071504942455e-01,3.186261974027e+01,2.331759884844e-01,0.000000000000e+00,1.001064242251e+00,5.370033780896e-01,-5.369369854727e-01,1.137604718426e-01,bc-4,5.391004766758e-01,-5.404122380164e-01,1.143555757821e-01,0.000000000000e+00
7.493462380569e-03,-1.483767639851e-02,6.889885341974e-01,7.247722399103e-01,3.182692526132e+01,1.617870305801e-01,0.000000000000e+00,1.000325705876e+00,5.632862570296e-01,-5.354754931182e-01,1.164493206950e-01,bc-4,5.667209226079e-01,-5.394971772231e-01,1.172402394071e-01,0.000000000000e+00
8.213478615941e-03,-1.550483201013e-02,6.706523122079e-01,7.417718491088e-01,3.180594709949e+01,1.198307069197e-01,0.000000000000e+00,9.999119947322e-01,5.872776931333e-01,-5.309707334960e-01,1.186412907046e-01,bc-4,5.912186562221e-01,-5.351532982367e-01,1.195021104074e-01,0.000000000000e+00
8.956930397157e-03,-1.616139814354e-02,6.529456136386e-01,7.574047964134e-01,3.178657018016e+01,8.107686826174e-02,0.000000000000e+00,9.995663850553e-01,6.085765977290e-01,-5.246433900761e-01,1.204223687391e-01,bc-4,6.128965487736e-01,-5.290307799897e-01,1.213442230249e-01,0.000000000000e+00
9.697345360974e-03,-1.678604188620e-02,6.364280040429e-01,7.713361107001e-01,3.176994644394e+01,4.782939580688e-02,0.000000000000e+00,9.992748075681e-01,6.280025564768e-01,-5.181637524912e-01,1.220359982847e-01,bc-4,6.325913428299e-01,-5.225972059009e-01,1.229910340405e-01,0.000000000000e+00
1.048933990457e-02,-1.742462077492e-02,6.198352096385e-01,7.847320006807e-01,3.175535169999e+01,1.863990791341e-02,0.000000000000e+00,9.990122136421e-01,6.469255740320e-01,-5.109862328194e-01,1.235793408078e-01,bc-4,6.521213957187e-01,-5.157073793813e-01,1.246302927450e-01,0.000000000000e+00
1.133628341703e-02,-1.807951244515e-02,6.033976931959e-01,7.974404202483e-01,3.173923087741e+01,-1.360173723656e-02,0.000000000000e+00,9.987483925684e-01,6.641966591002e-01,-5.025763953684e-01,1.248717710070e-01,bc-4,6.698146577269e-01,-5.075452735460e-01,1.259935670598e-01,0.000000000000e+00
1.218243072842e-02,-1.870670559107e-02,5.873495879629e-01,8.093333438823e-01,3.172257608604e+01,-4.691131998515e-02,0.000000000000e+00,9.984348596443e-01,6.823905855299e-01,-4.952246589992e-01,1.264204172406e-01,bc-4,6.873708494329e-01,-4.994327226814e-01,1.273955820642e-01,0.000000000000e+00
