step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,1.183291357832e-30,0.000000000000e+00,4.683861624750e-31,0.000000000000e+00,0.000000000000e+00,1.183291357832e-30,0.000000000000e+00
2,0.000000000000e+00,-1.162528583533e-08,1.443422655807e-01,-8.414958002764e-09,1.443422655807e-01,0.000000000000e+00,-1.162528583533e-08,0.000000000000e+00
3,0.000000000000e+00,-2.343774665320e-08,2.664619018757e-01,-1.709509957616e-08,2.664619018757e-01,0.000000000000e+00,-2.343774665320e-08,0.000000000000e+00
4,0.000000000000e+00,-3.502558757612e-08,3.696797263625e-01,-2.571265360915e-08,3.696797263625e-01,0.000000000000e+00,-3.502558757612e-08,0.000000000000e+00
5,0.000000000000e+00,-4.609382967761e-08,4.568257979591e-01,-3.402369575618e-08,4.568257979591e-01,0.000000000000e+00,-4.609382967761e-08,0.000000000000e+00
6,0.000000000000e+00,-5.643912099045e-08,5.303184180769e-01,-4.185293515013e-08,5.303184180769e-01,0.000000000000e+00,-5.643912099045e-08,0.000000000000e+00
7,0.000000000000e+00,-6.592912340977e-08,5.922263102831e-01,-4.908070073799e-08,5.922263102831e-01,0.000000000000e+00,-6.592912340977e-08,0.000000000000e+00
8,0.000000000000e+00,-7.448593830530e-08,6.443189663643e-01,-5.563175780893e-08,6.443189663643e-01,0.000000000000e+00,-7.448593830530e-08,0.000000000000e+00
9,0.000000000000e+00,-8.207295996293e-08,6.881084466746e-01,-6.146574223383e-08,6.881084466746e-01,0.000000000000e+00,-8.207295996293e-08,0.000000000000e+00
10,0.000000000000e+00,-8.868447013907e-08,7.248848007842e-01,-6.656906728630e-08,7.248848007842e-01,0.000000000000e+00,-8.868447013907e-08,0.000000000000e+00
11,0.000000000000e+00,-9.433740418702e-08,7.557465350566e-01,-7.094817199797e-08,7.557465350566e-01,0.000000000000e+00,-9.433740418702e-08,0.000000000000e+00
12,0.000000000000e+00,-9.906488568703e-08,7.816270738717e-01,-7.462398013500e-08,7.816270738717e-01,0.000000000000e+00,-9.906488568703e-08,0.000000000000e+00
