step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,4.000000000000e-01,1.355031259885e-07,8.094051336072e-01,3.296601290516e+00,4.323101725401e+00,9.033860630094e+01,9.050566674890e+01,2.230577558486e+07
2,0.000000000000e+00,3,4.000000000000e-01,1.364887892364e-07,6.895344820135e-01,2.788738942007e+00,3.653281344095e+00,7.726123215479e+01,7.740088488734e+01,1.918857241912e+07
3,0.000000000000e+00,3,4.000000000000e-01,1.374489628736e-07,5.982761459454e-01,2.400694452806e+00,3.147921460455e+00,6.719319147931e+01,6.731237374286e+01,1.644213243783e+07
4,0.000000000000e+00,3,4.000000000000e-01,1.383692780097e-07,5.285899314410e-01,2.106196671984e+00,2.765669337794e+00,5.943339631613e+01,5.953732439649e+01,1.404057817437e+07
5,0.000000000000e+00,3,4.000000000000e-01,1.392399545665e-07,4.748870751947e-01,1.882761460608e+00,2.474024387651e+00,5.341265520922e+01,5.350516649466e+01,1.195397522534e+07
6,0.000000000000e+00,3,4.000000000000e-01,1.400547615839e-07,4.328559807068e-01,1.711775864301e+00,2.248070523007e+00,4.868079282159e+01,4.876464858609e+01,1.015101961793e+07
7,0.000000000000e+00,3,4.000000000000e-01,1.408102283963e-07,3.992777792652e-01,1.578553563976e+00,2.069287879307e+00,4.489339862270e+01,4.497055087858e+01,8.600672387028e+06
8,0.000000000000e+00,3,4.000000000000e-01,1.415050234933e-07,3.718217106979e-01,1.472092282733e+00,1.924320916089e+00,4.179561381299e+01,4.186742948959e+01,7.273177706680e+06
9,0.000000000000e+00,3,4.000000000000e-01,1.419627049771e-07,3.488390050387e-01,1.384526420771e+00,1.803769642250e+00,3.920400120267e+01,3.927143869637e+01,6.140691073341e+06
10,0.000000000000e+00,3,4.000000000000e-01,1.422651860293e-07,3.291787236883e-01,1.310431251242e+00,1.701118692326e+00,3.698894189141e+01,3.705268162695e+01,5.821825450421e+06
11,0.000000000000e+00,3,4.000000000000e-01,1.425428245458e-07,3.120393782470e-01,1.246146793590e+00,1.611875597178e+00,3.505952783781e+01,3.512006386036e+01,5.506340365156e+06
12,0.000000000000e+00,3,4.000000000000e-01,1.427959032656e-07,2.968585624822e-01,1.189220549784e+00,1.532928595418e+00,3.335178399246e+01,3.340948572008e+01,5.141214614822e+06
13,0.000000000000e+00,3,4.000000000000e-01,1.430251382240e-07,2.832354839817e-01,1.137996214674e+00,1.462094362988e+00,3.182011812717e+01,3.187527090516e+01,4.748422800480e+06
14,0.000000000000e+00,3,4.000000000000e-01,1.432314721435e-07,2.708786446438e-01,1.091332355521e+00,1.397811596267e+00,3.043141682577e+01,3.048424820842e+01,4.345217032651e+06
