step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,2.000000000000e-01,4.320941909812e-07,8.094051700737e-01,5.421889958687e-01,5.572539584093e-01,9.105808438838e-01,1.445266440486e+00,2.248342237896e+05
2,0.000000000000e+00,3,2.002209804277e-01,4.287983253593e-07,7.974182707704e-01,5.035215066588e-01,4.395981183890e-01,8.974369560405e-01,1.374063099710e+00,2.252222600546e+05
3,0.000000000000e+00,3,2.004422050172e-01,4.277298069139e-07,7.855596406889e-01,5.012784145590e-01,3.808037319509e-01,8.848326883807e-01,1.340270258820e+00,2.256473921670e+05
4,0.000000000000e+00,3,2.006636740382e-01,4.277382710067e-07,7.739701330635e-01,4.975070376517e-01,3.480132570025e-01,8.726239562484e-01,1.314963427421e+00,2.260312530403e+05
5,0.000000000000e+00,3,2.008853877608e-01,4.282560726782e-07,7.627782017471e-01,4.897171376975e-01,3.286991608136e-01,8.608956098776e-01,1.292608931364e+00,2.263742486803e+05
6,0.000000000000e+00,3,2.011073464554e-01,4.290528919641e-07,7.520856477176e-01,4.790940744954e-01,3.172259517372e-01,8.497404132185e-01,1.271949302461e+00,2.266847016612e+05
7,0.000000000000e+00,3,2.013295503926e-01,4.300216025823e-07,7.419403590030e-01,4.667910995216e-01,3.106614384244e-01,8.391954220190e-01,1.252648758660e+00,2.269701124143e+05
8,0.000000000000e+00,3,2.015519998434e-01,4.311074006472e-07,7.323321123713e-01,4.535785915528e-01,3.072950031086e-01,8.292321233777e-01,1.234544448330e+00,2.272363438258e+05
9,0.000000000000e+00,3,2.017746950791e-01,4.322796116619e-07,7.232098932709e-01,4.399272504658e-01,3.060416306170e-01,8.197769862632e-01,1.217482781112e+00,2.274876246973e+05
10,0.000000000000e+00,3,2.019976363712e-01,4.335204384154e-07,7.145024217599e-01,4.261217388890e-01,3.061787307158e-01,8.107377531696e-01,1.201305359437e+00,2.277272192723e+05
11,0.000000000000e+00,3,2.022208239917e-01,4.348188326092e-07,7.061332371481e-01,4.123611160611e-01,3.072129595166e-01,8.020200152660e-01,1.185867507788e+00,2.279575591115e+05
