x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.206118084149e+01,1.265218825845e+00,-4.224101237506e-02,1.006567067240e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,4.724863289404e-05,-4.222331066049e-04,4.243859779577e-05,-2.112050618753e-02
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.205219783203e+01,1.247252806926e+00,-1.263246199476e-01,1.006448680385e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,1.522151117734e-04,-1.257772342426e-03,1.265515119847e-04,-6.316230997381e-02
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.203440121639e+01,1.211659575636e+00,-2.092992980013e-01,1.006214074005e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,3.576482069581e-04,-2.067907420982e-03,2.096246540201e-04,-1.046496490007e-01
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.200791819831e+01,1.158693539479e+00,-2.899171491463e-01,1.005865095682e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,6.592005648523e-04,-2.831053765456e-03,2.903547259240e-04,-1.449585745731e-01
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.197311898855e+01,1.089095119948e+00,-3.671607321925e-01,1.005406412136e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,1.046764726385e-03,-3.529213378754e-03,3.677124295423e-04,-1.835803660963e-01
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.193055416020e+01,1.003965463263e+00,-4.400030243764e-01,1.004845113874e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,1.508412906260e-03,-4.145603312709e-03,4.406716962070e-04,-2.200015121882e-01
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.188099305469e+01,9.048432522414e-01,-5.076077484944e-01,1.004191242036e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,2.030863083457e-03,-4.666599627380e-03,5.083936250619e-04,-2.538038742472e-01
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.182511660978e+01,7.930903624115e-01,-5.692625815583e-01,1.003453546131e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,2.597779400633e-03,-5.082123784215e-03,5.701620037614e-04,-2.846312907791e-01
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.176394235571e+01,6.707418542862e-01,-6.242072477451e-01,1.002645456190e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,3.191194827271e-03,-5.383814096887e-03,6.252141416318e-04,-3.121036238726e-01
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.169864986406e+01,5.401568709752e-01,-6.718566977461e-01,1.001782466658e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,3.791870995032e-03,-5.567746200537e-03,6.729616587910e-04,-3.359283488731e-01
