x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,2.228760628271e+00,2.225378399399e+00,0.000000000000e+00,1.534167014460e+00,1.262693401284e-03,-3.626444449180e-02,2.544396096980e-02,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,2.228643331445e+00,2.225143805748e+00,0.000000000000e+00,1.534113720664e+00,1.069099338996e-02,-1.029581991909e-01,7.258288748170e-02,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,2.222912281930e+00,2.213681706718e+00,0.000000000000e+00,1.532074266828e+00,2.844476006956e-02,-1.662413730135e-01,1.183368422241e-01,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,2.211886944204e+00,2.191631031265e+00,0.000000000000e+00,1.528213715085e+00,5.331350542444e-02,-2.246604964090e-01,1.622071234568e-01,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,2.196143543473e+00,2.160144229804e+00,0.000000000000e+00,1.522685973283e+00,8.414435080823e-02,-2.776076840380e-01,2.041400897213e-01,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,2.176332864936e+00,2.120522872730e+00,0.000000000000e+00,1.515676546375e+00,1.190329700511e-01,-3.238307249429e-01,2.433404267108e-01,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,2.153462777986e+00,2.074782698829e+00,0.000000000000e+00,1.507483993043e+00,1.558184635575e-01,-3.626888435397e-01,2.791315084590e-01,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,2.128787526150e+00,2.025432195158e+00,0.000000000000e+00,1.498526035386e+00,1.942796247036e-01,-3.956520665794e-01,3.125516181725e-01,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,2.102853276730e+00,1.973563696317e+00,0.000000000000e+00,1.489020116620e+00,2.338378420852e-01,-4.232763003412e-01,3.439093089031e-01,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,2.075628992788e+00,1.919115128432e+00,0.000000000000e+00,1.478853870611e+00,2.720404162622e-01,-4.450187100777e-01,3.720884856096e-01,bc-4
3.212294286292e-03,-9.842776789700e-03,8.313905417703e-01,5.556885522078e-01,2.048617930489e+00,1.865093003835e+00,0.000000000000e+00,1.468609159748e+00,3.088000506765e-01,-4.620095922628e-01,3.976532412153e-01,bc-4
3.754717172253e-03,-1.062095390846e-02,8.092361084251e-01,5.874835494045e-01,2.022185086037e+00,1.812227314931e+00,0.000000000000e+00,1.458449607887e+00,3.451464932939e-01,-4.754260869990e-01,4.216761129461e-01,bc-4
4.321999690633e-03,-1.137402606599e-02,7.876574461496e-01,6.161134209909e-01,1.995616561225e+00,1.759090265308e+00,0.000000000000e+00,1.448074774791e+00,3.796067662080e-01,-4.853004103232e-01,4.435741225482e-01,bc-4
4.897447488290e-03,-1.208541960185e-02,7.667769880648e-01,6.419135849740e-01,1.969689481049e+00,1.707236104955e+00,0.000000000000e+00,1.437778873814e+00,4.120663506734e-01,-4.922204524850e-01,4.635256087878e-01,bc-4
5.511098472117e-03,-1.279505896759e-02,7.466579844938e-01,6.652081284768e-01,1.944705496770e+00,1.657268136397e+00,0.000000000000e+00,1.427709935203e+00,4.425152498970e-01,-4.966979963887e-01,4.817256224958e-01,bc-4
6.162708931538e-03,-1.350527885328e-02,7.266612641268e-01,6.869959295496e-01,1.921032579704e+00,1.609922302265e+00,0.000000000000e+00,1.418078698257e+00,4.719777277203e-01,-4.992284779471e-01,4.988685490000e-01,bc-4
6.817833219012e-03,-1.417925776943e-02,7.070630654251e-01,7.071504942455e-01,1.897425495367e+00,1.562708133591e+00,0.000000000000e+00,1.408300073006e+00,5.000754625107e-01,-5.000136354906e-01,5.149023965405e-01,bc-4
7.493462380569e-03,-1.483767639851e-02,6.889885341974e-01,7.247722399103e-01,1.874423926190e+00,1.516704995238e+00,0.000000000000e+00,1.398637014221e+00,5.253119753759e-01,-4.993760908328e-01,5.291396819587e-01,bc-4
8.213478615941e-03,-1.550483201013e-02,6.706523122079e-01,7.417718491088e-01,1.853259104384e+00,1.474375351626e+00,0.000000000000e+00,1.389662305029e+00,5.502405824194e-01,-4.974846636652e-01,5.428812226231e-01,bc-4
8.956930397157e-03,-1.616139814354e-02,6.529456136386e-01,7.574047964134e-01,1.832108567614e+00,1.432074278084e+00,0.000000000000e+00,1.380578965839e+00,5.736770348210e-01,-4.945570787316e-01,5.556872333521e-01,bc-4
9.697345360974e-03,-1.678604188620e-02,6.364280040429e-01,7.713361107001e-01,1.811589492965e+00,1.391036128787e+00,0.000000000000e+00,1.371636610187e+00,5.949777962296e-01,-4.909150836469e-01,5.672607238479e-01,bc-4
1.048933990457e-02,-1.742462077492e-02,6.198352096385e-01,7.847320006807e-01,1.792396519616e+00,1.352650182089e+00,0.000000000000e+00,1.363183503564e+00,6.158202846694e-01,-4.864171397581e-01,5.784005858222e-01,bc-4
1.133628341703e-02,-1.807951244515e-02,6.033976931959e-01,7.974404202483e-01,1.773610367391e+00,1.315077877639e+00,0.000000000000e+00,1.354854111353e+00,6.359277820222e-01,-4.811862390821e-01,5.890642860182e-01,bc-4
1.218243072842e-02,-1.870670559107e-02,5.873495879629e-01,8.093333438823e-01,1.754788268273e+00,1.277433679402e+00,0.000000000000e+00,1.346387238923e+00,6.550354731454e-01,-4.753725002945e-01,5.991643990732e-01,bc-4
1.305567585734e-02,-1.932851061297e-02,5.730721271106e-01,8.195049341699e-01,1.736573100964e+00,1.241003344784e+00,0.000000000000e+00,1.338089733118e+00,6.716069271572e-01,-4.696484356352e-01,6.079889143827e-01,bc-4
1.399777969410e-02,-1.997368528241e-02,5.574880229613e-01,8.301849819496e-01,1.720245015680e+00,1.208347174218e+00,0.000000000000e+00,1.330610649994e+00,6.892224144875e-01,-4.628284654474e-01,6.170933208132e-01,bc-4
1.497717556801e-02,-2.061889238972e-02,5.426117885322e-01,8.399835992124e-01,1.702910802760e+00,1.173678748378e+00,0.000000000000e+00,1.322587239456e+00,7.055880708815e-01,-4.557950958411e-01,6.256516860321e-01,bc-4
1.595146068223e-02,-2.123709844772e-02,5.287776567780e-01,8.487603841441e-01,1.686114016559e+00,1.140085175975e+00,0.000000000000e+00,1.314721621366e+00,7.204115556923e-01,-4.488163461104e-01,6.334392718937e-01,bc-4
1.700567193007e-02,-2.188107194760e-02,5.148006019065e-01,8.573099441140e-01,1.670473493492e+00,1.108804129842e+00,0.000000000000e+00,1.307327730016e+00,7.349958665291e-01,-4.413529985110e-01,6.409962072760e-01,bc-4
1.814718312240e-02,-2.255363119082e-02,5.004040478151e-01,8.657920009623e-01,1.655033514735e+00,1.077924172327e+00,0.000000000000e+00,1.299993331047e+00,7.496097166237e-01,-4.332538716725e-01,6.485221088672e-01,bc-4
1.929077874545e-02,-2.320316385825e-02,4.872281616375e-01,8.732747096460e-01,1.639108384030e+00,1.046073910916e+00,0.000000000000e+00,1.292332933313e+00,7.626243846613e-01,-4.254927720385e-01,6.553588322885e-01,bc-4
2.047671613898e-02,-2.385293775339e-02,4.741917923148e-01,8.804215718059e-01,1.624341002365e+00,1.016539147586e+00,0.000000000000e+00,1.285166530894e+00,7.751573582061e-01,-4.174968773877e-01,6.618754626520e-01,bc-4
2.177101102824e-02,-2.453692498857e-02,4.608486966314e-01,8.874787202030e-01,1.609939749031e+00,9.877366409185e-01,0.000000000000e+00,1.278134302600e+00,7.876323919839e-01,-4.090006363054e-01,6.683208895844e-01,bc-4
2.312715210016e-02,-2.522842800805e-02,4.475767905336e-01,8.942455012890e-01,1.595334018280e+00,9.585251794166e-01,0.000000000000e+00,1.270945042288e+00,7.996884016817e-01,-4.002502307652e-01,6.745864104591e-01,bc-4
2.447949810551e-02,-2.589376411597e-02,4.352457921153e-01,9.003116685048e-01,1.580754242260e+00,9.293656273776e-01,0.000000000000e+00,1.263698796362e+00,8.105757661675e-01,-3.918639552911e-01,6.803405028758e-01,bc-4
2.595296181425e-02,-2.659264080362e-02,4.228265925862e-01,9.062106116141e-01,1.567112565497e+00,9.020822738517e-01,0.000000000000e+00,1.256862127640e+00,8.212305431619e-01,-3.831759503173e-01,6.859076641683e-01,bc-4
2.756059229786e-02,-2.732903727514e-02,4.101025126476e-01,9.120394339721e-01,1.553650235509e+00,8.751576138750e-01,0.000000000000e+00,1.250078134108e+00,8.318271118351e-01,-3.740346918623e-01,6.914286783786e-01,bc-4
2.917757709580e-02,-2.804401787776e-02,3.986383808024e-01,9.171081950082e-01,1.539897583766e+00,8.476523103885e-01,0.000000000000e+00,1.243080310940e+00,8.411012378922e-01,-3.656005228055e-01,6.964137788368e-01,bc-4
3.085834746133e-02,-2.876050076655e-02,3.860748428835e-01,9.224674605061e-01,1.527207741376e+00,8.222726256097e-01,0.000000000000e+00,1.236582470658e+00,8.509579624958e-01,-3.561463962000e-01,7.015449736789e-01,bc-4
3.270227436646e-02,-2.951786119900e-02,3.743666969390e-01,9.272807429376e-01,1.513789684056e+00,7.954365109700e-01,0.000000000000e+00,1.229662772462e+00,8.598608310707e-01,-3.471475727355e-01,7.063389402321e-01,bc-4
3.464338601385e-02,-3.028723103490e-02,3.625206607229e-01,9.319757349572e-01,1.501091223330e+00,7.700395895166e-01,0.000000000000e+00,1.223066895600e+00,8.685891552881e-01,-3.378644986784e-01,7.109963030816e-01,bc-4
