step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,1.000000000000e-02,-7.742884212264e-07,3.095136841757e+01,1.022654308281e-05,2.834083606429e+01,2.610532353282e+00,-8.011728449053e-06,7.237440027827e-06
2,2.000000000000e-02,-1.265424275258e-06,2.732821905890e+01,8.158130812815e-06,2.594756806372e+01,1.380650995176e+00,-9.252070233834e-06,7.986645958576e-06
3,3.000000000000e-02,7.105455546205e-06,2.426111415674e+01,5.138334382020e-06,2.289652946020e+01,1.364584696537e+00,7.815751774942e-07,6.323880368711e-06
4,4.000000000000e-02,1.338849737124e-05,2.144958095674e+01,3.649462283536e-06,2.011050629838e+01,1.339074658362e+00,8.489447157672e-06,4.899050213570e-06
5,5.000000000000e-02,-6.167582634595e-06,1.878107103079e+01,2.938656651340e-06,1.748228318241e+01,1.298787848380e+00,-9.952906080718e-06,3.785323446123e-06
6,6.000000000000e-02,-5.130712410198e-05,1.629367030806e+01,2.553134918922e-06,1.503815107986e+01,1.255519228198e+00,-5.390250833398e-05,2.595384232000e-06
7,7.000000000000e-02,-9.111174146128e-05,1.400699248076e+01,2.346491893176e-06,1.279645438313e+01,1.210538097626e+00,-9.251607609392e-05,1.404334632641e-06
8,8.000000000000e-02,-9.998002094624e-05,1.192776355478e+01,2.264047516885e-06,1.076360732645e+01,1.164156228335e+00,-1.004698357710e-04,4.898148247990e-07
9,9.000000000000e-02,-6.119367770690e-05,1.005781672980e+01,2.286073051194e-06,8.940989467823e+00,1.116827261981e+00,-6.141536751549e-05,2.216898085886e-07
10,1.000000000000e-01,3.412291855091e-05,8.396310240060e+00,2.402319857290e-06,7.327033020097e+00,1.069277219963e+00,3.304173420310e-05,1.081184347808e-06
11,1.100000000000e-01,1.472995261683e-04,6.935790932549e+00,2.542545142445e-06,5.913552508595e+00,1.022238423953e+00,1.442921365146e-04,3.007389653741e-06
12,1.200000000000e-01,1.958168165856e-04,5.661418423702e+00,2.584391872697e-06,4.685296265015e+00,9.761221586870e-01,1.908491161111e-04,4.967700474541e-06
13,1.300000000000e-01,1.337595140671e-04,4.556703950796e+00,2.493770315061e-06,3.625263348280e+00,9.314406025159e-01,1.280578657298e-04,5.701648337287e-06
14,1.400000000000e-01,7.542486754707e-06,3.608537511926e+00,2.340535241632e-06,2.719904915487e+00,8.886325964385e-01,2.731934053868e-06,4.810552700839e-06
15,1.500000000000e-01,-1.079585202212e-04,2.806378022801e+00,2.223103226852e-06,1.958420337890e+00,8.479576849110e-01,-1.107978845890e-04,2.839364367818e-06
16,1.600000000000e-01,-2.018253533600e-04,2.137760086015e+00,2.159768820459e-06,1.328154759730e+00,8.096053262855e-01,-2.021165000918e-04,2.911467317322e-07
17,1.700000000000e-01,-3.090500882021e-04,1.587937028439e+00,2.088670478795e-06,8.142526418519e-01,7.736843865875e-01,-3.062473593768e-04,-2.802728825293e-06
18,1.800000000000e-01,-4.090903775345e-04,1.142023329315e+00,1.960828908566e-06,4.017944364466e-01,7.402288928683e-01,-4.029382128125e-04,-6.152164721997e-06
19,1.900000000000e-01,-4.028436300406e-04,7.855232394071e-01,1.811744931364e-06,7.631253143500e-02,7.092107079721e-01,-3.943319276295e-04,-8.511702411028e-06
20,2.000000000000e-01,-2.077290797825e-04,5.055383156907e-01,1.724022986049e-06,-1.750197449190e-01,6.805580606097e-01,-1.995145486344e-04,-8.214531148121e-06
21,2.100000000000e-01,1.316243732573e-04,2.914974396862e-01,1.736924501268e-06,-3.626835125499e-01,6.541809522361e-01,1.362520292065e-04,-4.627655949200e-06
22,2.200000000000e-01,4.288071045518e-04,1.349683513476e-01,1.797926953264e-06,-4.950177790998e-01,6.299861304474e-01,4.279658136234e-04,8.412909283783e-07
23,2.300000000000e-01,4.669897052847e-04,2.905007415756e-02,1.778995012513e-06,-5.788326188204e-01,6.078826929780e-01,4.618328303759e-04,5.156874908849e-06
24,2.400000000000e-01,1.479897515858e-04,-3.258666391920e-02,1.559335164561e-06,-6.202593907083e-01,5.876727267891e-01,1.426937675729e-04,5.295984012972e-06
25,2.500000000000e-01,-4.264488846138e-04,-5.671912093427e-02,1.119934748959e-06,-6.258946066214e-01,5.691754856871e-01,-4.264461533999e-04,-2.731213836690e-09
26,2.600000000000e-01,-9.932809449940e-04,-5.085503326286e-02,5.684564032514e-07,-6.031725325850e-01,5.523174993221e-01,-9.840140951022e-04,-9.266849891831e-06
27,2.700000000000e-01,-1.271334052883e-03,-2.222421897166e-02,7.472821734675e-08,-5.592284838703e-01,5.370042648986e-01,-1.252451053592e-03,-1.888299929143e-05
28,2.800000000000e-01,-1.121386290543e-03,2.255131638300e-02,-2.240102491419e-07,-5.005660664358e-01,5.231173828188e-01,-1.096433963164e-03,-2.495232737901e-05
29,2.900000000000e-01,-6.088652739744e-04,7.855278423552e-02,-2.847831490158e-07,-4.319041784840e-01,5.104569627195e-01,-5.837025490643e-04,-2.516272491007e-05
30,3.000000000000e-01,4.091175800720e-05,1.425222823773e-01,-1.514796070454e-07,-3.564011770779e-01,4.989234594552e-01,6.065675547736e-05,-1.974499747016e-05
30,3.000000000000e-01,4.091175800720e-05,1.425222823773e-01,-1.514796070454e-07,-3.564011770779e-01,4.989234594552e-01,6.065675547736e-05,-1.974499747016e-05
