x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,2.359579944797e-04,-2.124230254163e-03,2.135812253623e-04,-1.062760368938e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.326654316036e-04,-6.276362655357e-03,6.314612912143e-04,-3.150877510129e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,1.740897202204e-03,-1.027674145041e-02,1.041600966283e-03,-5.197896933586e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,3.245937065172e-03,-1.409162327508e-02,1.445086614454e-03,-7.211281157024e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,5.218388332189e-03,-1.763722813832e-02,1.838086014809e-03,-9.172170457520e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.593913764315e-03,-2.081008468134e-02,2.213811697208e-03,-1.104682846156e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,1.030122032591e-02,-2.354993828106e-02,2.568840951615e-03,-1.281817101777e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,1.327227405873e-02,-2.581870308221e-02,2.901301067611e-03,-1.447682335739e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,1.642523674450e-02,-2.757187429378e-02,3.207534397743e-03,-1.600448583345e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,1.967209956369e-02,-2.876978973827e-02,3.483370232902e-03,-1.738035375559e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,2.291803724334e-02,-2.939600061560e-02,3.725530846320e-03,-1.858801270733e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,2.609642392161e-02,-2.946575054954e-02,3.934191873926e-03,-1.962854241083e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,2.908843087771e-02,-2.898073127537e-02,4.104313929272e-03,-2.047665530518e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,3.181009808501e-02,-2.795063246453e-02,4.232798187031e-03,-2.111693722406e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
