x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,3.269786599117e-01,-3.609520239898e-03,3.258204776222e-02,-6.931653105604e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,3.278160050368e-01,-1.077766255645e-02,3.268149831797e-02,-2.076701996449e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,3.295285057644e-01,-1.777888966794e-02,3.288295114995e-02,-3.451599196323e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,3.320923381405e-01,-2.450181133578e-02,3.318167974324e-02,-4.812313183446e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,3.354751414037e-01,-3.084291757434e-02,3.357123827818e-02,-6.153621060363e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,3.396241437301e-01,-3.670245373742e-02,3.404255636894e-02,-7.470256573603e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,3.444685760668e-01,-4.198723322513e-02,3.458451857915e-02,-8.756894256647e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,3.499352497748e-01,-4.661453190736e-02,3.518587195866e-02,-1.000854311900e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,3.559334689274e-01,-5.051022316523e-02,3.583398586248e-02,-1.122013524908e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,3.623629062644e-01,-5.361594625222e-02,3.651595230385e-02,-1.238689897083e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,3.690882903377e-01,-5.590448464725e-02,3.721648709065e-02,-1.350398513003e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,3.760417360361e-01,-5.731826981353e-02,3.792711396688e-02,-1.456704212557e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,3.831076049307e-01,-5.784528958203e-02,3.863599935130e-02,-1.557214108112e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,3.901536448377e-01,-5.749452537924e-02,3.933059471906e-02,-1.651505617628e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,3.970815381199e-01,-5.626457301842e-02,4.000204064194e-02,-1.739206216798e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,4.037954484269e-01,-5.415706675815e-02,4.064220328462e-02,-1.819965829647e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,4.101931407115e-01,-5.120262873572e-02,4.124307192752e-02,-1.893489659681e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,4.161718452016e-01,-4.744343572619e-02,4.179693438741e-02,-1.959488466479e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,4.216345606575e-01,-4.293447370964e-02,4.229687948662e-02,-2.017704120964e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,4.264964115506e-01,-3.774124069115e-02,4.273726784278e-02,-2.067930888700e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,4.306736280706e-01,-3.193850463441e-02,4.311250061755e-02,-2.109960114174e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,4.340967323178e-01,-2.560833801597e-02,4.341820537669e-02,-2.143636207207e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-7.817863703751e-02,-4.936004880108e-01,1.564344650402e-01,9.876883405951e-01,4.367112484699e-01,-1.883728896422e-02,4.365120367616e-02,-2.168859324515e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.703093827340e-02,-4.975353574357e-01,9.410831331851e-02,9.955619646031e-01,4.384676088358e-01,-1.170617910808e-02,4.380841192685e-02,-2.185535094702e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.569762988233e-02,-4.995066821071e-01,3.141075907813e-02,9.995065603657e-01,4.393262858629e-01,-4.314773801169e-03,4.388740419321e-02,-2.193623946499e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.569762988233e-02,-4.995066821071e-01,-3.141075907813e-02,9.995065603657e-01,4.393295097860e-01,3.160309094062e-03,4.389341318951e-02,-2.193457101357e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.703093827340e-02,-4.975353574357e-01,-9.410831331851e-02,9.955619646031e-01,4.384735502033e-01,1.057402780560e-02,4.382608432477e-02,-2.185026731918e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
7.817863703751e-02,-4.936004880108e-01,-1.564344650402e-01,9.876883405951e-01,4.366980185673e-01,1.775123508199e-02,4.367849998733e-02,-2.167934432837e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.090178004376e-01,-4.877176029643e-01,-2.181432413965e-01,9.759167619387e-01,4.340407587245e-01,2.460219632584e-02,4.345294199627e-02,-2.142250807698e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.394267203850e-01,-4.799099193559e-01,-2.789911060392e-01,9.602936856769e-01,4.305484182098e-01,3.103028451287e-02,4.315211863219e-02,-2.108073629179e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.692853867649e-01,-4.702082505459e-01,-3.387379202453e-01,9.408807689542e-01,4.262854448756e-01,3.694641825581e-02,4.278014175028e-02,-2.065572696824e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.984759610624e-01,-4.586508845886e-01,-3.971478906348e-01,9.177546256840e-01,4.213242725345e-01,4.224095631471e-02,4.234134530612e-02,-2.014884276730e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
