x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.301436089843e+01,3.171578939722e+00,-1.386330621121e+00,1.016614174595e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.301435117685e+01,3.171559496566e+00,-4.153403992898e+00,1.016551928603e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.300841249882e+01,3.159682140493e+00,-6.903198392646e+00,1.016423617635e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.299654895918e+01,3.135955061209e+00,-9.624626366891e+00,1.016230467755e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.297884986699e+01,3.100556876830e+00,-1.230724212073e+01,1.015973617310e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.295541267839e+01,3.053682499635e+00,-1.494051314721e+01,1.015654163750e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.292634540756e+01,2.995547957979e+00,-1.751378851329e+01,1.015273506131e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.289178343292e+01,2.926424008690e+00,-2.001708623800e+01,1.014832606729e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.285184042968e+01,2.846538002220e+00,-2.244027049815e+01,1.014333283622e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.280668260832e+01,2.756222359502e+00,-2.477379794166e+01,1.013776669034e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,7.275639845387e+01,2.655654050603e+00,-2.700797026005e+01,1.013160955161e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.270098779423e+01,2.544832731327e+00,-2.913408425114e+01,1.012492819497e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,7.264091011644e+01,2.424677375735e+00,-3.114428216225e+01,1.011772761624e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,7.257619384286e+01,2.295244828584e+00,-3.303011235257e+01,1.011000152327e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,7.250691077617e+01,2.156678695202e+00,-3.478412433596e+01,1.010179499320e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,7.243344752134e+01,2.009752185534e+00,-3.639931659294e+01,1.009317648376e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
