step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,1.000000000000e+00,8.964244873335e-06,7.962932100153e-02,7.220269156878e+00,1.053667654394e+00,1.994714755771e+01,2.123999855794e+01,1.249578509380e+05
2,0.000000000000e+00,3,1.001536235531e+00,8.954998324283e-06,7.364572777946e-02,4.776334788239e+00,3.849685650357e-01,1.784375837420e+01,1.847611191283e+01,1.137548290562e+05
3,0.000000000000e+00,3,1.003074831082e+00,8.949017553277e-06,6.644530129407e-02,3.338618215604e+00,1.774918651023e-01,1.575534617459e+01,1.610631003709e+01,9.779550589630e+04
4,0.000000000000e+00,3,1.004615790278e+00,8.945292423640e-06,6.027307654061e-02,2.463320222642e+00,1.899076917158e-01,1.414466423897e+01,1.435894044586e+01,8.371044534266e+04
5,0.000000000000e+00,3,1.006159116751e+00,8.943374603756e-06,5.531613148724e-02,1.911362435795e+00,1.982846379609e-01,1.293888516862e+01,1.308091863898e+01,7.233497464212e+04
6,0.000000000000e+00,3,1.007704814136e+00,8.942673127181e-06,5.138889362358e-02,1.548987233430e+00,1.841167141001e-01,1.202185679430e+01,1.212274482181e+01,6.402955989036e+04
7,0.000000000000e+00,3,1.009252886077e+00,8.942855149101e-06,4.832261448768e-02,1.298913158386e+00,1.604943926147e-01,1.131796641020e+01,1.139349079873e+01,5.772805467144e+04
8,0.000000000000e+00,3,1.010803336220e+00,8.943787390350e-06,4.583289764689e-02,1.119355037091e+00,1.355176762813e-01,1.075010621710e+01,1.080917226586e+01,5.279277786114e+04
9,0.000000000000e+00,3,1.012356168221e+00,8.945363784168e-06,4.375784848829e-02,9.851619322370e-01,1.140257605232e-01,1.027685326787e+01,1.032468758585e+01,4.881551892511e+04
10,0.000000000000e+00,3,1.013911385737e+00,8.947509553416e-06,4.199677645885e-02,8.809279156713e-01,9.723294633089e-02,9.874308226851e+00,9.914091734827e+00,4.553089688712e+04
11,0.000000000000e+00,3,1.015468992433e+00,8.950200781546e-06,4.046326285292e-02,7.976861028785e-01,8.452273526656e-02,9.523231472626e+00,9.557040450284e+00,4.274765758311e+04
12,0.000000000000e+00,3,1.017028991980e+00,8.953396181862e-06,3.909633438424e-02,7.296035298845e-01,7.505334490906e-02,9.210099325620e+00,9.239340475735e+00,4.032290214221e+04
13,0.000000000000e+00,3,1.018591388054e+00,8.957069626518e-06,3.786565777966e-02,6.728373148615e-01,6.807742840321e-02,8.928284685537e+00,8.953940240060e+00,3.821833840579e+04
14,0.000000000000e+00,3,1.020156184336e+00,8.961180387268e-06,3.674857102211e-02,6.246112188276e-01,6.298732030205e-02,8.672688014746e+00,8.695457114827e+00,3.636927627684e+04
15,0.000000000000e+00,3,1.021723384514e+00,8.965696027692e-06,3.572378594250e-02,5.831876024779e-01,5.912844099103e-02,8.438409111369e+00,8.458819567288e+00,3.472830086544e+04
16,0.000000000000e+00,3,1.023292992281e+00,8.970587232941e-06,3.477638434238e-02,5.471922645941e-01,5.610252565699e-02,8.222012914921e+00,8.240465559533e+00,3.325940513114e+04
17,0.000000000000e+00,3,1.024865011334e+00,8.975827540939e-06,3.389506649149e-02,5.155862914604e-01,5.365233016809e-02,8.020881462939e+00,8.037685992531e+00,3.193463117044e+04
18,0.000000000000e+00,3,1.026439445380e+00,8.981393032110e-06,3.306970093196e-02,4.875811534836e-01,5.168889242676e-02,7.832755291563e+00,7.848156228406e+00,3.073189877112e+04
19,0.000000000000e+00,3,1.028016298126e+00,8.987262060274e-06,3.229319965728e-02,4.625798907659e-01,5.010435699259e-02,7.655999584953e+00,7.670193159072e+00,2.963350733213e+04
20,0.000000000000e+00,3,1.029595573290e+00,8.993415015771e-06,3.156071142366e-02,4.401105052282e-01,4.876124840873e-02,7.489381542281e+00,7.502526699754e+00,2.862507923026e+04
20,0.000000000000e+00,0,1.031177274593e+00,0.000000000000e+00,3.086767387641e-02,4.197951681612e-01,4.758669728905e-02,7.331782150988e+00,7.344009449872e+00,2.769479975612e+04
