x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,1.221884711698e-01,-1.576077499688e-03,1.213955316126e-02,-2.704776197961e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,1.224042792590e-01,-4.718381398626e-03,1.216926924487e-02,-8.101389027416e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,1.229958098276e-01,-7.807683151158e-03,1.224412316455e-02,-1.346277586852e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,1.239645386181e-01,-1.079384945907e-02,1.236316798312e-02,-1.876807756534e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,1.252965037011e-01,-1.362777447480e-02,1.252340171080e-02,-2.399531958528e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,1.269694904328e-01,-1.626249581412e-02,1.272064421383e-02,-2.912258364913e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,1.289538995031e-01,-1.865441297465e-02,1.294981959466e-02,-3.412809608702e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,1.312214481221e-01,-2.076118527411e-02,1.320595977529e-02,-3.899080795227e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,1.337345617920e-01,-2.254723201638e-02,1.348339531488e-02,-4.369090247838e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,1.364508762611e-01,-2.398193855816e-02,1.377630600058e-02,-4.820912117447e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,1.393233081175e-01,-2.504117648490e-02,1.407883739357e-02,-5.252700511439e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,1.423038600328e-01,-2.570511454786e-02,1.438547423477e-02,-5.662683133189e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,1.453414815692e-01,-2.596523336334e-02,1.469096164006e-02,-6.049343467166e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,1.483814214163e-01,-2.581689159904e-02,1.499007789192e-02,-6.411036676833e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,1.513783634623e-01,-2.525425281910e-02,1.527879301302e-02,-6.746347712145e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,1.542787830482e-01,-2.428478962808e-02,1.555273242889e-02,-7.053940243919e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,1.570301772409e-01,-2.293040979113e-02,1.580800392118e-02,-7.332764149169e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,1.595834249658e-01,-2.121637536350e-02,1.604115801928e-02,-7.581776567237e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
