step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,1.073012789732e-10,1.569524274515e+02,-7.793565792724e-11,0.000000000000e+00,1.569524274515e+02,0.000000000000e+00,1.073012789732e-10
2,0.000000000000e+00,-8.859003865148e-06,1.301096518115e+02,9.164571368236e-06,1.307278041177e+00,1.288023737703e+02,-5.125133921598e-07,-8.346490472988e-06
3,0.000000000000e+00,-1.355796556052e-05,1.099640832361e+02,1.412646345267e-05,2.447525948304e+00,1.075165572878e+02,-8.299752083940e-07,-1.272799035212e-05
4,0.000000000000e+00,-1.575733725868e-05,9.469076389193e+01,1.659723529945e-05,3.415488134468e+00,9.127527575746e+01,-1.030103776951e-06,-1.472723348173e-05
5,0.000000000000e+00,-1.648169949843e-05,8.300058681906e+01,1.758852701250e-05,4.240015733045e+00,7.876057108601e+01,-1.167950187245e-06,-1.531374931119e-05
6,0.000000000000e+00,-1.635884396051e-05,7.396364175597e+01,1.772741662542e-05,4.950022945209e+00,6.901361881076e+01,-1.271676205505e-06,-1.508716775500e-05
7,0.000000000000e+00,-1.577954726599e-05,6.690404508208e+01,1.740487969509e-05,5.569713452334e+00,6.133433162975e+01,-1.343214979174e-06,-1.443633228682e-05
8,0.000000000000e+00,-1.499935350109e-05,6.133076680549e+01,1.684730701740e-05,6.121293108499e+00,5.520947369699e+01,-1.422369695539e-06,-1.357698380555e-05
9,0.000000000000e+00,-1.412810640150e-05,5.688099107224e+01,1.619307962270e-05,6.618742813114e+00,5.026224825913e+01,-1.483078780395e-06,-1.264502762111e-05
10,0.000000000000e+00,-1.326976055097e-05,5.328749034592e+01,1.552328624665e-05,7.073088146338e+00,4.621440219958e+01,-1.549626174574e-06,-1.172013437639e-05
11,0.000000000000e+00,-1.246275537828e-05,5.035270859587e+01,1.487965407143e-05,7.493421627382e+00,4.285928696849e+01,-1.619077673848e-06,-1.084367770443e-05
12,0.000000000000e+00,-1.172837766428e-05,4.792853786991e+01,1.428134861159e-05,7.885885281222e+00,4.004265258868e+01,-1.693008871317e-06,-1.003536879296e-05
13,0.000000000000e+00,-1.108225528400e-05,4.590329077146e+01,1.373446054131e-05,8.254595628352e+00,3.764869514310e+01,-1.781301888035e-06,-9.300953395963e-06
14,0.000000000000e+00,-1.050950673834e-05,4.419277978995e+01,1.323951209681e-05,8.602858354772e+00,3.558992143518e+01,-1.869723442932e-06,-8.639783295405e-06
15,0.000000000000e+00,-1.000360133561e-05,4.273340840289e+01,1.279271128207e-05,8.933655836050e+00,3.379975256684e+01,-1.956774756992e-06,-8.046826578623e-06
16,0.000000000000e+00,-9.559701562342e-06,4.147627177458e+01,1.238813731075e-05,9.249103655251e+00,3.222716811933e+01,-2.044395011655e-06,-7.515306550687e-06
17,0.000000000000e+00,-9.169421846242e-06,4.038366185966e+01,1.202008333287e-05,9.550905588244e+00,3.083275627142e+01,-2.131553366522e-06,-7.037868479720e-06
18,0.000000000000e+00,-8.827507718426e-06,3.942628804114e+01,1.168311271393e-05,9.840477937290e+00,2.958581010385e+01,-2.219922557126e-06,-6.607585161300e-06
19,0.000000000000e+00,-8.531578064908e-06,3.858136412961e+01,1.137265428824e-05,1.011918681088e+01,2.846217731873e+01,-2.313140412213e-06,-6.218437652694e-06
