x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,6.704651295986e-02,-1.317690046554e-03,6.644597120338e-03,-1.710301787012e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,6.722544033510e-02,-3.955004095940e-03,6.672768429459e-03,-5.126670190969e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,6.778992376349e-02,-6.536747051643e-03,6.748769749216e-03,-8.519602407299e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,6.870945401681e-02,-9.010558060962e-03,6.867684176138e-03,-1.187500665514e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,6.993896028631e-02,-1.133868743374e-02,7.022617403904e-03,-1.517965298235e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.144297895816e-02,-1.348566243289e-02,7.207364987445e-03,-1.841918401220e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.319014227336e-02,-1.541850816053e-02,7.416135605565e-03,-2.157927776521e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.515210283747e-02,-1.710622530955e-02,7.643641771485e-03,-2.464624298856e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.729552191298e-02,-1.852352637312e-02,7.884552352956e-03,-2.760739178766e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.958674638213e-02,-1.964767051942e-02,8.133974080938e-03,-3.045040860506e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,8.198865847249e-02,-2.046049337727e-02,8.387223223948e-03,-3.316350591842e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,8.445851672924e-02,-2.095166131351e-02,8.639687716119e-03,-3.573546091132e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
