step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,1.000000000000e-02,1.047000632137e-06,3.095151991925e+01,8.859297986552e-06,2.834097549629e+01,2.610544422959e+00,-5.521058662250e-06,6.568059294387e-06
2,2.000000000000e-02,-1.403487685372e-05,2.732819504329e+01,7.133709267970e-06,2.594753236278e+01,1.380662680518e+00,-2.138796437601e-05,7.353087522283e-06
3,3.000000000000e-02,-6.703120535204e-06,2.426103398286e+01,4.664576907787e-06,2.289644186607e+01,1.364592116783e+00,-1.267347345624e-05,5.970352921034e-06
4,4.000000000000e-02,1.002181769710e-06,2.144949718943e+01,3.556679032179e-06,2.011041869003e+01,1.339078499395e+00,-3.763379709643e-06,4.765561479353e-06
5,5.000000000000e-02,-1.745483084964e-05,1.878099350160e+01,3.047449557980e-06,1.748220410706e+01,1.298789394541e+00,-2.126083079723e-05,3.805999947593e-06
6,6.000000000000e-02,-6.181409180991e-05,1.629359804899e+01,2.729745855190e-06,1.503807859322e+01,1.255519455765e+00,-6.455357313429e-05,2.739481324371e-06
7,7.000000000000e-02,-1.007659580681e-04,1.400692393528e+01,2.512259655085e-06,1.279638633275e+01,1.210537602529e+00,-1.024138846728e-04,1.647926604662e-06
8,8.000000000000e-02,-1.088193050340e-04,1.192769873958e+01,2.377784259655e-06,1.076354335462e+01,1.164155384957e+00,-1.096245545087e-04,8.052494747252e-07
9,9.000000000000e-02,-6.915706531320e-05,1.005775578736e+01,2.323550400363e-06,8.940929491701e+00,1.116826295661e+00,-6.973998777493e-05,5.829224617310e-07
10,1.000000000000e-01,2.675640068198e-05,8.396253229367e+00,2.346270059461e-06,7.326976952009e+00,1.069276277358e+00,2.528977126337e-05,1.466629418606e-06
11,1.100000000000e-01,1.404637633400e-04,6.935737286713e+00,2.383740424328e-06,5.913499687071e+00,1.022237599642e+00,1.370616680003e-04,3.402095339652e-06
12,1.200000000000e-01,1.897051017758e-04,5.661368030178e+00,2.321482751200e-06,4.685246530309e+00,9.761214998695e-01,1.843500924508e-04,5.355009325005e-06
13,1.300000000000e-01,1.285497366007e-04,4.556656885458e+00,2.130323486893e-06,3.625216733060e+00,9.314401523980e-01,1.224821013279e-04,6.067635272819e-06
14,1.400000000000e-01,3.149790740245e-06,3.608493933479e+00,1.881029148609e-06,2.719861534813e+00,8.886323986662e-01,-1.990784055383e-06,5.140574795628e-06
15,1.500000000000e-01,-1.116379619709e-04,2.806337928191e+00,1.675065194273e-06,1.958380159876e+00,8.479577683146e-01,-1.147568856452e-04,3.118923674328e-06
16,1.600000000000e-01,-2.047506351609e-04,2.137723275340e+00,1.533127399034e-06,1.328117573268e+00,8.096057020720e-01,-2.052640856234e-04,5.134504625082e-07
