rank,num_cells_owned,num_cells_ghost,num_boundary_faces,num_neighbor_ranks,neighbor_ranks,send_cells,recv_cells
0,314,58,16,5,"1 2 3 14 15",58,58
1,323,61,13,5,"0 2 4 5 6",61,61
2,321,74,0,7,"0 1 3 6 10 20 21",75,74
3,308,67,0,5,"0 2 10 11 14",65,67
4,322,51,23,3,"1 5 12",50,51
5,314,72,0,6,"1 4 6 7 9 12",71,72
6,326,81,0,6,"1 2 5 7 19 21",82,81
7,314,65,0,7,"5 6 8 9 18 19 26",65,65
8,308,77,0,8,"7 9 10 11 13 14 25 26",80,77
9,327,62,0,5,"5 7 8 12 13",62,62
10,316,73,0,8,"2 3 8 11 20 22 24 25",74,73
11,323,63,0,4,"3 8 10 14",65,63
12,325,61,12,4,"4 5 9 13",62,61
13,320,61,13,5,"8 9 12 14 15",60,61
14,317,70,0,6,"0 3 8 11 13 15",69,70
15,317,52,23,3,"0 13 14",52,52
16,320,74,0,6,"17 18 22 23 29 30",75,74
17,324,62,0,5,"16 18 26 27 29",62,62
18,319,78,0,7,"7 16 17 19 21 22 26",78,78
19,318,65,0,4,"6 7 18 21",65,65
20,311,60,0,4,"2 10 21 22",59,60
21,325,72,0,6,"2 6 18 19 20 22",73,72
22,322,87,0,9,"10 16 18 20 21 23 24 26 31",87,87
23,323,66,0,4,"16 22 30 31",66,66
24,312,54,10,4,"10 22 25 26",53,54
25,313,57,10,4,"8 10 24 26",54,57
26,315,86,0,10,"7 8 17 18 22 24 25 27 28 31",85,86
27,313,59,0,4,"17 26 28 29",58,59
28,317,63,0,5,"26 27 29 30 31",64,63
29,319,67,0,5,"16 17 27 28 30",67,67
30,317,64,0,5,"16 23 28 29 31",64,64
31,322,62,0,5,"22 23 26 28 30",63,62
