x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,1.998370847950e-04,-2.005568936901e-03,2.012841116861e-04,-1.003027666712e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,6.682524339625e-04,-5.919701364798e-03,5.949458601289e-04,-2.970763950059e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,1.617385939748e-03,-9.687966473308e-03,9.809183702562e-04,-4.898280894775e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,3.030146092408e-03,-1.327271653387e-02,1.359652771230e-03,-6.789304360292e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,4.880015420756e-03,-1.659409636512e-02,1.727457332954e-03,-8.625581897448e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.106425437953e-03,-1.955891664539e-02,2.078360348036e-03,-1.037744297980e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,9.639116701607e-03,-2.210761102215e-02,2.408768233504e-03,-1.202693957174e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,1.240945266098e-02,-2.420190134838e-02,2.716490307782e-03,-1.356308344532e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,1.534180541023e-02,-2.580560843315e-02,2.998614155465e-03,-1.497130589514e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,1.834749024628e-02,-2.688031248102e-02,3.250764619913e-03,-1.622974900811e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
