step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,1.000000000000e-02,131,1.000000000000e+00,1.000000000000e-02,7.191637535485e-03,7.108908093950e-02,4.150349290983e-02,1.796197964939e+00,1.798097618666e+00,2.264743877892e+03
2,2.000000000000e-02,120,1.000000000000e+00,1.000000000000e-02,8.127198263347e-03,7.661275337916e-02,5.778505771332e-02,2.032169490407e+00,2.034450175346e+00,1.497773967152e+03
3,3.000000000000e-02,127,1.000000000000e+00,1.000000000000e-02,7.343989490339e-03,6.993588438357e-02,5.252943116374e-02,1.838599392785e+00,1.840693355884e+00,9.852793900415e+02
4,4.000000000000e-02,129,1.000000000000e+00,1.000000000000e-02,6.968584922448e-03,6.645898597016e-02,4.811663383790e-02,1.744453605894e+00,1.746395989333e+00,8.043305473239e+02
5,5.000000000000e-02,131,1.000000000000e+00,1.000000000000e-02,6.747030989771e-03,6.361298731442e-02,4.455639412904e-02,1.688449910249e+00,1.690248652199e+00,6.786568874739e+02
6,6.000000000000e-02,132,1.000000000000e+00,1.000000000000e-02,6.598308817586e-03,6.115289810953e-02,4.156131835358e-02,1.650772044885e+00,1.652440286964e+00,5.817721460791e+02
7,7.000000000000e-02,133,1.000000000000e+00,1.000000000000e-02,6.479007764752e-03,5.900935813421e-02,3.898237423448e-02,1.620624330640e+00,1.622179684392e+00,5.331285446798e+02
8,8.000000000000e-02,133,1.000000000000e+00,1.000000000000e-02,6.379810012917e-03,5.709435346725e-02,3.677801505845e-02,1.595621863292e+00,1.597079277989e+00,4.850825322244e+02
9,9.000000000000e-02,133,1.000000000000e+00,1.000000000000e-02,6.287957193134e-03,5.545870147104e-02,3.493871878270e-02,1.572618174723e+00,1.573996138342e+00,4.486188416849e+02
10,1.000000000000e-01,132,1.000000000000e+00,1.000000000000e-02,6.193687350338e-03,5.401491386866e-02,3.341111996808e-02,1.549018178359e+00,1.550332091040e+00,4.113648776251e+02
11,1.100000000000e-01,130,1.000000000000e+00,1.000000000000e-02,6.098586191319e-03,5.273764124449e-02,3.216264620305e-02,1.525220674020e+00,1.526483210463e+00,3.819485507888e+02
12,1.200000000000e-01,129,1.000000000000e+00,1.000000000000e-02,6.003461780831e-03,5.160403366215e-02,3.113768743204e-02,1.501486353976e+00,1.502707504672e+00,3.643524483418e+02
13,1.300000000000e-01,127,1.000000000000e+00,1.000000000000e-02,5.912356861801e-03,5.060281734555e-02,3.031111511130e-02,1.478809274044e+00,1.479997038438e+00,3.461763641715e+02
14,1.400000000000e-01,124,1.000000000000e+00,1.000000000000e-02,5.824767558914e-03,4.973419967858e-02,2.964647789708e-02,1.456999610539e+00,1.458161238443e+00,3.309346516061e+02
15,1.500000000000e-01,121,1.000000000000e+00,1.000000000000e-02,5.740388476781e-03,4.895363503396e-02,2.909561697832e-02,1.435956870237e+00,1.437097108253e+00,3.256267627528e+02
16,1.600000000000e-01,118,1.000000000000e+00,1.000000000000e-02,5.659539770891e-03,4.825024508476e-02,2.863338607290e-02,1.415771658210e+00,1.416894271119e+00,3.128127216733e+02
17,1.700000000000e-01,115,1.000000000000e+00,1.000000000000e-02,5.582370988520e-03,4.759938407495e-02,2.823520111717e-02,1.396510218122e+00,1.397617572919e+00,2.979047364888e+02
18,1.800000000000e-01,112,1.000000000000e+00,1.000000000000e-02,5.508938183828e-03,4.699790301145e-02,2.788562541314e-02,1.378210080899e+00,1.379304095000e+00,2.826590228034e+02
19,1.900000000000e-01,109,1.000000000000e+00,1.000000000000e-02,5.438127767271e-03,4.643927891366e-02,2.757003644984e-02,1.360565356834e+00,1.361647669915e+00,2.707323083431e+02
20,2.000000000000e-01,106,1.000000000000e+00,1.000000000000e-02,5.370122506330e-03,4.590398152551e-02,2.727636827703e-02,1.343616639726e+00,1.344687952110e+00,2.605787183916e+02
21,2.100000000000e-01,103,1.000000000000e+00,1.000000000000e-02,5.304825205676e-03,4.537537373986e-02,2.699645545069e-02,1.327347305025e+00,1.328407596515e+00,2.512568932607e+02
22,2.200000000000e-01,100,1.000000000000e+00,1.000000000000e-02,5.242481946090e-03,4.485172373816e-02,2.672489300779e-02,1.311844398619e+00,1.312893410309e+00,2.428900168977e+02
23,2.300000000000e-01,98,1.000000000000e+00,1.000000000000e-02,5.181066334135e-03,4.435471992957e-02,2.645647142520e-02,1.296590244994e+00,1.297628757743e+00,2.351245263382e+02
24,2.400000000000e-01,95,1.000000000000e+00,1.000000000000e-02,5.118339196877e-03,4.387954984005e-02,2.618537285755e-02,1.281028004142e+00,1.282056954054e+00,2.277980392161e+02
25,2.500000000000e-01,94,1.000000000000e+00,1.000000000000e-02,5.054201446651e-03,4.339990274850e-02,2.590847971814e-02,1.265144091478e+00,1.266163464184e+00,2.208782374677e+02
26,2.600000000000e-01,93,1.000000000000e+00,1.000000000000e-02,4.990139189604e-03,4.289947224964e-02,2.562416525286e-02,1.249298936309e+00,1.250307840620e+00,2.143472824695e+02
27,2.700000000000e-01,92,1.000000000000e+00,1.000000000000e-02,4.925365740098e-03,4.237275242607e-02,2.533460629495e-02,1.233294153547e+00,1.234291708157e+00,2.081741264684e+02
28,2.800000000000e-01,91,1.000000000000e+00,1.000000000000e-02,4.861064427577e-03,4.184300810653e-02,2.504211359627e-02,1.217448878706e+00,1.218434793902e+00,2.023336928716e+02
29,2.900000000000e-01,91,1.000000000000e+00,1.000000000000e-02,4.795662625631e-03,4.132684684781e-02,2.474134946690e-02,1.201354181059e+00,1.202328952231e+00,1.968022205216e+02
30,3.000000000000e-01,91,1.000000000000e+00,1.000000000000e-02,4.730549558488e-03,4.081537264061e-02,2.442776998626e-02,1.185373788147e+00,1.186337222848e+00,1.915562641046e+02
31,3.100000000000e-01,90,1.000000000000e+00,1.000000000000e-02,4.667467704381e-03,4.030908336489e-02,2.409928502722e-02,1.169924557813e+00,1.170876105303e+00,1.865734695813e+02
32,3.200000000000e-01,90,1.000000000000e+00,1.000000000000e-02,4.604961686043e-03,3.980308909398e-02,2.375730229999e-02,1.154618423029e+00,1.155557702490e+00,1.818332747669e+02
33,3.300000000000e-01,89,1.000000000000e+00,1.000000000000e-02,4.543316032464e-03,3.928966786825e-02,2.340853587286e-02,1.139561420798e+00,1.140487839061e+00,1.773171785554e+02
34,3.400000000000e-01,88,1.000000000000e+00,1.000000000000e-02,4.482006817458e-03,3.878999271321e-02,2.305798967743e-02,1.124603808927e+00,1.125517725254e+00,1.730240329738e+02
35,3.500000000000e-01,87,1.000000000000e+00,1.000000000000e-02,4.419499078156e-03,3.832395698432e-02,2.270998856834e-02,1.109331698123e+00,1.110234577778e+00,1.689232779183e+02
36,3.600000000000e-01,87,1.000000000000e+00,1.000000000000e-02,4.354996910956e-03,3.788989217701e-02,2.236853531832e-02,1.093549900193e+00,1.094443395298e+00,1.649958443005e+02
37,3.700000000000e-01,86,1.000000000000e+00,1.000000000000e-02,4.290300242188e-03,3.747083360855e-02,2.202800549938e-02,1.077738942337e+00,1.078623628011e+00,1.612591628001e+02
38,3.800000000000e-01,85,1.000000000000e+00,1.000000000000e-02,4.228309659633e-03,3.705557193639e-02,2.168415494034e-02,1.062619207664e+00,1.063494606044e+00,1.576845087953e+02
39,3.900000000000e-01,84,1.000000000000e+00,1.000000000000e-02,4.169790785236e-03,3.663237508625e-02,2.133376098723e-02,1.048362440551e+00,1.049227455882e+00,1.542438250713e+02
40,4.000000000000e-01,83,1.000000000000e+00,1.000000000000e-02,4.114370485203e-03,3.618792808265e-02,2.097391757341e-02,1.034886592843e+00,1.035739667797e+00,1.509802867465e+02
41,4.100000000000e-01,83,1.000000000000e+00,1.000000000000e-02,4.061581230850e-03,3.572785872306e-02,2.060544851959e-02,1.022082359098e+00,1.022922240260e+00,1.478412318292e+02
42,4.200000000000e-01,82,1.000000000000e+00,1.000000000000e-02,4.009047459185e-03,3.527330106215e-02,2.023601267243e-02,1.009337454732e+00,1.010164279691e+00,1.448046051208e+02
43,4.300000000000e-01,81,1.000000000000e+00,1.000000000000e-02,3.954983368893e-03,3.484005290510e-02,1.986701458400e-02,9.962036203487e-01,9.970184665513e-01,1.419371344085e+02
44,4.400000000000e-01,80,1.000000000000e+00,1.000000000000e-02,3.899548298587e-03,3.443828945165e-02,1.950507499938e-02,9.827248263279e-01,9.835292240138e-01,1.391628621758e+02
45,4.500000000000e-01,78,1.000000000000e+00,1.000000000000e-02,3.842776055875e-03,3.407353879749e-02,1.915696259927e-02,9.689033794695e-01,9.696991909543e-01,1.364645656928e+02
46,4.600000000000e-01,76,1.000000000000e+00,1.000000000000e-02,3.784921940944e-03,3.374258633548e-02,1.882213044648e-02,9.548001725170e-01,9.555891009214e-01,1.339197034821e+02
47,4.700000000000e-01,74,1.000000000000e+00,1.000000000000e-02,3.727098691138e-03,3.343156510497e-02,1.849351149372e-02,9.407065468054e-01,9.414894465579e-01,1.314472973593e+02
48,4.800000000000e-01,71,1.000000000000e+00,1.000000000000e-02,3.670470964873e-03,3.312327413801e-02,1.816351835025e-02,9.269140777478e-01,9.276908130259e-01,1.290269440202e+02
49,4.900000000000e-01,67,1.000000000000e+00,1.000000000000e-02,3.616232527257e-03,3.279970885556e-02,1.782404979494e-02,9.137260309967e-01,9.144954097812e-01,1.267290152735e+02
50,5.000000000000e-01,64,1.000000000000e+00,1.000000000000e-02,3.565199426967e-03,3.245064790152e-02,1.747318123049e-02,9.013461720953e-01,9.021064178961e-01,1.246982852530e+02
