x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.197050173502e+01,1.083860612902e+00,-2.006046999282e-02,1.004930644922e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.195819708914e+01,1.059251321128e+00,-5.941512408103e-02,1.004764777206e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.193314091271e+01,1.009138968277e+00,-9.796537271093e-02,1.004427845496e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.189415195886e+01,9.311610605871e-01,-1.357857408031e-01,1.003904649071e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.184073757146e+01,8.243322857760e-01,-1.725112097102e-01,1.003188714559e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.177444917884e+01,6.917555005417e-01,-2.075484047975e-01,1.002301717111e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.169716872310e+01,5.371945890475e-01,-2.405383670102e-01,1.001269074812e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.161044239952e+01,3.637419419001e-01,-2.712607234197e-01,1.000111670055e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.151556390616e+01,1.739849551723e-01,-2.994235423790e-01,9.988469706905e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.141409371774e+01,-2.895542167261e-02,-3.245918415415e-01,9.974959005252e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,7.130797371541e+01,-2.411954263181e-01,-3.463161204166e-01,9.960839163105e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.119975973041e+01,-4.576233963248e-01,-3.645427395710e-01,9.946455568508e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,7.109018330946e+01,-6.767762382210e-01,-3.789527890412e-01,9.931900677303e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,7.098281722266e+01,-8.915084118254e-01,-3.897599223654e-01,9.917635213923e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,7.087668745261e+01,-1.103767951921e+00,-3.963034901836e-01,9.903558758733e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,7.077775923866e+01,-1.301624379816e+00,-3.994090229908e-01,9.890376506971e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,7.068298467499e+01,-1.491173507164e+00,-3.992391348110e-01,9.877801132619e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,7.059572541880e+01,-1.665692019548e+00,-3.950353873774e-01,9.866191574224e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,7.051781805587e+01,-1.821506745410e+00,-3.878402151728e-01,9.855812714231e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
