step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,1.000000000000e-02,131,1.000000000000e+00,1.000000000000e-02,7.191618794004e-03,7.108907618383e-02,4.150330171378e-02,1.796193292270e+00,1.798092946258e+00,2.264744175598e+03
2,2.000000000000e-02,120,1.000000000000e+00,1.000000000000e-02,8.127200342646e-03,7.661288313895e-02,5.778491103095e-02,2.032169954459e+00,2.034450639607e+00,1.497775475123e+03
3,3.000000000000e-02,127,1.000000000000e+00,1.000000000000e-02,7.343992764434e-03,6.993601812619e-02,5.252928412328e-02,1.838600169439e+00,1.840694132552e+00,9.852797320080e+02
4,4.000000000000e-02,129,1.000000000000e+00,1.000000000000e-02,6.968588403065e-03,6.645909222979e-02,4.811651429664e-02,1.744454437999e+00,1.746396821277e+00,8.043314100214e+02
5,5.000000000000e-02,131,1.000000000000e+00,1.000000000000e-02,6.747034274236e-03,6.361306709109e-02,4.455630378842e-02,1.688450697710e+00,1.690249439456e+00,6.786579880125e+02
6,6.000000000000e-02,132,1.000000000000e+00,1.000000000000e-02,6.598311710196e-03,6.115296117505e-02,4.156124510908e-02,1.650772734273e+00,1.652440976160e+00,5.817733699444e+02
7,7.000000000000e-02,133,1.000000000000e+00,1.000000000000e-02,6.479010469028e-03,5.900941285619e-02,3.898230745568e-02,1.620624977530e+00,1.622180331058e+00,5.331289042230e+02
8,8.000000000000e-02,133,1.000000000000e+00,1.000000000000e-02,6.379812215080e-03,5.709440590053e-02,3.677794939422e-02,1.595622383779e+00,1.597079798371e+00,4.850827499294e+02
9,9.000000000000e-02,133,1.000000000000e+00,1.000000000000e-02,6.287959183475e-03,5.545875351199e-02,3.493865217034e-02,1.572618645593e+00,1.573996609162e+00,4.486198125575e+02
10,1.000000000000e-01,132,1.000000000000e+00,1.000000000000e-02,6.193689135104e-03,5.401496525227e-02,3.341105270731e-02,1.549018599039e+00,1.550332511711e+00,4.113660761175e+02
11,1.100000000000e-01,130,1.000000000000e+00,1.000000000000e-02,6.098587672048e-03,5.273769105841e-02,3.216257998834e-02,1.525221016968e+00,1.526483553459e+00,3.819503159746e+02
12,1.200000000000e-01,129,1.000000000000e+00,1.000000000000e-02,6.003463119091e-03,5.160408000921e-02,3.113762405428e-02,1.501486660394e+00,1.502707811125e+00,3.643507080015e+02
13,1.300000000000e-01,127,1.000000000000e+00,1.000000000000e-02,5.912358078148e-03,5.060285904977e-02,3.031105610425e-02,1.478809549169e+00,1.479997313565e+00,3.461778851882e+02
14,1.400000000000e-01,124,1.000000000000e+00,1.000000000000e-02,5.824768630381e-03,4.973423696909e-02,2.964642380831e-02,1.456999847538e+00,1.458161475429e+00,3.309340915786e+02
15,1.500000000000e-01,121,1.000000000000e+00,1.000000000000e-02,5.740389416045e-03,4.895366818924e-02,2.909556759042e-02,1.435957073453e+00,1.437097311442e+00,3.256283608845e+02
16,1.600000000000e-01,118,1.000000000000e+00,1.000000000000e-02,5.659540572572e-03,4.825027460413e-02,2.863334108878e-02,1.415771826785e+00,1.416894439660e+00,3.128138701564e+02
17,1.700000000000e-01,115,1.000000000000e+00,1.000000000000e-02,5.582371667265e-03,4.759941028182e-02,2.823516007409e-02,1.396510356009e+00,1.397617710762e+00,2.979070762080e+02
18,1.800000000000e-01,112,1.000000000000e+00,1.000000000000e-02,5.508938738572e-03,4.699792645247e-02,2.788558782220e-02,1.378210187984e+00,1.379304202041e+00,2.826608808433e+02
19,1.900000000000e-01,109,1.000000000000e+00,1.000000000000e-02,5.438128224143e-03,4.643929981927e-02,2.757000180252e-02,1.360565439897e+00,1.361647752926e+00,2.707317480847e+02
20,2.000000000000e-01,106,1.000000000000e+00,1.000000000000e-02,5.370122887810e-03,4.590400001336e-02,2.727633628015e-02,1.343616704348e+00,1.344688016664e+00,2.605782815764e+02
