x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,1.433986214596e-04,-2.384962448506e-03,2.386417769662e-04,-1.191347631739e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,6.959845079726e-04,-7.076139698892e-03,7.101882147297e-04,-3.546305203422e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,1.838435503074e-03,-1.160729694187e-02,1.173839423036e-03,-5.860826382050e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,3.551479732142e-03,-1.596051965591e-02,1.633260229246e-03,-8.154001091556e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,5.801459780160e-03,-2.002166080288e-02,2.082302436554e-03,-1.039507826906e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,8.518325980314e-03,-2.367565143154e-02,2.513626953368e-03,-1.254742710488e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,1.163204081080e-02,-2.686953172081e-02,2.925222007177e-03,-1.460094718664e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,1.506914317669e-02,-2.955324635915e-02,3.314562193665e-03,-1.654293475681e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,1.874285185352e-02,-3.166923092078e-02,3.677267831173e-03,-1.835147344621e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,2.256343000279e-02,-3.317940321827e-02,4.009900942814e-03,-2.000941835029e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,2.644695089301e-02,-3.407391866417e-02,4.311039379428e-03,-2.150981918036e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,3.028302902385e-02,-3.433642055071e-02,4.576366789312e-03,-2.283108509577e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,3.395803647320e-02,-3.394656742773e-02,4.800134768790e-03,-2.394465767811e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,3.741715896174e-02,-3.297769300179e-02,4.986618191527e-03,-2.487214402581e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,4.054875242439e-02,-3.145049662702e-02,5.131207270163e-03,-2.559046076840e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,4.328675497260e-02,-2.941396810248e-02,5.233605529577e-03,-2.609829306339e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,4.569887769795e-02,-2.701502756471e-02,5.309303857841e-03,-2.647343066497e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,4.761923805054e-02,-2.426225613894e-02,5.345505945076e-03,-2.665156013304e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,4.898979807724e-02,-2.119167065042e-02,5.339201258958e-03,-2.661795534954e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,4.988615115614e-02,-1.794738835362e-02,5.303490112246e-03,-2.643832230231e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,5.017906922077e-02,-1.456754661981e-02,5.227209790353e-03,-2.605653950637e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,4.984776068638e-02,-1.112227053989e-02,5.109645984474e-03,-2.546921959664e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
