x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.185832685318e+01,8.595108492185e-01,-2.382863440288e-02,1.003617768741e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.184339233910e+01,8.296418210518e-01,-7.092819885628e-02,1.003432407472e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.181279325562e+01,7.684436540908e-01,-1.172180631309e-01,1.003055278414e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.176468606765e+01,6.722292781554e-01,-1.630805650520e-01,1.002460974885e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.169864330351e+01,5.401437498728e-01,-2.079012313153e-01,1.001642427684e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.161708179540e+01,3.770207336649e-01,-2.509475101442e-01,1.000632494997e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.152211880999e+01,1.870947628469e-01,-2.920173442854e-01,9.994580885588e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.141513414417e+01,-2.687456879974e-02,-3.308567482268e-01,9.981367864564e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.129784971518e+01,-2.614434267853e-01,-3.670277402339e-01,9.966893392846e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.117252517176e+01,-5.120925136171e-01,-4.001883826170e-01,9.951428625753e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,7.104139137711e+01,-7.743601029170e-01,-4.301980939267e-01,9.935241812707e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.090589117058e+01,-1.045360515993e+00,-4.566222282998e-01,9.918551414789e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,7.076952023470e+01,-1.318102387741e+00,-4.788934242270e-01,9.901721435070e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,7.063493439798e+01,-1.587274061178e+00,-4.974440849283e-01,9.885120434074e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,7.050319203156e+01,-1.850758794032e+00,-5.118101287428e-01,9.868870128046e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,7.037867800230e+01,-2.099786852548e+00,-5.219661667830e-01,9.853452356735e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,7.026293774465e+01,-2.331267367850e+00,-5.294684595109e-01,9.839092421913e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,7.015358880073e+01,-2.549965255684e+00,-5.330314659288e-01,9.825545715764e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,7.005730087111e+01,-2.742541114933e+00,-5.323598939377e-01,9.813535759915e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,6.997307461642e+01,-2.910993624299e+00,-5.287677335584e-01,9.803015089506e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,6.990031482288e+01,-3.056513211390e+00,-5.211324464025e-01,9.793942360706e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,6.984368270740e+01,-3.169777442339e+00,-5.093853656766e-01,9.786845658153e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-7.817863703751e-02,-4.936004880108e-01,1.564344650402e-01,9.876883405951e-01,6.980297907103e+01,-3.251184715082e+00,-4.948852217423e-01,9.781707316387e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.703093827340e-02,-4.975353574357e-01,9.410831331851e-02,9.955619646031e-01,6.977677174907e+01,-3.303599358994e+00,-4.768443527879e-01,9.778352017794e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.569762988233e-02,-4.995066821071e-01,3.141075907813e-02,9.995065603657e-01,6.976983225352e+01,-3.317478350103e+00,-4.559140404205e-01,9.777420411132e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.569762988233e-02,-4.995066821071e-01,-3.141075907813e-02,9.995065603657e-01,6.978674949373e+01,-3.283643869687e+00,-4.328035094831e-01,9.779522183273e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.703093827340e-02,-4.975353574357e-01,-9.410831331851e-02,9.955619646031e-01,6.981554650968e+01,-3.226049837783e+00,-4.079065042728e-01,9.782956654586e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
7.817863703751e-02,-4.936004880108e-01,-1.564344650402e-01,9.876883405951e-01,6.985866309936e+01,-3.139816658417e+00,-3.812093054149e-01,9.788069416784e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.090178004376e-01,-4.877176029643e-01,-2.181432413965e-01,9.759167619387e-01,6.991705454250e+01,-3.023033772150e+00,-3.533763891543e-01,9.795016762722e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
