step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,1.000000000000e-02,1.582772787968e-05,3.095152022083e+01,1.034524456522e-05,2.834097925350e+01,2.610540967326e+00,8.056885556162e-06,7.770842323514e-06
2,2.000000000000e-02,1.057207891544e-05,2.732820633319e+01,8.383722060690e-06,2.594754688897e+01,1.380659444221e+00,2.070288936284e-06,8.501789979160e-06
3,3.000000000000e-02,1.441560995216e-05,2.426104956900e+01,5.225460713465e-06,2.289645933244e+01,1.364590236562e+00,7.727969677185e-06,6.687640274977e-06
4,4.000000000000e-02,1.859635760935e-05,2.144951200283e+01,3.615455052508e-06,2.011043424450e+01,1.339077758331e+00,1.353703952411e-05,5.059318085240e-06
5,5.000000000000e-02,-2.387868719339e-06,1.878100725176e+01,2.835754157382e-06,1.748221787198e+01,1.298789379782e+00,-6.146396125506e-06,3.758527406167e-06
6,6.000000000000e-02,-4.923969012634e-05,1.629361079741e+01,2.406670736532e-06,1.503809095134e+01,1.255519846074e+00,-5.164504545996e-05,2.405355333614e-06
7,7.000000000000e-02,-9.065347662964e-05,1.400693581967e+01,2.171309632149e-06,1.279639762218e+01,1.210538197487e+00,-9.171787065632e-05,1.064394026674e-06
8,8.000000000000e-02,-1.011382760313e-04,1.192770965043e+01,2.071418631178e-06,1.076355359401e+01,1.164156056420e+00,-1.011445127022e-04,6.236670865509e-09
9,9.000000000000e-02,-6.362974133574e-05,1.005776580415e+01,2.084839668626e-06,8.940938840746e+00,1.116826963399e+00,-6.323157750465e-05,-3.981638310897e-07
10,1.000000000000e-01,3.076375157848e-05,8.396262632037e+00,2.201462621587e-06,7.326985739285e+00,1.069276892752e+00,3.042684280463e-05,3.369087738479e-07
11,1.100000000000e-01,1.434942023628e-04,6.935746152429e+00,2.353539403921e-06,5.913508014369e+00,1.022238138059e+00,1.413433181408e-04,2.150884222039e-06
12,1.200000000000e-01,1.920173101196e-04,5.661376268021e+00,2.419315038693e-06,4.685254317900e+00,9.761219501206e-01,1.880035216033e-04,4.013788516270e-06
13,1.300000000000e-01,1.303594656111e-04,4.556664479277e+00,2.363647128689e-06,3.625223976013e+00,9.314405032635e-01,1.256935978970e-04,4.665867714033e-06
14,1.400000000000e-01,4.832292469413e-06,3.608501072554e+00,2.256009875079e-06,2.719868432877e+00,8.886326396764e-01,1.122765289185e-06,3.709527180228e-06
15,1.500000000000e-01,-1.097227817559e-04,2.806344661840e+00,2.193656500865e-06,1.958386769564e+00,8.479578922765e-01,-1.114156339272e-04,1.692852171345e-06
16,1.600000000000e-01,-2.025363322151e-04,2.137729403399e+00,2.190226330911e-06,1.328123694687e+00,8.096057087127e-01,-2.016546630443e-04,-8.816691707270e-07
17,1.700000000000e-01,-3.087898391607e-04,1.587908513748e+00,2.178936034353e-06,8.142235692206e-01,7.736849445275e-01,-3.048069675318e-04,-3.982871628908e-06
18,1.800000000000e-01,-4.078072645361e-04,1.141996641945e+00,2.107204620960e-06,4.017670184601e-01,7.402296234851e-01,-4.004855255599e-04,-7.321738976204e-06
19,1.900000000000e-01,-4.004639541573e-04,7.854982806320e-01,2.006947420197e-06,7.628667362377e-02,7.092116070082e-01,-3.908093863125e-04,-9.654567844741e-06
20,2.000000000000e-01,-2.042728441117e-04,5.055151697606e-01,1.961194151440e-06,-1.750439556719e-01,6.805591254324e-01,-1.949573733329e-04,-9.315470778884e-06
20,2.000000000000e-01,-2.042728441117e-04,5.055151697606e-01,1.961194151440e-06,-1.750439556719e-01,6.805591254324e-01,-1.949573733329e-04,-9.315470778884e-06
