step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,1.073021671516e-10,1.569524274515e+02,-7.793232725817e-11,0.000000000000e+00,1.569524274515e+02,0.000000000000e+00,1.073021671516e-10
2,0.000000000000e+00,-9.097795036633e-06,1.302553515749e+02,9.179683559069e-06,1.307274035107e+00,1.289480775398e+02,-5.223077279293e-07,-8.575487308704e-06
3,0.000000000000e+00,-1.397330790712e-05,1.101677933273e+02,1.418085861360e-05,2.447389386068e+00,1.077204039412e+02,-8.471398461884e-07,-1.312616806093e-05
4,0.000000000000e+00,-1.629191942112e-05,9.490849729576e+01,1.669388584347e-05,3.415244257990e+00,9.149325303777e+01,-1.050146702070e-06,-1.524177271905e-05
5,0.000000000000e+00,-1.709556799162e-05,8.321109904565e+01,1.772237861530e-05,4.239711004968e+00,7.897138804069e+01,-1.187521014578e-06,-1.590804697704e-05
6,0.000000000000e+00,-1.702517965491e-05,7.415746267854e+01,1.789262268659e-05,4.949718077964e+00,6.920774460057e+01,-1.288563917956e-06,-1.573661573695e-05
7,0.000000000000e+00,-1.647894831774e-05,6.707820851364e+01,1.759213417074e-05,5.569474227099e+00,6.150873428654e+01,-1.356581451006e-06,-1.512236686674e-05
8,0.000000000000e+00,-1.572482712917e-05,6.148604966126e+01,1.705020878262e-05,6.121148617211e+00,5.536490104404e+01,-1.431667276147e-06,-1.429315985302e-05
9,0.000000000000e+00,-1.487769663111e-05,5.701907579712e+01,1.641070214475e-05,6.618771633296e+00,5.040030416382e+01,-1.487449584170e-06,-1.339024704694e-05
10,0.000000000000e+00,-1.404061064716e-05,5.341002227026e+01,1.575260074382e-05,7.073228024539e+00,4.633679424572e+01,-1.548998770723e-06,-1.249161187644e-05
11,0.000000000000e+00,-1.325135638489e-05,5.046156052425e+01,1.511885062300e-05,7.493634187180e+00,4.296792633707e+01,-1.613471752343e-06,-1.163788463254e-05
12,0.000000000000e+00,-1.253262090925e-05,4.802557909245e+01,1.452893435072e-05,7.886152202914e+00,4.013942688953e+01,-1.682628200633e-06,-1.084999270862e-05
13,0.000000000000e+00,-1.190041569288e-05,4.599024707913e+01,1.398935351560e-05,8.254907338046e+00,3.773533974109e+01,-1.766341575227e-06,-1.013407411765e-05
14,0.000000000000e+00,-1.133989434179e-05,4.427117148035e+01,1.350092829178e-05,8.603203401888e+00,3.566796807847e+01,-1.850190418345e-06,-9.489703923449e-06
15,0.000000000000e+00,-1.084421865627e-05,4.280457145176e+01,1.305992325840e-05,8.934004138357e+00,3.387056731340e+01,-1.932650663727e-06,-8.911567992542e-06
16,0.000000000000e+00,-1.040961230300e-05,4.154135412596e+01,1.266077964779e-05,9.249455222815e+00,3.229189890314e+01,-2.015705250907e-06,-8.393907052096e-06
17,0.000000000000e+00,-1.002769512987e-05,4.044361137638e+01,1.229784470524e-05,9.551259329217e+00,3.089235204716e+01,-2.098364309921e-06,-7.929330819945e-06
18,0.000000000000e+00,-9.693277369521e-06,3.948188401944e+01,1.196574181428e-05,9.840831535566e+00,2.964105248387e+01,-2.182305898074e-06,-7.510971471447e-06
19,0.000000000000e+00,-9.405646785171e-06,3.863324553022e+01,1.165989758434e-05,1.011952944453e+01,2.851371608569e+01,-2.272896036687e-06,-7.132750748484e-06
20,0.000000000000e+00,-9.145692597301e-06,3.787960059926e+01,1.137605102208e-05,1.038852677703e+01,2.749107382223e+01,-2.356901851630e-06,-6.788790745671e-06
