x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,4.441679994602e-05,-4.218419853645e-04,4.237096285006e-05,-2.109654526755e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,1.490920238037e-04,-1.254600656812e-03,1.262050261355e-04,-6.299030517538e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,3.537400836262e-04,-2.062274123482e-03,2.090125981441e-04,-1.043419897688e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,6.541996012920e-04,-2.823316443984e-03,2.895011629330e-04,-1.445279968510e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,1.040387371140e-03,-3.519675516038e-03,3.666338936768e-04,-1.830353746050e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,1.500385100031e-03,-4.134544176276e-03,4.393789544278e-04,-2.193476030707e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,2.020946999777e-03,-4.654286559912e-03,5.068936691589e-04,-2.530446355270e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,2.585793768800e-03,-5.068872357363e-03,5.684650052121e-04,-2.837718793160e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,3.177036987177e-03,-5.369978371499e-03,6.233340600919e-04,-3.111511217950e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,3.775488903189e-03,-5.553674506147e-03,6.709118886529e-04,-3.348895637217e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,4.361832286855e-03,-5.619786295074e-03,7.107358574953e-04,-3.547566872309e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,4.917604806592e-03,-5.571762451125e-03,7.424882945702e-04,-3.705943512033e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,5.424964874248e-03,-5.415735153666e-03,7.658908216538e-04,-3.822641978872e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,5.868625500828e-03,-5.162055686982e-03,7.809308559399e-04,-3.897603431525e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,6.235757380260e-03,-4.822913818468e-03,7.876822767593e-04,-3.931197718300e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,6.516222094219e-03,-4.412581902370e-03,7.863496467267e-04,-3.924453010395e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,6.702471453262e-03,-3.946843237902e-03,7.772273381467e-04,-3.878844742891e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,6.789891388984e-03,-3.442350358355e-03,7.606984002971e-04,-3.796290068904e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,6.776892911003e-03,-2.916362966374e-03,7.372411949005e-04,-3.679183812276e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,6.664790868269e-03,-2.386278767936e-03,7.074078547498e-04,-3.530261900751e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
