step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,1.000000000000e+00,8.964244873335e-06,7.962932100153e-02,7.338429600728e+00,9.580102132188e-01,1.994714755734e+01,2.127593403535e+01,1.249578509636e+05
2,0.000000000000e+00,3,1.001536235531e+00,8.955000100287e-06,7.375802684201e-02,4.824437583029e+00,3.497027754299e-01,1.785817023376e+01,1.850181543439e+01,1.137599690051e+05
3,0.000000000000e+00,3,1.003074831082e+00,8.949013822610e-06,6.657119364560e-02,3.349717587925e+00,1.694230324417e-01,1.576754145152e+01,1.612045617319e+01,9.780070233596e+04
4,0.000000000000e+00,3,1.004615790278e+00,8.945273769923e-06,6.037820676259e-02,2.457002765148e+00,1.801795247630e-01,1.415312802943e+01,1.436607134169e+01,8.372350743341e+04
5,0.000000000000e+00,3,1.006159116751e+00,8.943338006524e-06,5.538614110318e-02,1.898790742037e+00,1.846822819229e-01,1.294285462968e+01,1.308281572968e+01,7.242790956315e+04
6,0.000000000000e+00,3,1.007704814136e+00,8.942618137813e-06,5.142731889349e-02,1.536087488482e+00,1.697645106058e-01,1.202223405090e+01,1.212126813106e+01,6.412851474112e+04
7,0.000000000000e+00,3,1.009252886077e+00,8.942783686998e-06,4.834773283196e-02,1.288320188015e+00,1.471722594091e-01,1.131813838597e+01,1.139227907875e+01,5.782422557642e+04
8,0.000000000000e+00,3,1.010803336220e+00,8.943701743806e-06,4.584501437135e-02,1.111164151939e+00,1.239426203103e-01,1.074918921910e+01,1.080727616836e+01,5.288165931128e+04
9,0.000000000000e+00,3,1.012356168221e+00,8.945260184006e-06,4.377312368151e-02,9.786380927737e-01,1.046984961646e-01,1.027753655416e+01,1.032464856545e+01,4.889583164335e+04
10,0.000000000000e+00,3,1.013911385737e+00,8.947394544457e-06,4.201290483700e-02,8.758098120767e-01,8.991073828789e-02,9.875784500410e+00,9.915039654510e+00,4.560321340916e+04
11,0.000000000000e+00,3,1.015468992433e+00,8.950075609492e-06,4.047953237917e-02,7.936668402253e-01,7.886545560908e-02,9.525118266566e+00,9.558537722789e+00,4.281719459581e+04
12,0.000000000000e+00,3,1.017028991980e+00,8.953260514607e-06,3.911309603124e-02,7.264023935910e-01,7.071435713489e-02,9.212026986766e+00,9.240975705893e+00,4.038743730921e+04
13,0.000000000000e+00,3,1.018591388054e+00,8.956922476228e-06,3.788257655476e-02,6.702045577900e-01,6.476263495277e-02,8.930322451676e+00,8.955750249347e+00,3.828069258451e+04
14,0.000000000000e+00,3,1.020156184336e+00,8.961021984226e-06,3.676398939232e-02,6.224554121262e-01,6.040051554059e-02,8.674646893501e+00,8.697238025960e+00,3.643124829935e+04
15,0.000000000000e+00,3,1.021723384514e+00,8.965526443479e-06,3.573740643514e-02,5.813968490601e-01,5.704962897723e-02,8.440224898246e+00,8.460493511105e+00,3.479043648755e+04
16,0.000000000000e+00,3,1.023292992281e+00,8.970406452075e-06,3.478838371097e-02,5.456717185091e-01,5.438462559870e-02,8.223692057847e+00,8.242028670528e+00,3.332201764343e+04
17,0.000000000000e+00,3,1.024865011334e+00,8.975635472841e-06,3.390548734332e-02,5.142666758559e-01,5.220954666976e-02,8.022408570639e+00,8.039115928197e+00,3.199787226747e+04
18,0.000000000000e+00,3,1.026439445380e+00,8.981189521199e-06,3.307848410559e-02,4.864177207941e-01,5.049288216872e-02,7.834114667224e+00,7.849433007267e+00,3.079581361383e+04
19,0.000000000000e+00,3,1.028016298126e+00,8.987046893088e-06,3.230107143437e-02,4.615400306892e-01,4.908559618081e-02,7.657286108134e+00,7.671408116944e+00,2.969807665030e+04
20,0.000000000000e+00,3,1.029595573290e+00,8.993187924725e-06,3.156804034404e-02,4.391691819403e-01,4.787668739312e-02,7.490630200919e+00,7.503712354272e+00,2.869025088857e+04
21,0.000000000000e+00,3,1.031177274593e+00,8.999594779475e-06,3.087466481675e-02,4.189328966624e-01,4.680829901968e-02,7.333006346304e+00,7.345177404844e+00,2.776051142276e+04
22,0.000000000000e+00,3,1.032761405761e+00,9.006251258274e-06,3.021678581711e-02,4.005299856863e-01,4.584968700340e-02,7.183437038409e+00,7.194804180947e+00,2.689905444217e+04
