x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.206192467920e+01,1.266706501257e+00,-4.236871887921e-02,1.006675235538e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.205291703955e+01,1.248691221959e+00,-1.262644019044e-01,1.006556445264e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.203508768579e+01,1.213032514439e+00,-2.088488033304e-01,1.006319728974e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.200858133966e+01,1.160019822179e+00,-2.888950760015e-01,1.005968777403e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.197378227847e+01,1.090421699799e+00,-3.654561309895e-01,1.005508891404e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.193125761719e+01,1.005372377246e+00,-4.375886983501e-01,1.004947582476e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.188175741670e+01,9.063719762654e-01,-5.045240915209e-01,1.004294612802e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.182595346821e+01,7.947640792738e-01,-5.655341087077e-01,1.003558716427e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.176489307176e+01,6.726432863858e-01,-6.198535778398e-01,1.002753717127e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.169975759980e+01,5.423723424660e-01,-6.669290763625e-01,1.001895245659e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,7.163180365940e+01,4.064644616478e-01,-7.063130823088e-01,1.000999950460e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.156229668424e+01,2.674505113453e-01,-7.377052771850e-01,1.000084538865e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,7.149245549346e+01,1.277681297762e-01,-7.608466318786e-01,9.991645992649e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,7.142343886442e+01,-1.026512831021e-02,-7.757270705004e-01,9.982546905460e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,7.135634029844e+01,-1.444622602685e-01,-7.824173750680e-01,9.973689584839e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,7.129215063407e+01,-2.728415890060e-01,-7.811117290486e-01,9.965204287164e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,7.123174179827e+01,-3.936592606125e-01,-7.721055370336e-01,9.957205919969e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,7.117589628260e+01,-5.053502919418e-01,-7.557790678880e-01,9.949798073774e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,7.112530342561e+01,-6.065360059298e-01,-7.325866372174e-01,9.943073266804e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,7.108059588444e+01,-6.959510882665e-01,-7.030656710702e-01,9.937116899811e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,7.104230814657e+01,-7.725265640039e-01,-6.684304996829e-01,9.932001460503e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,7.100997229021e+01,-8.371982767288e-01,-6.294968787310e-01,9.927667013120e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-7.817863703751e-02,-4.936004880108e-01,1.564344650402e-01,9.876883405951e-01,7.098357304765e+01,-8.899967618388e-01,-5.868007326248e-01,9.924108967301e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.703093827340e-02,-4.975353574357e-01,9.410831331851e-02,9.955619646031e-01,7.096302329641e+01,-9.310962643152e-01,-5.413105233904e-01,9.921319195246e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.569762988233e-02,-4.995066821071e-01,3.141075907813e-02,9.995065603657e-01,7.094797418250e+01,-9.611944921361e-01,-4.940107278870e-01,9.919254761765e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.569762988233e-02,-4.995066821071e-01,-3.141075907813e-02,9.995065603657e-01,7.093795902484e+01,-9.812248074623e-01,-4.457865630846e-01,9.917857180001e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.703093827340e-02,-4.975353574357e-01,-9.410831331851e-02,9.955619646031e-01,7.093245589496e+01,-9.922310672162e-01,-3.974556794120e-01,9.917060954738e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
7.817863703751e-02,-4.936004880108e-01,-1.564344650402e-01,9.876883405951e-01,7.093099902763e+01,-9.951448018861e-01,-3.496673528807e-01,9.916802360694e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.090178004376e-01,-4.877176029643e-01,-2.181432413965e-01,9.759167619387e-01,7.093316405314e+01,-9.908147508604e-01,-3.031766224928e-01,9.917023282143e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.394267203850e-01,-4.799099193559e-01,-2.789911060392e-01,9.602936856769e-01,7.093841002395e+01,-9.803228092368e-01,-2.585674180650e-01,9.917659439785e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.692853867649e-01,-4.702082505459e-01,-3.387379202453e-01,9.408807689542e-01,7.094626735135e+01,-9.646081544431e-01,-2.162773994279e-01,9.918652013140e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.984759610624e-01,-4.586508845886e-01,-3.971478906348e-01,9.177546256840e-01,7.095627752273e+01,-9.445878116858e-01,-1.766876675633e-01,9.919941928031e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.268832414167e-01,-4.452834331275e-01,-4.539904997395e-01,8.910065241884e-01,7.096799804481e+01,-9.211467675212e-01,-1.400758757308e-01,9.921471847839e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.543951172702e-01,-4.301586513865e-01,-5.090414157504e-01,8.607420270039e-01,7.098102838546e+01,-8.950860862292e-01,-1.067377018669e-01,9.923188433367e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.809030118179e-01,-4.133362299692e-01,-5.620833778521e-01,8.270805742746e-01,7.099482089046e+01,-8.675010762181e-01,-7.686791374871e-02,9.925019535055e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.063023105103e-01,-3.948825592877e-01,-6.129070536530e-01,7.901550123757e-01,7.100904633931e+01,-8.390501785291e-01,-5.044307642512e-02,9.926920455907e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.304927739193e-01,-3.748704675493e-01,-6.613118653237e-01,7.501110696305e-01,7.102344150839e+01,-8.102598403610e-01,-2.747266405297e-02,9.928855324622e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.533789333375e-01,-3.533789333375e-01,-7.071067811865e-01,7.071067811865e-01,7.103776682576e+01,-7.816092056188e-01,-7.920183417228e-03,9.930791245863e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.748704675493e-01,-3.304927739193e-01,-7.501110696305e-01,6.613118653237e-01,7.105183655607e+01,-7.534697450023e-01,8.303456726012e-03,9.932702384484e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.948825592877e-01,-3.063023105103e-01,-7.901550123757e-01,6.129070536530e-01,7.106549770270e+01,-7.261474517420e-01,2.128316742091e-02,9.934565961683e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.133362299692e-01,-2.809030118179e-01,-8.270805742746e-01,5.620833778521e-01,7.107862034760e+01,-6.999021619497e-01,3.111276552183e-02,9.936362431959e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.301586513865e-01,-2.543951172702e-01,-8.607420270039e-01,5.090414157504e-01,7.109107990385e+01,-6.749830494496e-01,3.789058702228e-02,9.938072922378e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.452834331275e-01,-2.268832414167e-01,-8.910065241884e-01,4.539904997395e-01,7.110274334924e+01,-6.516561586685e-01,4.172787001362e-02,9.939677618300e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.586508845886e-01,-1.984759610624e-01,-9.177546256840e-01,3.971478906348e-01,7.111346129509e+01,-6.302202669662e-01,4.276831958238e-02,9.941154668392e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.702082505459e-01,-1.692853867649e-01,-9.408807689542e-01,3.387379202453e-01,7.112307420056e+01,-6.109944560293e-01,4.120669629558e-02,9.942480991191e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.799099193559e-01,-1.394267203850e-01,-9.602936856769e-01,2.789911060392e-01,7.113142178686e+01,-5.942992834226e-01,3.729684459494e-02,9.943633658331e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.877176029643e-01,-1.090178004376e-01,-9.759167619387e-01,2.181432413965e-01,7.113835419540e+01,-5.804344663466e-01,3.134212765361e-02,9.944591317909e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.936004880108e-01,-7.817863703751e-02,-9.876883405951e-01,1.564344650402e-01,7.114372559437e+01,-5.696916684023e-01,2.369255549604e-02,9.945333377443e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.975353574357e-01,-4.703093827340e-02,-9.955619646031e-01,9.410831331852e-02,7.114739860676e+01,-5.623456436161e-01,1.476443267751e-02,9.945840609548e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.995066821071e-01,-1.569762988233e-02,-9.995065603657e-01,3.141075907813e-02,7.114927196165e+01,-5.585989338425e-01,5.037044926456e-03,9.946099052345e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.995066821071e-01,1.569762988233e-02,-9.995065603657e-01,-3.141075907813e-02,7.114928560794e+01,-5.585716412720e-01,-4.973187755166e-03,9.946101041913e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.975353574357e-01,4.703093827340e-02,-9.955619646031e-01,-9.410831331851e-02,7.114743779218e+01,-5.622672727745e-01,-1.471355449098e-02,9.945846311526e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.936004880108e-01,7.817863703751e-02,-9.876883405951e-01,-1.564344650402e-01,7.114378554220e+01,-5.695717727507e-01,-2.366814431119e-02,9.945342076771e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.877176029643e-01,1.090178004376e-01,-9.759167619387e-01,-2.181432413965e-01,7.113842388133e+01,-5.802950944880e-01,-3.135430859960e-02,9.944601466023e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.799099193559e-01,1.394267203850e-01,-9.602936856769e-01,-2.789911060392e-01,7.113148632028e+01,-5.941702165912e-01,-3.734255541107e-02,9.943643143275e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.702082505459e-01,1.692853867649e-01,-9.408807689542e-01,-3.387379202453e-01,7.112312651404e+01,-6.108898290665e-01,-4.127151568315e-02,9.942488780635e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.586508845886e-01,1.984759610624e-01,-9.177546256840e-01,-3.971478906348e-01,7.111350415504e+01,-6.301345470695e-01,-4.284158795169e-02,9.941161069562e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.452834331275e-01,2.268832414167e-01,-8.910065241884e-01,-4.539904997395e-01,7.110278099081e+01,-6.515808755238e-01,-4.180927868433e-02,9.939683145645e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.301586513865e-01,2.543951172702e-01,-8.607420270039e-01,-5.090414157504e-01,7.109111348591e+01,-6.749158853265e-01,-3.798436931258e-02,9.938077658698e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.133362299692e-01,2.809030118179e-01,-8.270805742746e-01,-5.620833778521e-01,7.107864850820e+01,-6.998458407398e-01,-3.122195982872e-02,9.936366172709e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.948825592877e-01,3.063023105103e-01,-7.901550123757e-01,-6.129070536530e-01,7.106551777890e+01,-7.261072993489e-01,-2.140743372939e-02,9.934568357520e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.748704675493e-01,3.304927739193e-01,-7.501110696305e-01,-6.613118653237e-01,7.105184720139e+01,-7.534484543630e-01,-8.439446990912e-03,9.932703358782e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.533789333375e-01,3.533789333375e-01,-7.071067811865e-01,-7.071067811865e-01,7.103776658328e+01,-7.816096905816e-01,7.777315230200e-03,9.930790602173e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.304927739193e-01,3.748704675493e-01,-6.613118653237e-01,-7.501110696305e-01,7.102342992167e+01,-8.102830137966e-01,2.732833883173e-02,9.928852957904e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.063023105103e-01,3.948825592877e-01,-6.129070536530e-01,-7.901550123757e-01,7.100902420221e+01,-8.390944527144e-01,5.030217054772e-02,9.926916598362e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.809030118179e-01,4.133362299692e-01,-5.620833778521e-01,-8.270805742746e-01,7.099478791555e+01,-8.675670260482e-01,7.673381634413e-02,9.925014180624e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.543951172702e-01,4.301586513865e-01,-5.090414157504e-01,-8.607420270039e-01,7.098098549928e+01,-8.951718585737e-01,1.066122466982e-01,9.923181734219e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.268832414167e-01,4.452834331275e-01,-4.539904997395e-01,-8.910065241884e-01,7.096794404154e+01,-9.212547740565e-01,1.399611941187e-01,9.921463560638e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.984759610624e-01,4.586508845886e-01,-3.971478906348e-01,-9.177546256840e-01,7.095621499494e+01,-9.447128672687e-01,1.765848337275e-01,9.919932732512e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.692853867649e-01,4.702082505459e-01,-3.387379202453e-01,-9.408807689542e-01,7.094619463325e+01,-9.647535906360e-01,2.161864612823e-01,9.918641579651e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.394267203850e-01,4.799099193559e-01,-2.789911060392e-01,-9.602936856769e-01,7.093832512878e+01,-9.804925995777e-01,2.584900765781e-01,9.917647289850e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.090178004376e-01,4.877176029643e-01,-2.181432413965e-01,-9.759167619387e-01,7.093307016359e+01,-9.910025299593e-01,3.031141251310e-01,9.917010218355e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
7.817863703751e-02,4.936004880108e-01,-1.564344650402e-01,-9.876883405951e-01,7.093089459996e+01,-9.953536572326e-01,3.496204782944e-01,9.916788029464e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
