step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2,0.000000000000e+00,9.765586894694e-09,6.810659337510e+00,-2.300134908928e-16,6.810659337510e+00,0.000000000000e+00,9.765586894694e-09,0.000000000000e+00
3,0.000000000000e+00,2.568195911490e-08,1.277562783642e+01,-4.756937031780e-16,1.277562783642e+01,0.000000000000e+00,2.568195911490e-08,0.000000000000e+00
4,0.000000000000e+00,6.339069269501e-08,1.787480381747e+01,-5.006032480909e-16,1.787480381747e+01,0.000000000000e+00,6.339069269501e-08,0.000000000000e+00
5,0.000000000000e+00,1.285330307743e-07,2.212755765198e+01,-6.559965244624e-16,2.212755765198e+01,0.000000000000e+00,1.285330307743e-07,0.000000000000e+00
6,0.000000000000e+00,2.109319358623e-07,2.559538043446e+01,-8.766316665632e-16,2.559538043446e+01,0.000000000000e+00,2.109319358623e-07,0.000000000000e+00
7,0.000000000000e+00,3.039862312981e-07,2.835769207207e+01,-8.885036803519e-16,2.835769207207e+01,0.000000000000e+00,3.039862312981e-07,0.000000000000e+00
8,0.000000000000e+00,4.128356040356e-07,3.049272187790e+01,-1.053031360027e-15,3.049272187790e+01,0.000000000000e+00,4.128356040356e-07,0.000000000000e+00
9,0.000000000000e+00,5.571144561789e-07,3.208015602863e+01,-8.443766519317e-16,3.208015602863e+01,0.000000000000e+00,5.571144561789e-07,0.000000000000e+00
10,0.000000000000e+00,7.183653703002e-07,3.322142172431e+01,-1.061542347081e-15,3.322142172431e+01,0.000000000000e+00,7.183653703002e-07,0.000000000000e+00
11,0.000000000000e+00,8.867582763639e-07,3.399245691347e+01,-1.022131598111e-15,3.399245691347e+01,0.000000000000e+00,8.867582763639e-07,0.000000000000e+00
12,0.000000000000e+00,1.051560269916e-06,3.445990682652e+01,-1.142965930234e-15,3.445990682652e+01,0.000000000000e+00,1.051560269916e-06,0.000000000000e+00
13,0.000000000000e+00,1.205078253685e-06,3.467746580562e+01,-1.113800891794e-15,3.467746580562e+01,0.000000000000e+00,1.205078253685e-06,0.000000000000e+00
14,0.000000000000e+00,1.360570952069e-06,3.469997132066e+01,-1.061217086429e-15,3.469997132066e+01,0.000000000000e+00,1.360570952069e-06,0.000000000000e+00
15,0.000000000000e+00,1.469859394088e-06,3.457280339546e+01,-1.037418848743e-15,3.457280339546e+01,0.000000000000e+00,1.469859394088e-06,0.000000000000e+00
16,0.000000000000e+00,1.575969831802e-06,3.432973139239e+01,-1.008416440629e-15,3.432973139239e+01,0.000000000000e+00,1.575969831802e-06,0.000000000000e+00
17,0.000000000000e+00,1.713000432557e-06,3.399186773840e+01,-1.041105136129e-15,3.399186773840e+01,0.000000000000e+00,1.713000432557e-06,0.000000000000e+00
18,0.000000000000e+00,1.836594947624e-06,3.357682547333e+01,-1.089135292370e-15,3.357682547333e+01,0.000000000000e+00,1.836594947624e-06,0.000000000000e+00
19,0.000000000000e+00,1.939023508757e-06,3.311394173226e+01,-7.869681468986e-16,3.311394173226e+01,0.000000000000e+00,1.939023508757e-06,0.000000000000e+00
20,0.000000000000e+00,2.041274883791e-06,3.263565416325e+01,-9.704693645918e-16,3.263565416325e+01,0.000000000000e+00,2.041274883791e-06,0.000000000000e+00
