step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,5.000000000000e-01,4.486033898898e-05,7.963639993324e-02,6.906801291900e-01,3.992362954096e-01,1.994892282487e+01,1.996502673400e+01,1.249470669503e+05
2,0.000000000000e+00,3,5.000000000000e-01,4.497014771039e-05,7.142170138377e-02,5.239519523243e-01,3.062921554688e-01,1.786522772756e+01,1.787567630468e+01,1.122432601879e+05
3,0.000000000000e+00,3,5.000000000000e-01,4.498759844727e-05,6.368173199510e-02,4.328289274719e-01,2.554586321215e-01,1.593167292089e+01,1.593972576346e+01,9.899683757828e+04
4,0.000000000000e+00,3,5.000000000000e-01,4.503774120519e-05,5.699046822966e-02,3.881066349249e-01,2.306361072590e-01,1.426405869459e+01,1.427131522076e+01,8.596512904520e+04
5,0.000000000000e+00,3,5.000000000000e-01,4.511177750808e-05,5.151905904513e-02,3.689095185874e-01,2.196998788530e-01,1.289944330568e+01,1.290669028370e+01,7.359228532263e+04
6,0.000000000000e+00,3,5.000000000000e-01,4.520126052561e-05,4.710955718532e-02,3.609160435385e-01,2.148396981799e-01,1.179825250516e+01,1.180582051245e+01,6.205706486411e+04
7,0.000000000000e+00,3,5.000000000000e-01,4.529965448831e-05,4.355860475232e-02,3.563435499154e-01,2.126915850911e-01,1.091024923589e+01,1.091822577973e+01,5.142260727742e+04
8,0.000000000000e+00,3,5.000000000000e-01,4.540691487620e-05,4.071274734792e-02,3.522097078894e-01,2.107261382797e-01,1.019757215662e+01,1.020590969003e+01,4.227887429756e+04
9,0.000000000000e+00,3,5.000000000000e-01,4.550753145195e-05,3.839905081673e-02,3.465699707858e-01,2.065564439423e-01,9.618206965663e+00,9.626741714132e+00,4.092735253873e+04
10,0.000000000000e+00,3,5.000000000000e-01,4.560276974987e-05,3.661154328406e-02,3.390447436819e-01,2.009658826863e-01,9.170080479119e+00,9.178619450813e+00,3.839576005929e+04
11,0.000000000000e+00,3,5.000000000000e-01,4.569017720592e-05,3.526501142722e-02,3.298038601964e-01,1.943570870881e-01,8.832014365982e+00,8.840377064664e+00,3.493099920799e+04
12,0.000000000000e+00,3,5.000000000000e-01,4.576968819581e-05,3.428566429683e-02,3.192371307903e-01,1.872510292679e-01,8.585912991021e+00,8.593954426793e+00,3.161460683357e+04
13,0.000000000000e+00,3,5.000000000000e-01,4.583869168938e-05,3.352134794219e-02,3.083242697891e-01,1.803087496467e-01,8.394167972409e+00,8.401830439275e+00,3.320960704045e+04
14,0.000000000000e+00,3,5.000000000000e-01,4.589525117252e-05,3.286339182657e-02,2.972314270273e-01,1.735626385391e-01,8.229782822259e+00,8.237042904755e+00,3.366552662777e+04
15,0.000000000000e+00,3,5.000000000000e-01,4.594572970638e-05,3.221962417941e-02,2.862756391808e-01,1.670143422429e-01,8.069290853211e+00,8.076158771965e+00,3.286243460553e+04
16,0.000000000000e+00,3,5.000000000000e-01,4.599992128445e-05,3.159335229039e-02,2.762146733153e-01,1.612709370111e-01,7.913171960358e+00,7.919696425683e+00,3.086236140787e+04
17,0.000000000000e+00,3,5.000000000000e-01,4.596638774124e-05,3.095940707432e-02,2.665696335391e-01,1.563312384561e-01,7.755204854950e+00,7.761421239230e+00,2.790614585206e+04
18,0.000000000000e+00,3,5.000000000000e-01,4.593407952030e-05,3.029836781207e-02,2.582526938673e-01,1.520444270399e-01,7.590378653490e+00,7.596352944416e+00,2.601092296020e+04
19,0.000000000000e+00,3,5.000000000000e-01,4.591743487614e-05,2.956455381656e-02,2.509173070574e-01,1.481506346976e-01,7.407550576288e+00,7.413338499533e+00,2.612369630921e+04
20,0.000000000000e+00,3,5.000000000000e-01,4.591485405229e-05,2.876484994322e-02,2.444335603071e-01,1.445447026352e-01,7.207619786935e+00,7.213269116432e+00,2.504995591866e+04
21,0.000000000000e+00,3,5.000000000000e-01,4.592077300893e-05,2.796742431495e-02,2.387419795654e-01,1.412601579279e-01,7.007700579888e+00,7.013244738295e+00,2.333975368833e+04
22,0.000000000000e+00,3,5.000000000000e-01,4.593321462788e-05,2.718840202183e-02,2.336410361742e-01,1.381943069629e-01,6.812187499691e+00,6.817647947819e+00,2.114344886276e+04
23,0.000000000000e+00,3,5.000000000000e-01,4.595102196466e-05,2.643865729207e-02,2.287608137392e-01,1.351817869871e-01,6.624014569438e+00,6.629394666495e+00,2.067172517604e+04
