x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,6.878939197836e+01,-5.278358900417e+00,0.000000000000e+00,9.728192700638e-01,1.841998298959e-03,-5.861333625885e-02,5.893891302635e-03,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,6.878490901755e+01,-5.287324822048e+00,0.000000000000e+00,9.727513612387e-01,1.649601891379e-02,-1.745096518982e-01,1.761738634205e-02,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,6.877961483922e+01,-5.297913178701e+00,0.000000000000e+00,9.726873457723e-01,4.562395888586e-02,-2.880583395210e-01,2.931252775282e-02,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,6.877034416333e+01,-5.316454530480e+00,0.000000000000e+00,9.725907053520e-01,8.868043941845e-02,-3.967334799396e-01,4.085888538570e-02,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,6.876007159932e+01,-5.336999658501e+00,0.000000000000e+00,9.724862467096e-01,1.447656017970e-01,-4.982864697102e-01,5.215363431348e-02,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,6.874937223302e+01,-5.358398391102e+00,0.000000000000e+00,9.723789107858e-01,2.127383797987e-01,-5.909035818195e-01,6.312500273134e-02,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,6.873874718908e+01,-5.379648478976e+00,0.000000000000e+00,9.722733939926e-01,2.912320368806e-01,-6.729975288735e-01,7.370827782111e-02,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,6.872873128740e+01,-5.399680282347e+00,0.000000000000e+00,9.721751439686e-01,3.787134954363e-01,-7.432670847198e-01,8.385000479767e-02,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,6.872013631796e+01,-5.416870221219e+00,0.000000000000e+00,9.720919449365e-01,4.735118302458e-01,-8.006647788673e-01,9.350296098998e-02,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,6.871432213488e+01,-5.428498587391e+00,0.000000000000e+00,9.720391974501e-01,5.739144225094e-01,-8.444894278272e-01,1.026362165435e-01,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,6.871181887313e+01,-5.433505110889e+00,0.000000000000e+00,9.720191003732e-01,6.780017809794e-01,-8.740746291751e-01,1.111972058293e-01,WALL
