x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.397621751551e-03,-5.873743005901e-02,5.950126880544e-03,0.000000000000e+00,1.841998298959e-03,-5.861333625885e-02,5.893891302635e-03,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,2.195136671821e-02,-1.746796142799e-01,1.769454422116e-02,0.000000000000e+00,1.649601891379e-02,-1.745096518982e-01,1.761738634205e-02,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,5.115614204811e-02,-2.881838525297e-01,2.941735731709e-02,0.000000000000e+00,4.562395888586e-02,-2.880583395210e-01,2.931252775282e-02,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,9.424621108601e-02,-3.968225825491e-01,4.099364699289e-02,0.000000000000e+00,8.868043941845e-02,-3.967334799396e-01,4.085888538570e-02,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,1.503514843042e-01,-4.983206501235e-01,5.231679232721e-02,0.000000000000e+00,1.447656017970e-01,-4.982864697102e-01,5.215363431348e-02,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,2.183404070122e-01,-5.908949968331e-01,6.331765473239e-02,0.000000000000e+00,2.127383797987e-01,-5.909035818195e-01,6.312500273134e-02,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,2.968574684960e-01,-6.729708673960e-01,7.393276281307e-02,0.000000000000e+00,2.912320368806e-01,-6.729975288735e-01,7.370827782111e-02,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,3.843770039510e-01,-7.432401652130e-01,8.410815813649e-02,0.000000000000e+00,3.787134954363e-01,-7.432670847198e-01,8.385000479767e-02,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,4.792350207261e-01,-8.006505223747e-01,9.379648390586e-02,0.000000000000e+00,4.735118302458e-01,-8.006647788673e-01,9.350296098998e-02,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,5.797441380527e-01,-8.445017296047e-01,1.029683539948e-01,0.000000000000e+00,5.739144225094e-01,-8.444894278272e-01,1.026362165435e-01,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,6.839694765901e-01,-8.741842409111e-01,1.115753591931e-01,0.000000000000e+00,6.780017809794e-01,-8.740746291751e-01,1.111972058293e-01,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.898770813643e-01,-8.891383301301e-01,1.195516735515e-01,0.000000000000e+00,7.836874087096e-01,-8.889188765960e-01,1.191218885991e-01,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,8.953366751957e-01,-8.891569634603e-01,1.268372418784e-01,0.000000000000e+00,8.889498574433e-01,-8.889498574433e-01,1.263672062145e-01,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,9.986048756826e-01,-8.745905421550e-01,1.334250803192e-01,0.000000000000e+00,9.919659083890e-01,-8.745355878261e-01,1.329197920344e-01,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,1.098500679074e+00,-8.467800021711e-01,1.393972821299e-01,0.000000000000e+00,1.091640997427e+00,-8.467635551258e-01,1.388506216265e-01,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,1.192632631940e+00,-8.056951408600e-01,1.446351418115e-01,0.000000000000e+00,1.185500014968e+00,-8.056649782174e-01,1.440398519040e-01,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,1.277485755293e+00,-7.512390657864e-01,1.489063880376e-01,0.000000000000e+00,1.270072824169e+00,-7.511189743710e-01,1.482585577801e-01,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,1.349403150635e+00,-6.838945266961e-01,1.519747995048e-01,0.000000000000e+00,1.341667470803e+00,-6.836137211329e-01,1.512691845923e-01,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,1.406060053529e+00,-6.053281722511e-01,1.537525950019e-01,0.000000000000e+00,1.397674323283e+00,-6.048276889615e-01,1.529595405490e-01,WALL
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,1.447923564130e+00,-5.186145623594e-01,1.544369025291e-01,0.000000000000e+00,1.438392724294e+00,-5.178532455978e-01,1.535105319881e-01,WALL
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,1.475357044148e+00,-4.265230269784e-01,1.541731466959e-01,0.000000000000e+00,1.465756284699e+00,-4.258415661285e-01,1.532284889656e-01,WALL
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,1.485185272381e+00,-3.304546788244e-01,1.526989607519e-01,0.000000000000e+00,1.476991738676e+00,-3.301467686143e-01,1.518898860237e-01,WALL
-7.817863703751e-02,-4.936004880108e-01,1.564344650402e-01,9.876883405951e-01,1.473498718166e+00,-2.326298390953e-01,1.496687405736e-01,0.000000000000e+00,1.463597995674e+00,-2.318111494050e-01,1.486749471123e-01,WALL
-4.703093827340e-02,-4.975353574357e-01,9.410831331851e-02,9.955619646031e-01,1.438166707446e+00,-1.359338394715e-01,1.448910881873e-01,0.000000000000e+00,1.427161031897e+00,-1.349064370888e-01,1.437827741815e-01,WALL
-1.569762988233e-02,-4.995066821071e-01,3.141075907813e-02,9.995065603657e-01,1.379395964697e+00,-4.399782038282e-02,1.383806718742e-01,0.000000000000e+00,1.368031992252e+00,-4.299213734432e-02,1.372391665640e-01,WALL
1.569762988233e-02,-4.995066821071e-01,-3.141075907813e-02,9.995065603657e-01,1.298871618299e+00,3.934862081555e-02,1.302544784960e-01,0.000000000000e+00,1.287462334104e+00,4.046013383236e-02,1.291154341062e-01,WALL
4.703093827340e-02,-4.975353574357e-01,-9.410831331851e-02,9.955619646031e-01,1.197145844719e+00,1.108048924048e-01,1.204728153962e-01,0.000000000000e+00,1.186169652753e+00,1.121260446854e-01,1.193905867821e-01,WALL
7.817863703751e-02,-4.936004880108e-01,-1.564344650402e-01,9.876883405951e-01,1.076342425937e+00,1.671835324283e-01,1.091155561781e-01,0.000000000000e+00,1.065949173244e+00,1.688297632187e-01,1.081129899586e-01,WALL
1.090178004376e-01,-4.877176029643e-01,-2.181432413965e-01,9.759167619387e-01,9.417547387597e-01,2.063820289160e-01,9.655294922725e-02,0.000000000000e+00,9.326080400102e-01,2.084625951051e-01,9.570393672179e-02,WALL
1.394267203850e-01,-4.799099193559e-01,-2.789911060392e-01,9.602936856769e-01,8.044337885861e-01,2.291502439573e-01,8.374886902097e-02,0.000000000000e+00,7.977216457247e-01,2.317595622794e-01,8.317550019070e-02,WALL
1.692853867649e-01,-4.702082505459e-01,-3.387379202453e-01,9.408807689542e-01,6.777069386674e-01,2.394072012731e-01,7.195426700658e-02,0.000000000000e+00,6.740213516382e-01,2.426626182493e-01,7.171646447513e-02,WALL
1.984759610624e-01,-4.586508845886e-01,-3.971478906348e-01,9.177546256840e-01,5.710324065896e-01,2.426967429739e-01,6.210874649731e-02,0.000000000000e+00,5.699327935626e-01,2.466319432585e-01,6.216301801389e-02,WALL
2.268832414167e-01,-4.452834331275e-01,-4.539904997395e-01,8.910065241884e-01,4.881289323901e-01,2.445776610498e-01,5.464950750234e-02,0.000000000000e+00,4.891021868594e-01,2.492100116082e-01,5.494581092622e-02,WALL
2.543951172702e-01,-4.301586513865e-01,-5.090414157504e-01,8.607420270039e-01,4.260607394871e-01,2.480777773371e-01,4.935018298645e-02,0.000000000000e+00,4.287657841681e-01,2.535713778935e-01,4.986208542022e-02,WALL
2.809030118179e-01,-4.133362299692e-01,-5.620833778521e-01,8.270805742746e-01,3.800580353348e-01,2.546492663737e-01,4.579530270211e-02,0.000000000000e+00,3.838611587256e-01,2.608717740855e-01,4.645931808361e-02,WALL
