x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,3.224721006418e+01,1.002356636292e+00,0.000000000000e+00,1.008614569670e+00,1.393438139444e-03,-4.001942198260e-02,5.985307142783e-03,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,3.224086370549e+01,9.896639189065e-01,0.000000000000e+00,1.008392302550e+00,1.235884792301e-02,-1.190202518899e-01,1.788533600931e-02,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,3.222617394906e+01,9.602844060620e-01,0.000000000000e+00,1.008054280916e+00,3.287000649246e-02,-1.921040992052e-01,2.913240442992e-02,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,3.220611375413e+01,9.201640162008e-01,0.000000000000e+00,1.007623143120e+00,6.126589036828e-02,-2.581714564349e-01,3.966621440675e-02,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,3.218154282258e+01,8.710221530877e-01,0.000000000000e+00,1.007130784927e+00,9.586140068598e-02,-3.162643858734e-01,4.940965263879e-02,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,3.215295019944e+01,8.138369068214e-01,0.000000000000e+00,1.006561057803e+00,1.340453037666e-01,-3.646719717680e-01,5.809886412220e-02,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,3.212227415002e+01,7.524848079832e-01,0.000000000000e+00,1.005908731759e+00,1.737955004075e-01,-4.045328622557e-01,6.584866128872e-02,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,3.209445017072e+01,6.968368493703e-01,0.000000000000e+00,1.005360171431e+00,2.156220451778e-01,-4.391160828359e-01,7.317580975059e-02,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,3.206128982682e+01,6.305161615747e-01,0.000000000000e+00,1.004704807422e+00,2.576893538280e-01,-4.664505768312e-01,7.972757626937e-02,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,3.203142704589e+01,5.707905997116e-01,0.000000000000e+00,1.004116952628e+00,2.972315842893e-01,-4.862278114856e-01,8.527544520190e-02,bc-4
3.212294286292e-03,-9.842776789700e-03,8.313905417703e-01,5.556885522078e-01,3.200374460204e+01,5.154257120211e-01,0.000000000000e+00,1.003569374655e+00,3.356378797564e-01,-5.021628708755e-01,9.039591457537e-02,bc-4
3.754717172253e-03,-1.062095390846e-02,8.092361084251e-01,5.874835494045e-01,3.197686910339e+01,4.616747147236e-01,0.000000000000e+00,1.003069739348e+00,3.724627370414e-01,-5.130531674669e-01,9.490098000667e-02,bc-4
