step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,1.073021671516e-10,1.569524274515e+02,-7.793232725817e-11,0.000000000000e+00,1.569524274515e+02,0.000000000000e+00,1.073021671516e-10
2,0.000000000000e+00,-9.144988375287e-06,1.301096007520e+02,9.226921491745e-06,1.307231057930e+00,1.288023696941e+02,-5.227913797978e-07,-8.622196995489e-06
3,0.000000000000e+00,-1.397803461761e-05,1.098246747883e+02,1.428487455257e-05,2.316924843559e+00,1.075077499448e+02,-7.593400679906e-07,-1.321869454962e-05
4,0.000000000000e+00,-1.623526053501e-05,9.439289689915e+01,1.679719740721e-05,3.137466295484e+00,9.125543060366e+01,-8.901026510855e-07,-1.534515788393e-05
5,0.000000000000e+00,-1.698185220739e-05,8.256178612230e+01,1.779436412619e-05,3.831676056860e+00,7.873011006544e+01,-9.845331541691e-07,-1.599731905322e-05
6,0.000000000000e+00,-1.687296628777e-05,7.341164535866e+01,1.792241215526e-05,4.437399893317e+00,6.897424546534e+01,-1.068040422603e-06,-1.580492586517e-05
7,0.000000000000e+00,-1.630931029015e-05,6.626665334847e+01,1.757988016493e-05,4.978314755805e+00,6.128833859266e+01,-1.149029458331e-06,-1.516028083182e-05
8,0.000000000000e+00,-1.553253171721e-05,6.062937517520e+01,1.700719631970e-05,5.469813434730e+00,5.515956174047e+01,-1.229724412910e-06,-1.430280730430e-05
9,0.000000000000e+00,-1.468466597376e-05,5.613278905966e+01,1.634504567427e-05,5.922297972609e+00,5.021049108705e+01,-1.310359524553e-06,-1.337430644921e-05
10,0.000000000000e+00,-1.384569270105e-05,5.250525248156e+01,1.567213656450e-05,6.343068516471e+00,4.616218396509e+01,-1.390693302766e-06,-1.245499939828e-05
11,0.000000000000e+00,-1.305747427008e-05,4.954495205620e+01,1.502940804876e-05,6.737433394676e+00,4.280751866152e+01,-1.470482510230e-06,-1.158699175985e-05
12,0.000000000000e+00,-1.233892862904e-05,4.710128325085e+01,1.443537299473e-05,7.109378564990e+00,3.999190468586e+01,-1.549581732124e-06,-1.078934689691e-05
13,0.000000000000e+00,-1.169560226727e-05,4.506128037917e+01,1.389572084776e-05,7.461982628069e+00,3.759929775110e+01,-1.627928184977e-06,-1.006767408229e-05
14,0.000000000000e+00,-1.112563710989e-05,4.333972075167e+01,1.340922337967e-05,7.797681670999e+00,3.554203908067e+01,-1.705505329380e-06,-9.420131780513e-06
15,0.000000000000e+00,-1.062341540170e-05,4.187189951855e+01,1.297128120470e-05,8.118443361182e+00,3.375345615736e+01,-1.782313387766e-06,-8.841102013935e-06
16,0.000000000000e+00,-1.018173975073e-05,4.060834544996e+01,1.257598999871e-05,8.425884798911e+00,3.218246065105e+01,-1.858351981382e-06,-8.323387769349e-06
