step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,1.000000000000e+00,8.964246066987e-06,7.962682015649e-02,7.220288360335e+00,1.053680314673e+00,1.994651858900e+01,2.123941502169e+01,1.249533624216e+05
2,0.000000000000e+00,3,1.001536235531e+00,8.960940665180e-06,6.726870614239e-02,4.833129014461e+00,4.233772708338e-01,1.629070280667e+01,1.699793832787e+01,1.001924554917e+05
3,0.000000000000e+00,3,1.003074831082e+00,8.958999111803e-06,5.931207566776e-02,3.395662875356e+00,2.184003630615e-01,1.416196355453e+01,1.456512803664e+01,8.396057847774e+04
4,0.000000000000e+00,3,1.004615790278e+00,8.958124674754e-06,5.383560266726e-02,2.507662910821e+00,2.118540429245e-01,1.278604826607e+01,1.303146898643e+01,7.269984066892e+04
5,0.000000000000e+00,3,1.006159116751e+00,8.958137189012e-06,4.981801787158e-02,1.941086521391e+00,2.139329145513e-01,1.181155524644e+01,1.197200498455e+01,6.447265091395e+04
6,0.000000000000e+00,3,1.007704814136e+00,8.958915786608e-06,4.670804205949e-02,1.565790684334e+00,1.984357287821e-01,1.107132533244e+01,1.118335832671e+01,5.819863809663e+04
7,0.000000000000e+00,3,1.009252886077e+00,8.960371922235e-06,4.419666487789e-02,1.307056334649e+00,1.748480865859e-01,1.047972605754e+01,1.056246087337e+01,5.324343449687e+04
8,0.000000000000e+00,3,1.010803336220e+00,8.962436246487e-06,4.210185113022e-02,1.121442748130e+00,1.506011223509e-01,9.989206669943e+00,1.005317546828e+01,4.921748285377e+04
9,0.000000000000e+00,3,1.012356168221e+00,8.965051805476e-06,4.031051829249e-02,9.832057111069e-01,1.291744005631e-01,9.571312083830e+00,9.622630588361e+00,4.587094897215e+04
10,0.000000000000e+00,3,1.013911385737e+00,8.968157827446e-06,3.874878252511e-02,8.767165387755e-01,1.116285407371e-01,9.207884097771e+00,9.250282365777e+00,4.303701618150e+04
11,0.000000000000e+00,3,1.015468992433e+00,8.971691268906e-06,3.736615727210e-02,7.922275356366e-01,9.783008706119e-02,8.886701110772e+00,8.922558380647e+00,4.060017630929e+04
12,0.000000000000e+00,3,1.017028991980e+00,8.975652073354e-06,3.612679182310e-02,7.234834190905e-01,8.717337617887e-02,8.599170687144e+00,8.630067734783e+00,3.847784742796e+04
13,0.000000000000e+00,3,1.018591388054e+00,8.980007511027e-06,3.500438955842e-02,6.663519456214e-01,7.895918893427e-02,8.339032818380e+00,8.366059593515e+00,3.660932669571e+04
14,0.000000000000e+00,3,1.020156184336e+00,8.984728508044e-06,3.397912911513e-02,6.180233424065e-01,7.256612433741e-02,8.101591298788e+00,8.125524896766e+00,3.494891481199e+04
15,0.000000000000e+00,3,1.021723384514e+00,8.989789118670e-06,3.303572250379e-02,5.765324634916e-01,6.750517983044e-02,7.883236439278e+00,7.904647667498e+00,3.346149284697e+04
16,0.000000000000e+00,3,1.023292992281e+00,8.995166102155e-06,3.216214542944e-02,5.404674554511e-01,6.341661459456e-02,7.681136507498e+00,7.700455777928e+00,3.211958857097e+04
17,0.000000000000e+00,3,1.024865011334e+00,9.000838573529e-06,3.134878022457e-02,5.087882381583e-01,6.004512083897e-02,7.493031189589e+00,7.510590525518e+00,3.090137640599e+04
18,0.000000000000e+00,3,1.026439445380e+00,9.006787710102e-06,3.058782143844e-02,4.807109059499e-01,5.721204389836e-02,7.317089139570e+00,7.333149751935e+00,2.978927958851e+04
19,0.000000000000e+00,3,1.028016298126e+00,9.012996504116e-06,2.987285401889e-02,4.556323948786e-01,5.479210078529e-02,7.151807158664e+00,7.166578058997e+00,2.876897396594e+04
20,0.000000000000e+00,3,1.029595573290e+00,9.019449544344e-06,2.919854539640e-02,4.330802804387e-01,5.269625909247e-02,6.995937216318e+00,7.009588113059e+00,2.782865736648e+04
21,0.000000000000e+00,3,1.031177274593e+00,9.026132829985e-06,2.856041809554e-02,4.126785296304e-01,5.085996048057e-02,6.848432586201e+00,6.861103037385e+00,2.695851064836e+04
22,0.000000000000e+00,3,1.032761405761e+00,9.033033609288e-06,2.795467879865e-02,3.941236287231e-01,4.923529855733e-02,6.708407395998e+00,6.720213449296e+00,2.615029308874e+04
23,0.000000000000e+00,3,1.034347970528e+00,9.040140240023e-06,2.737808774093e-02,3.771675750811e-01,4.778586904935e-02,6.575105785312e+00,6.586144890352e+00,2.539703370078e+04
24,0.000000000000e+00,3,1.035936972632e+00,9.047442067878e-06,2.682785768331e-02,3.616055242630e-01,4.648339973390e-02,6.447878064823e+00,6.458232771773e+00,2.469279280646e+04
25,0.000000000000e+00,3,1.037528415818e+00,9.054929320373e-06,2.630157471061e-02,3.472666472296e-01,4.530549978599e-02,6.326162060008e+00,6.335902847654e+00,2.403247579290e+04
26,0.000000000000e+00,3,1.039122303835e+00,9.062593014111e-06,2.579713552307e-02,3.340072594811e-01,4.423413867558e-02,6.209468348822e+00,6.218655817428e+00,2.341168612795e+04
27,0.000000000000e+00,3,1.040718640440e+00,9.070424873514e-06,2.531269726777e-02,3.217055736289e-01,4.325459464686e-02,6.097368461534e+00,6.106055054158e+00,2.282660825868e+04
28,0.000000000000e+00,3,1.042317429393e+00,9.078417259461e-06,2.484663700423e-02,3.102576379827e-01,4.235470572051e-02,5.989485360069e+00,5.997716728629e+00,2.227391350109e+04
