x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.206060097338e+01,1.264059089626e+00,-4.220170085956e-02,1.006642451835e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.205163969104e+01,1.246136524941e+00,-1.260109727054e-01,1.006524699568e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.203390469267e+01,1.210666528198e+00,-2.087113287919e-01,1.006291621216e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.200751823851e+01,1.157893619868e+00,-2.890584924416e-01,1.005945005919e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.197285142791e+01,1.088559998680e+00,-3.660359754904e-01,1.005489538314e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.193045504988e+01,1.003767242612e+00,-4.386201451332e-01,1.004932305717e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.188109515679e+01,9.050474564283e-01,-5.059775409916e-01,1.004283293861e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.182545019389e+01,7.937575306396e-01,-5.673980093094e-01,1.003551185452e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.176453172157e+01,6.719205859985e-01,-6.221249313847e-01,1.002749266740e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.169951583792e+01,5.418888186926e-01,-6.695737776999e-01,1.001893008933e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,7.163166527620e+01,4.061876952489e-01,-7.092834399211e-01,1.000999064136e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.156224341066e+01,2.673439641745e-01,-7.409390413838e-01,1.000084093660e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,7.149247955869e+01,1.278162602362e-01,-7.642650949267e-01,9.991642397804e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
