x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,4.437825546798e-05,-4.219292429730e-04,4.237924023831e-05,-2.110085042978e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,1.490686189119e-04,-1.254908931189e-03,1.262353622913e-04,-6.300548635270e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,3.537749134338e-04,-2.062547278248e-03,2.090401076852e-04,-1.043556643960e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,6.542304745771e-04,-2.823336230094e-03,2.895037873626e-04,-1.445292462208e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,1.040349726949e-03,-3.519324581118e-03,3.665991747283e-04,-1.830179877452e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,1.500224959409e-03,-4.133803136602e-03,4.393038354922e-04,-2.193100725666e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,2.020621743274e-03,-4.653207395024e-03,5.067817252672e-04,-2.529887704958e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,2.585256256035e-03,-5.067506308267e-03,5.683188881776e-04,-2.836990046547e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,3.176251707170e-03,-5.368376996300e-03,6.231562461142e-04,-3.110624656923e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,3.774431052471e-03,-5.551903140721e-03,6.707059244678e-04,-3.347868888500e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,4.360490986015e-03,-5.617907730459e-03,7.105052286489e-04,-3.546417199606e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,4.915989106162e-03,-5.569848100988e-03,7.422378887068e-04,-3.704695206919e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,5.423104468787e-03,-5.413860227892e-03,7.656267560417e-04,-3.821325474634e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,5.866562107220e-03,-5.160277460005e-03,7.806585532782e-04,-3.896245759737e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,6.233535937209e-03,-4.821276860946e-03,7.874064841891e-04,-3.929822618630e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,6.513891243777e-03,-4.411122055519e-03,7.860748616029e-04,-3.923082925021e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
