step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,1.073021671516e-10,1.569524274515e+02,-7.793232725817e-11,0.000000000000e+00,1.569524274515e+02,0.000000000000e+00,1.073021671516e-10
2,0.000000000000e+00,-9.144988287885e-06,1.301096011612e+02,9.226921328320e-06,1.307231433591e+00,1.288023697276e+02,-5.227914416095e-07,-8.622196846275e-06
3,0.000000000000e+00,-1.401131540493e-05,1.099655764474e+02,1.422168050880e-05,2.448963416334e+00,1.075166130310e+02,-8.475758833948e-07,-1.316373952154e-05
4,0.000000000000e+00,-1.630582683740e-05,9.469299518049e+01,1.671108954682e-05,3.417657425245e+00,9.127533775525e+01,-1.047138603133e-06,-1.525868823427e-05
5,0.000000000000e+00,-1.708793392924e-05,8.300320755950e+01,1.771537719719e-05,4.242590987304e+00,7.876061657220e+01,-1.182624678020e-06,-1.590530925122e-05
6,0.000000000000e+00,-1.700232169635e-05,7.396648868924e+01,1.786539170467e-05,4.952843733745e+00,6.901364495550e+01,-1.282732237790e-06,-1.571958945856e-05
7,0.000000000000e+00,-1.644960067310e-05,6.690714581954e+01,1.755352787214e-05,5.572814039685e+00,6.133433177986e+01,-1.350211436824e-06,-1.509938923627e-05
8,0.000000000000e+00,-1.569608736723e-05,6.133457978413e+01,1.700699913343e-05,6.125189269100e+00,5.520939051503e+01,-1.430231937161e-06,-1.426585543007e-05
9,0.000000000000e+00,-1.483705435526e-05,5.688529504300e+01,1.636273868044e-05,6.623185484704e+00,5.026210955830e+01,-1.481561852673e-06,-1.335549250259e-05
10,0.000000000000e+00,-1.399012545822e-05,5.329172070337e+01,1.570300532983e-05,7.077452081028e+00,4.621426862235e+01,-1.538910643917e-06,-1.245121481430e-05
11,0.000000000000e+00,-1.319533915684e-05,5.035666397463e+01,1.506948993679e-05,7.497481456483e+00,4.285918251815e+01,-1.600737197849e-06,-1.159460195899e-05
12,0.000000000000e+00,-1.247229594997e-05,4.793199073069e+01,1.448080044320e-05,7.889389493548e+00,4.004260123715e+01,-1.666955930013e-06,-1.080534001996e-05
13,0.000000000000e+00,-1.183775284111e-05,4.590609929596e+01,1.394320665504e-05,8.257389066010e+00,3.764871022995e+01,-1.748436950583e-06,-1.008931589053e-05
14,0.000000000000e+00,-1.127488677047e-05,4.419488993643e+01,1.345725320157e-05,8.604888488199e+00,3.559000144823e+01,-1.829088187050e-06,-9.445798583418e-06
15,0.000000000000e+00,-1.077882824913e-05,4.273482330968e+01,1.301899620643e-05,8.934934891440e+00,3.379988841824e+01,-1.909143447498e-06,-8.869684801627e-06
16,0.000000000000e+00,-1.034424986937e-05,4.147701628204e+01,1.262254445322e-05,9.249669548560e+00,3.222734673348e+01,-1.990091655607e-06,-8.354158213764e-06
17,0.000000000000e+00,-9.962060230656e-06,4.038376721388e+01,1.226208639160e-05,9.550803298862e+00,3.083296391502e+01,-2.070495310230e-06,-7.891564920426e-06
18,0.000000000000e+00,-9.627364644021e-06,3.942579480130e+01,1.193223236662e-05,9.839759484654e+00,2.958603531665e+01,-2.152267690597e-06,-7.475096953424e-06
19,0.000000000000e+00,-9.340342496195e-06,3.858040014236e+01,1.162863076409e-05,1.011799383260e+01,2.846240630976e+01,-2.241440655276e-06,-7.098901840918e-06
20,0.000000000000e+00,-9.080745939055e-06,3.782961691129e+01,1.134676290526e-05,1.038670111727e+01,2.744291579402e+01,-2.324016173921e-06,-6.756729765134e-06
21,0.000000000000e+00,-8.854229979427e-06,3.715895368314e+01,1.108409322903e-05,1.064671243986e+01,2.651224124328e+01,-2.409068368125e-06,-6.445161611301e-06
22,0.000000000000e+00,-8.651563227435e-06,3.655669770755e+01,1.083582572381e-05,1.089869444318e+01,2.565800326437e+01,-2.494266028552e-06,-6.157297198883e-06
23,0.000000000000e+00,-8.474997236274e-06,3.601332727032e+01,1.060126306118e-05,1.114322420652e+01,2.487010306380e+01,-2.582434292520e-06,-5.892562943755e-06
24,0.000000000000e+00,-8.311716778037e-06,3.552104136112e+01,1.037824583250e-05,1.138081554049e+01,2.414022582063e+01,-2.665129202079e-06,-5.646587575958e-06
25,0.000000000000e+00,-8.168008880635e-06,3.507338763355e+01,1.016507528551e-05,1.161192573147e+01,2.346146190208e+01,-2.750695983808e-06,-5.417312896827e-06
26,0.000000000000e+00,-8.036870011247e-06,3.466498006135e+01,9.960841140355e-06,1.183696006047e+01,2.282802000088e+01,-2.833995356250e-06,-5.202874654997e-06
27,0.000000000000e+00,-7.911479717557e-06,3.429128973278e+01,9.764808463153e-06,1.205628447483e+01,2.223500525796e+01,-2.909817453919e-06,-5.001662263637e-06
28,0.000000000000e+00,-7.801846616404e-06,3.394847890767e+01,9.575874363676e-06,1.227023042445e+01,2.167824848322e+01,-2.989730298816e-06,-4.812116317587e-06
29,0.000000000000e+00,-7.703267706632e-06,3.363327808897e+01,9.393642380395e-06,1.247910547791e+01,2.115417261106e+01,-3.070186765458e-06,-4.633080941174e-06
30,0.000000000000e+00,-7.611632378016e-06,3.334287519233e+01,9.217786582028e-06,1.268318782604e+01,2.065968736630e+01,-3.148176207848e-06,-4.463456170167e-06
31,0.000000000000e+00,-7.526085248802e-06,3.307484473762e+01,9.047912901572e-06,1.288273971634e+01,2.019210502129e+01,-3.223074812389e-06,-4.303010436413e-06
32,0.000000000000e+00,-7.437035752941e-06,3.282707274692e+01,8.883912693491e-06,1.307799821412e+01,1.974907453280e+01,-3.286588126691e-06,-4.150447626250e-06
33,0.000000000000e+00,-7.357531883578e-06,3.259771648005e+01,8.725034451373e-06,1.326918791569e+01,1.932852856435e+01,-3.352276464585e-06,-4.005255418993e-06
34,0.000000000000e+00,-7.278929700621e-06,3.238517070544e+01,8.571357756004e-06,1.345653037557e+01,1.892864032987e+01,-3.412152098675e-06,-3.866777601946e-06
35,0.000000000000e+00,-7.202068699128e-06,3.218802479784e+01,8.422663741570e-06,1.364023674641e+01,1.854778805143e+01,-3.467219624617e-06,-3.734849074510e-06
36,0.000000000000e+00,-7.125010720532e-06,3.200503471410e+01,8.278658885530e-06,1.382050893459e+01,1.818452577951e+01,-3.516434485651e-06,-3.608576234881e-06
37,0.000000000000e+00,-7.065199911879e-06,3.183511000112e+01,8.138819866055e-06,1.399755077303e+01,1.783755922810e+01,-3.578019474856e-06,-3.487180437023e-06
