x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.206150855533e+01,1.265874253522e+00,-4.142572047524e-02,1.006644151190e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.205422351858e+01,1.251304180013e+00,-1.246702989566e-01,1.006546788395e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.203697805625e+01,1.216813255366e+00,-2.067595393748e-01,1.006319578190e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.201041250067e+01,1.163682144196e+00,-2.867048744855e-01,1.005969871594e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.197523035456e+01,1.093317851987e+00,-3.635361747354e-01,1.005506854134e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.193229779886e+01,1.007452740583e+00,-4.360751986575e-01,1.004942018642e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.188264561720e+01,9.081483772527e-01,-5.035538339720e-01,1.004289027537e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.182682905217e+01,7.965152471963e-01,-5.653080974339e-01,1.003554869104e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.176592606375e+01,6.747092703619e-01,-6.204271334777e-01,1.002753727985e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.170106902265e+01,5.449951881619e-01,-6.682860702057e-01,1.001900434643e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,7.163346471540e+01,4.097865736602e-01,-7.083425972507e-01,1.001010811268e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.156430938174e+01,2.714759063433e-01,-7.401701628637e-01,1.000100527421e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,7.149489281599e+01,1.326427748419e-01,-7.633980643683e-01,9.991865073408e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,7.142640867943e+01,-4.325498273005e-03,-7.780274699353e-01,9.982843170592e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,7.136006224546e+01,-1.370183662193e-01,-7.842406105446e-01,9.974097538735e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,7.129684250409e+01,-2.634578489547e-01,-7.825422912758e-01,9.965757531489e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,7.123740287044e+01,-3.823371162705e-01,-7.734140419316e-01,9.957907084252e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,7.118233898169e+01,-4.924648937550e-01,-7.572211610039e-01,9.950623078915e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,7.113220464332e+01,-5.927335705005e-01,-7.343173220367e-01,9.943978449018e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,7.108761059353e+01,-6.819216700774e-01,-7.050421502897e-01,9.938054946511e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,7.104930881307e+01,-7.585252310035e-01,-6.711383734227e-01,9.932954830821e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,7.101601508833e+01,-8.251126804886e-01,-6.331449588680e-01,9.928499681418e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-7.817863703751e-02,-4.936004880108e-01,1.564344650402e-01,9.876883405951e-01,7.098797535805e+01,-8.811921410436e-01,-5.909413808191e-01,9.924722482253e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.703093827340e-02,-4.975353574357e-01,9.410831331851e-02,9.955619646031e-01,7.096550089063e+01,-9.261410758774e-01,-5.455374849538e-01,9.921669221537e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
