step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.000000000000e+00,3,1.000000000000e+00,8.964236526049e-06,7.964681121887e-02,7.220134872650e+00,1.053579122931e+00,1.995154641295e+01,2.124407975014e+01,1.249892401001e+05
2,0.000000000000e+00,3,1.001536235531e+00,8.955011902648e-06,7.344597106180e-02,4.778465287385e+00,3.874719749800e-01,1.779570856977e+01,1.843031477878e+01,1.136976890128e+05
3,0.000000000000e+00,3,1.003074831082e+00,8.948889866799e-06,6.629747980475e-02,3.339697223630e+00,1.791522606819e-01,1.572422811630e+01,1.607611328299e+01,9.777300854856e+04
4,0.000000000000e+00,3,1.004615790278e+00,8.944954762449e-06,6.015821825590e-02,2.463957121375e+00,1.907692967424e-01,1.412206576049e+01,1.433680013027e+01,8.368646060722e+04
5,0.000000000000e+00,3,1.006159116751e+00,8.942822661299e-06,5.522128143450e-02,1.911807524491e+00,1.988620820667e-01,1.292097314781e+01,1.306327488093e+01,7.230770641119e+04
6,0.000000000000e+00,3,1.007704814136e+00,8.941962815694e-06,5.130411381420e-02,1.549422674251e+00,1.844344884401e-01,1.200624468621e+01,1.210732300227e+01,6.401484652866e+04
7,0.000000000000e+00,3,1.009252886077e+00,8.942057103824e-06,4.824667416889e-02,1.299363399279e+00,1.605372185459e-01,1.130444694367e+01,1.138011273607e+01,5.772112517322e+04
8,0.000000000000e+00,3,1.010803336220e+00,8.942960967992e-06,4.577855479029e-02,1.119425113052e+00,1.359599952839e-01,1.074072613638e+01,1.079985607852e+01,5.278973327178e+04
9,0.000000000000e+00,3,1.012356168221e+00,8.944523914030e-06,4.372225605055e-02,9.848682376072e-01,1.146865825457e-01,1.027094047208e+01,1.031878133668e+01,4.881440570919e+04
10,0.000000000000e+00,3,1.013911385737e+00,8.946714226038e-06,4.197068858780e-02,8.805270776479e-01,9.785006759760e-02,9.870099545479e+00,9.909870289088e+00,4.553096807322e+04
11,0.000000000000e+00,3,1.015468992433e+00,8.949469041845e-06,4.044163870582e-02,7.972882972248e-01,8.507850566225e-02,9.519800629264e+00,9.553593383021e+00,4.275103608435e+04
12,0.000000000000e+00,3,1.017028991980e+00,8.952736299753e-06,3.907518791206e-02,7.292360072771e-01,7.558361427757e-02,9.206699943830e+00,9.235927065709e+00,4.032653633844e+04
13,0.000000000000e+00,3,1.018591388054e+00,8.956482601993e-06,3.784432429300e-02,6.725210493979e-01,6.860213626816e-02,8.924869028968e+00,8.950514521082e+00,3.822243071535e+04
14,0.000000000000e+00,3,1.020156184336e+00,8.960666103069e-06,3.672652226357e-02,6.243788695003e-01,6.347326110798e-02,8.669204036854e+00,8.691969011541e+00,3.637439157382e+04
15,0.000000000000e+00,3,1.021723384514e+00,8.965251397898e-06,3.570103589186e-02,5.830271310751e-01,5.956688076655e-02,8.434883806570e+00,8.455294686949e+00,3.473478784763e+04
16,0.000000000000e+00,3,1.023292992281e+00,8.970207336015e-06,3.475328349457e-02,5.470830560104e-01,5.650343171981e-02,8.218512608104e+00,8.236968482898e+00,3.326745944021e+04
17,0.000000000000e+00,3,1.024865011334e+00,8.975506393661e-06,3.387202454398e-02,5.155099066025e-01,5.404094117518e-02,8.017464159880e+00,8.034273442952e+00,3.194435736439e+04
18,0.000000000000e+00,3,1.026439445380e+00,8.981124147722e-06,3.304800429721e-02,4.875281233420e-01,5.203241902591e-02,7.829608300802e+00,7.845014299430e+00,3.074334384672e+04
19,0.000000000000e+00,3,1.028016298126e+00,8.987038842581e-06,3.227374995381e-02,4.625410024105e-01,5.036570389539e-02,7.653214829055e+00,7.667412842520e+00,2.964668179081e+04
20,0.000000000000e+00,3,1.029595573290e+00,8.993231029287e-06,3.154352684083e-02,4.400783197167e-01,4.894755083250e-02,7.486929197930e+00,7.500077906204e+00,2.863997221892e+04
