x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,4.124699740718e-05,-4.232355635660e-04,4.247760237628e-05,-2.115996187265e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,1.476714736596e-04,-1.259964846735e-03,1.267207664925e-04,-6.324711607430e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,3.551755724727e-04,-2.067536191885e-03,2.095552915143e-04,-1.046085717153e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,6.580685543277e-04,-2.827222680550e-03,2.899691798318e-04,-1.447560332149e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,1.046945623536e-03,-3.521214609071e-03,3.669681086127e-04,-1.831956391175e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,1.509471965395e-03,-4.133813992663e-03,4.396215937328e-04,-2.194632548773e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,2.031266301235e-03,-4.652075931638e-03,5.071034706085e-04,-2.531464426717e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,2.596089547666e-03,-5.065869531971e-03,5.686669095327e-04,-2.838724070849e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,3.186394802557e-03,-5.367708681366e-03,6.236163743629e-04,-3.112940383197e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,3.783737127805e-03,-5.553416712047e-03,6.713549746126e-04,-3.351138868899e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,4.369364762989e-03,-5.622253280902e-03,7.113928280956e-04,-3.550880084587e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,4.924977061103e-03,-5.577008944821e-03,7.433693805684e-04,-3.710372781815e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,5.432594165953e-03,-5.423391216886e-03,7.669713011457e-04,-3.828062879359e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,5.876502529795e-03,-5.171399806015e-03,7.821389522700e-04,-3.903660162576e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,6.243448244463e-03,-4.833410933823e-03,7.889323069754e-04,-3.937467147739e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,6.522834454553e-03,-4.423826324063e-03,7.875272131277e-04,-3.930366040463e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,6.707191860212e-03,-3.958698443571e-03,7.782354846019e-04,-3.883916440905e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
