x,y,nx,ny,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear,boundary_u,boundary_v,boundary_mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,1.572567128916e-03,-3.986971732173e-02,5.966694848687e-03,0.000000000000e+00,1.383725170227e-03,-3.974046635279e-02,5.946255591719e-03,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,1.251316738324e-02,-1.187586608911e-01,1.785759419303e-02,0.000000000000e+00,1.229363129961e-02,-1.183921918156e-01,1.779945062964e-02,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,3.304914165940e-02,-1.921137773363e-01,2.915335972903e-02,0.000000000000e+00,3.276900996591e-02,-1.915138393048e-01,2.905751789183e-02,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,6.154484492161e-02,-2.586291040986e-01,3.976185777106e-02,0.000000000000e+00,6.118119276067e-02,-2.578145448715e-01,3.963024336656e-02,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,9.643923139133e-02,-3.176400039578e-01,4.965476701636e-02,0.000000000000e+00,9.597369176108e-02,-3.166348547759e-01,4.949009106241e-02,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,1.352479968734e-01,-3.675313916042e-01,5.858806364132e-02,0.000000000000e+00,1.346663799746e-01,-3.663616175745e-01,5.839313060955e-02,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,1.757145354881e-01,-4.086634183901e-01,6.655796439033e-02,0.000000000000e+00,1.750076405692e-01,-4.073542847199e-01,6.633555386784e-02,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,2.180858163691e-01,-4.438483541971e-01,7.400430438226e-02,0.000000000000e+00,2.172632362991e-01,-4.424583821623e-01,7.376267172897e-02,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,2.607008326496e-01,-4.716816302296e-01,8.066204133628e-02,0.000000000000e+00,2.597585876805e-01,-4.701961538595e-01,8.039855698966e-02,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,3.006099354413e-01,-4.915795581027e-01,8.625450637498e-02,0.000000000000e+00,2.995374179556e-01,-4.899998213138e-01,8.596833096182e-02,bc-4
3.212294286292e-03,-9.842776789700e-03,8.313905417703e-01,5.556885522078e-01,3.393283212746e-01,-5.075269649455e-01,9.140249690985e-02,0.000000000000e+00,3.381386193112e-01,-5.059043393744e-01,9.110090943123e-02,bc-4
3.754717172253e-03,-1.062095390846e-02,8.092361084251e-01,5.874835494045e-01,3.777426910640e-01,-5.202127482471e-01,9.626400922086e-02,0.000000000000e+00,3.764729147639e-01,-5.185770338247e-01,9.595347673873e-02,bc-4
4.321999690633e-03,-1.137402606599e-02,7.876574461496e-01,6.161134209909e-01,4.139053542424e-01,-5.289945699309e-01,1.005887777472e-01,0.000000000000e+00,4.125402354377e-01,-5.274035221569e-01,1.002746736921e-01,bc-4
4.897447488290e-03,-1.208541960185e-02,7.667769880648e-01,6.419135849740e-01,4.469105172839e-01,-5.336681288212e-01,1.042582200840e-01,0.000000000000e+00,4.454929817819e-01,-5.321491471295e-01,1.039471606449e-01,bc-4
5.511098472117e-03,-1.279505896759e-02,7.466579844938e-01,6.652081284768e-01,4.784462579281e-01,-5.368672130603e-01,1.077220693635e-01,0.000000000000e+00,4.769683427401e-01,-5.353696177363e-01,1.074070250341e-01,bc-4
6.162708931538e-03,-1.350527885328e-02,7.266612641268e-01,6.869959295496e-01,5.093156887569e-01,-5.386081550822e-01,1.110549968372e-01,0.000000000000e+00,5.079418736707e-01,-5.372690989108e-01,1.107675145665e-01,bc-4
6.817833219012e-03,-1.417925776943e-02,7.070630654251e-01,7.071504942455e-01,5.368995570003e-01,-5.366969166369e-01,1.137458644617e-01,0.000000000000e+00,5.353604623052e-01,-5.352942728108e-01,1.134340345515e-01,bc-4
7.493462380569e-03,-1.483767639851e-02,6.889885341974e-01,7.247722399103e-01,5.617564279016e-01,-5.338901870728e-01,1.161312600621e-01,0.000000000000e+00,5.601440188365e-01,-5.324883945960e-01,1.158113068691e-01,bc-4
8.213478615941e-03,-1.550483201013e-02,6.706523122079e-01,7.417718491088e-01,5.864332594363e-01,-5.300920651449e-01,1.184689091464e-01,0.000000000000e+00,5.847833137655e-01,-5.287155100165e-01,1.181470760227e-01,bc-4
8.956930397157e-03,-1.616139814354e-02,6.529456136386e-01,7.574047964134e-01,6.089323517273e-01,-5.248352834465e-01,1.204879866486e-01,0.000000000000e+00,6.072769720215e-01,-5.235230051656e-01,1.201716676808e-01,bc-4
9.697345360974e-03,-1.678604188620e-02,6.364280040429e-01,7.713361107001e-01,6.292606353274e-01,-5.190925428820e-01,1.222741660942e-01,0.000000000000e+00,6.275789685990e-01,-5.178142509135e-01,1.219578633005e-01,bc-4
1.048933990457e-02,-1.742462077492e-02,6.198352096385e-01,7.847320006807e-01,6.495067186943e-01,-5.129817959593e-01,1.240711301833e-01,0.000000000000e+00,6.478280673337e-01,-5.116990839894e-01,1.237544058508e-01,bc-4
1.133628341703e-02,-1.807951244515e-02,6.033976931959e-01,7.974404202483e-01,6.686440234808e-01,-5.059267632616e-01,1.257052932524e-01,0.000000000000e+00,6.669335101440e-01,-5.046472831295e-01,1.253849882309e-01,bc-4
1.218243072842e-02,-1.870670559107e-02,5.873495879629e-01,8.093333438823e-01,6.859963185609e-01,-4.977973838058e-01,1.270815994530e-01,0.000000000000e+00,6.843033940807e-01,-4.966128228783e-01,1.267719237283e-01,bc-4
1.305567585734e-02,-1.932851061297e-02,5.730721271106e-01,8.195049341699e-01,7.020891911216e-01,-4.909555012608e-01,1.284608764199e-01,0.000000000000e+00,7.004401251350e-01,-4.898112210042e-01,1.281598909807e-01,bc-4
1.399777969410e-02,-1.997368528241e-02,5.574880229613e-01,8.301849819496e-01,7.188263349252e-01,-4.827012818858e-01,1.298416429908e-01,0.000000000000e+00,7.171869042658e-01,-4.816072538604e-01,1.295460878651e-01,bc-4
1.497717556801e-02,-2.061889238972e-02,5.426117885322e-01,8.399835992124e-01,7.335101130922e-01,-4.738085535823e-01,1.309561507540e-01,0.000000000000e+00,7.318378689685e-01,-4.727519148813e-01,1.306596197136e-01,bc-4
1.595146068223e-02,-2.123709844772e-02,5.287776567780e-01,8.487603841441e-01,7.467590672306e-01,-4.652183296643e-01,1.319531255997e-01,0.000000000000e+00,7.451213275285e-01,-4.642105321435e-01,1.316648275132e-01,bc-4
1.700567193007e-02,-2.188107194760e-02,5.148006019065e-01,8.573099441140e-01,7.606281342913e-01,-4.567382603990e-01,1.330719068616e-01,0.000000000000e+00,7.590676943734e-01,-4.558077374864e-01,1.327994988518e-01,bc-4
1.814718312240e-02,-2.255363119082e-02,5.004040478151e-01,8.657920009623e-01,7.740861926136e-01,-4.473815590564e-01,1.341073094230e-01,0.000000000000e+00,7.725189142516e-01,-4.464947600297e-01,1.338373845992e-01,bc-4
1.929077874545e-02,-2.320316385825e-02,4.872281616375e-01,8.732747096460e-01,7.856724823967e-01,-4.383422714131e-01,1.349569207860e-01,0.000000000000e+00,7.841517209241e-01,-4.375035681333e-01,1.346965711396e-01,bc-4
