step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,-2.314513488058e-04,3.176047801085e+02,-1.748461694930e-04,-1.155557966632e-33,3.176047801085e+02,6.162975822039e-33,-2.314513488058e-04
2,0.000000000000e+00,-2.085651297544e-04,3.025357750297e+02,-1.575535548533e-04,5.265358431618e-04,3.025352484938e+02,-1.608269573766e-08,-2.085490470587e-04
3,0.000000000000e+00,-1.878844510669e-04,2.884650604778e+02,-1.419274771912e-04,9.211384553174e-04,2.884641393394e+02,-2.756265253534e-08,-1.878568884144e-04
4,0.000000000000e+00,-1.691993990526e-04,2.753195523671e+02,-1.278093297934e-04,1.214741363555e-03,2.753183376257e+02,-3.533031028846e-08,-1.691640687423e-04
5,0.000000000000e+00,-1.523210058351e-04,2.630318061182e+02,-1.150563160337e-04,1.431386802401e-03,2.630303747314e+02,-4.015373669675e-08,-1.522808520984e-04
6,0.000000000000e+00,-1.370788811186e-04,2.515395521579e+02,-1.035396775073e-04,1.589682472091e-03,2.515379624754e+02,-4.267956069115e-08,-1.370362015579e-04
7,0.000000000000e+00,-1.233194100471e-04,2.407852694058e+02,-9.314336486632e-05,1.703986863937e-03,2.407835654189e+02,-4.344702686510e-08,-1.232759630202e-04
8,0.000000000000e+00,-1.109071047457e-04,2.307158017489e+02,-8.376501236995e-05,1.785350147801e-03,2.307140163988e+02,-4.291988672800e-08,-1.108641848589e-04
9,0.000000000000e+00,-9.972168784594e-05,2.212820120661e+02,-7.531371802738e-05,1.842253775490e-03,2.212801698123e+02,-4.148529680892e-08,-9.968020254914e-05
10,0.000000000000e+00,-8.965672286848e-05,2.124384679242e+02,-6.770904961240e-05,1.881188388563e-03,2.124365867358e+02,-3.949065979780e-08,-8.961723220868e-05
11,0.000000000000e+00,-8.061899112474e-05,2.041431542296e+02,-6.088056208320e-05,1.907103454777e-03,2.041412471261e+02,-3.725273231558e-08,-8.058173839243e-05
12,0.000000000000e+00,-7.252785097445e-05,1.963572094193e+02,-5.476731198328e-05,1.923756577703e-03,1.963552856627e+02,-3.507260504243e-08,-7.249277836940e-05
13,0.000000000000e+00,-6.531338134624e-05,1.890446827546e+02,-4.931646674411e-05,1.933984770295e-03,1.890427487699e+02,-3.324160530171e-08,-6.528013974094e-05
14,0.000000000000e+00,-5.891167129624e-05,1.821723105962e+02,-4.447971189503e-05,1.939915164771e-03,1.821703706811e+02,-3.202290566051e-08,-5.887964839058e-05
15,0.000000000000e+00,-5.325063493850e-05,1.757093102557e+02,-4.020255603976e-05,1.943128564705e-03,1.757073671271e+02,-3.151204358565e-08,-5.321912289491e-05
16,0.000000000000e+00,-4.803867766012e-05,1.696271899709e+02,-3.626468989282e-05,1.944784244986e-03,1.696252451867e+02,-3.016926708455e-08,-4.800850839304e-05
17,0.000000000000e+00,-4.274638394380e-05,1.638995741930e+02,-3.226644065446e-05,1.945715696344e-03,1.638976284773e+02,-2.582838481979e-08,-4.272055555898e-05
18,0.000000000000e+00,-3.791214337118e-05,1.585020411256e+02,-2.861433449208e-05,1.946513928422e-03,1.585000946117e+02,-2.144126326487e-08,-3.789070210791e-05
19,0.000000000000e+00,-3.353933528377e-05,1.534119718884e+02,-2.531088583968e-05,1.947592942619e-03,1.534100242955e+02,-1.721402870247e-08,-3.352212125507e-05
20,0.000000000000e+00,-2.959864874996e-05,1.486084135691e+02,-2.233401019591e-05,1.949230389311e-03,1.486064643387e+02,-1.378410374731e-08,-2.958486464621e-05
21,0.000000000000e+00,-2.604876823376e-05,1.440719524564e+02,-1.965253466718e-05,1.951593352488e-03,1.440700008630e+02,-1.156039830530e-08,-2.603720783545e-05
22,0.000000000000e+00,-2.282155661815e-05,1.397845968547e+02,-1.721481000327e-05,1.954768546178e-03,1.397826420861e+02,-9.155380897852e-09,-2.281240123725e-05
23,0.000000000000e+00,-1.968917679879e-05,1.357296684578e+02,-1.484872247026e-05,1.958786122809e-03,1.357277096717e+02,-5.044750117644e-09,-1.968413204867e-05
24,0.000000000000e+00,-1.666333531153e-05,1.318917023568e+02,-1.256312375553e-05,1.963638661988e-03,1.318897387181e+02,4.777048201454e-10,-1.666381301635e-05
25,0.000000000000e+00,-1.397272460285e-05,1.282563651326e+02,-1.053078981794e-05,1.969279931196e-03,1.282543958527e+02,5.297027372286e-09,-1.397802163022e-05
26,0.000000000000e+00,-1.158390936118e-05,1.248103711779e+02,-8.726464731268e-06,1.975646875397e-03,1.248083955310e+02,9.460227268221e-09,-1.159336958845e-05
27,0.000000000000e+00,-9.462066917210e-06,1.215413651380e+02,-7.123840537027e-06,1.982680234160e-03,1.215393824578e+02,1.306139113533e-08,-9.475128308345e-06
28,0.000000000000e+00,-7.575309611318e-06,1.184378785892e+02,-5.698824896427e-06,1.990293787799e-03,1.184358882954e+02,1.618323275387e-08,-7.591492844072e-06
29,0.000000000000e+00,-5.895510242548e-06,1.154892625995e+02,-4.430174016079e-06,1.998409489095e-03,1.154872641900e+02,1.889947243150e-08,-5.914409714980e-06
30,0.000000000000e+00,-4.398966161945e-06,1.126856345211e+02,-3.299973073467e-06,2.006955994924e-03,1.126836275651e+02,2.126462683716e-08,-4.420230788782e-06
31,0.000000000000e+00,-3.064730436875e-06,1.100178144377e+02,-2.292396194647e-06,2.015864280766e-03,1.100157985734e+02,2.333283044553e-08,-3.088063267320e-06
32,0.000000000000e+00,-1.874893848175e-06,1.074772687806e+02,-1.393911950753e-06,2.025078548564e-03,1.074752437021e+02,2.514493635530e-08,-1.900038784530e-06
33,0.000000000000e+00,-8.136632490552e-07,1.050560640307e+02,-5.925883406199e-07,2.034548601050e-03,1.050540294821e+02,2.673084875671e-08,-8.403940978119e-07
34,0.000000000000e+00,1.327784109884e-07,1.027468224341e+02,1.220191236939e-07,2.044228740359e-03,1.027447782053e+02,2.812129562546e-08,1.046571153629e-07
35,0.000000000000e+00,9.763768138993e-07,1.005426808130e+02,7.589319954704e-07,2.054075331958e-03,1.005406267377e+02,2.934052678594e-08,9.470362871133e-07
36,0.000000000000e+00,1.727659414252e-06,9.843724921738e+01,1.326102328836e-06,2.064054472843e-03,9.843518516290e+01,3.040628360207e-08,1.697253130650e-06
37,0.000000000000e+00,2.395851182724e-06,9.642457918607e+01,1.830502114331e-06,2.074131219602e-03,9.642250505485e+01,3.133308074110e-08,2.364518101983e-06
38,0.000000000000e+00,2.988963848538e-06,9.449913466696e+01,2.278185615712e-06,2.084279698709e-03,9.449705038726e+01,3.210966131872e-08,2.956854187219e-06
39,0.000000000000e+00,3.514269992122e-06,9.265575811369e+01,2.674647130441e-06,2.094474774327e-03,9.265366363891e+01,3.276956223042e-08,3.481500429892e-06
40,0.000000000000e+00,3.978262210935e-06,9.088964258341e+01,3.024792333051e-06,2.104691225927e-03,9.088753789219e+01,3.336241488627e-08,3.944899796049e-06
41,0.000000000000e+00,4.386557641622e-06,8.919630635935e+01,3.332864867200e-06,2.114908420945e-03,8.919419145093e+01,3.388749636457e-08,4.352670145258e-06
42,0.000000000000e+00,4.744473393936e-06,8.757156959752e+01,3.602881870179e-06,2.125107901289e-03,8.756944448962e+01,3.431326989212e-08,4.710160124044e-06
43,0.000000000000e+00,5.067159513150e-06,8.601153207296e+01,3.846290236531e-06,2.135274441691e-03,8.600939679852e+01,3.458798947253e-08,5.032571523678e-06
44,0.000000000000e+00,5.354466909691e-06,8.451255294553e+01,4.062978444797e-06,2.145395414039e-03,8.451040755011e+01,3.480887078577e-08,5.319658038905e-06
45,0.000000000000e+00,5.606028171179e-06,8.307123203466e+01,4.252666830240e-06,2.155460265274e-03,8.306907657439e+01,3.497586331669e-08,5.571052307862e-06
46,0.000000000000e+00,5.825347356880e-06,8.168439254897e+01,4.418004582174e-06,2.165460168119e-03,8.168222708880e+01,3.509675711166e-08,5.790250599769e-06
47,0.000000000000e+00,6.015423565042e-06,8.034906509893e+01,4.561256620406e-06,2.175387843348e-03,8.034688971108e+01,3.517852908974e-08,5.980245035953e-06
48,0.000000000000e+00,6.179148251240e-06,7.906247291063e+01,4.684607895822e-06,2.185237345283e-03,7.906028767328e+01,3.522435415571e-08,6.143923897084e-06
49,0.000000000000e+00,6.323455694679e-06,7.782201812882e+01,4.793297611272e-06,2.195003939429e-03,7.781982312489e+01,3.518761532151e-08,6.288268079357e-06
50,0.000000000000e+00,6.448072638721e-06,7.662526917143e+01,4.887119049446e-06,2.204683892672e-03,7.662306448754e+01,3.509939178192e-08,6.412973246939e-06
51,0.000000000000e+00,6.552036453555e-06,7.546994900996e+01,4.965344917895e-06,2.214274284674e-03,7.546773473568e+01,3.499446454835e-08,6.517041989007e-06
52,0.000000000000e+00,6.637449262603e-06,7.435392433001e+01,5.029563262759e-06,2.223772920676e-03,7.435170055709e+01,3.487655114709e-08,6.602572711456e-06
53,0.000000000000e+00,6.706267516365e-06,7.327519549904e+01,5.081252363759e-06,2.233178324629e-03,7.327296232072e+01,3.474488191602e-08,6.671522634449e-06
54,0.000000000000e+00,6.760262946243e-06,7.223188727902e+01,5.121750625836e-06,2.242489765463e-03,7.222964478926e+01,3.460095121532e-08,6.725661995027e-06
55,0.000000000000e+00,6.801012554791e-06,7.122224021153e+01,5.152248219176e-06,2.251707414891e-03,7.121998850411e+01,3.444712703971e-08,6.766565427752e-06
56,0.000000000000e+00,6.829890320276e-06,7.024460255609e+01,5.173784415557e-06,2.260831994439e-03,7.024234172410e+01,3.428152312024e-08,6.795608797155e-06
57,0.000000000000e+00,6.848165266110e-06,6.929742289891e+01,5.187317938748e-06,2.269863703513e-03,6.929515303521e+01,3.410595406095e-08,6.814059312049e-06
58,0.000000000000e+00,6.856977426639e-06,6.837924336383e+01,5.193709977203e-06,2.278802808296e-03,6.837696456102e+01,3.392284425585e-08,6.823054582383e-06
59,0.000000000000e+00,6.857341183386e-06,6.748869326561e+01,5.193726669628e-06,2.287649818814e-03,6.748640561579e+01,3.373422774455e-08,6.823606955642e-06
