x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-4.995066821071e-01,-1.569762988233e-02,9.995065603657e-01,3.141075907813e-02,7.206058347921e+01,1.264024101268e+00,-4.221795566424e-02,1.006617723643e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.975353574357e-01,-4.703093827340e-02,9.955619646031e-01,9.410831331851e-02,7.205161902830e+01,1.246095199462e+00,-1.260532446070e-01,1.006499851414e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.936004880108e-01,-7.817863703751e-02,9.876883405951e-01,1.564344650402e-01,7.203387465610e+01,1.210606455056e+00,-2.087790401835e-01,1.006266465993e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.877176029643e-01,-1.090178004376e-01,9.759167619387e-01,2.181432413965e-01,7.200747538972e+01,1.157807922307e+00,-2.891510664718e-01,1.005919386873e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.799099193559e-01,-1.394267203850e-01,9.602936856769e-01,2.789911060392e-01,7.197279199484e+01,1.088441132530e+00,-3.661529601701e-01,1.005463289788e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.702082505459e-01,-1.692853867649e-01,9.408807689542e-01,3.387379202453e-01,7.193037508156e+01,1.003607305973e+00,-4.387606846235e-01,1.004905259743e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.586508845886e-01,-1.984759610624e-01,9.177546256840e-01,3.971478906348e-01,7.188099124041e+01,9.048396236717e-01,-5.061405357847e-01,1.004255289737e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.452834331275e-01,-2.268832414167e-01,8.910065241884e-01,4.539904997395e-01,7.182531907188e+01,7.934952866084e-01,-5.675821554014e-01,1.003522071127e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.301586513865e-01,-2.543951172702e-01,8.607420270039e-01,5.090414157504e-01,7.176437146687e+01,6.716000765918e-01,-6.223285547948e-01,1.002718927739e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.133362299692e-01,-2.809030118179e-01,8.270805742746e-01,5.620833778521e-01,7.169932438732e+01,5.415059174896e-01,-6.697953918697e-01,1.001861313041e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.948825592877e-01,-3.063023105103e-01,7.901550123757e-01,6.129070536530e-01,7.163144100490e+01,4.057391526552e-01,-7.095211436723e-01,1.000965876156e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.748704675493e-01,-3.304927739193e-01,7.501110696305e-01,6.613118653237e-01,7.156198562254e+01,2.668283879419e-01,-7.411906621178e-01,1.000049294663e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.533789333375e-01,-3.533789333375e-01,7.071067811865e-01,7.071067811865e-01,7.149218761805e+01,1.272323789505e-01,-7.645287263824e-01,9.991277104018e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.304927739193e-01,-3.748704675493e-01,6.613118653237e-01,7.501110696305e-01,7.142321150123e+01,-1.071985467837e-02,-7.795224134159e-01,9.982162975355e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-3.063023105103e-01,-3.948825592877e-01,6.129070536530e-01,7.901550123757e-01,7.135615548049e+01,-1.448318961720e-01,-7.862448763844e-01,9.973294311787e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,-4.133362299692e-01,5.620833778521e-01,8.270805742746e-01,7.129201122680e+01,-2.731204035338e-01,-7.849014571472e-01,9.964801316237e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,-4.301586513865e-01,5.090414157504e-01,8.607420270039e-01,7.123164254732e+01,-3.938577625117e-01,-7.757886971079e-01,9.956797238231e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,-4.452834331275e-01,4.539904997395e-01,8.910065241884e-01,7.117584166342e+01,-5.054595303078e-01,-7.592892178685e-01,9.949386707800e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,-4.586508845886e-01,3.971478906348e-01,9.177546256840e-01,7.112530535361e+01,-6.065321499138e-01,-7.358792925189e-01,9.942663379052e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.692853867649e-01,-4.702082505459e-01,3.387379202453e-01,9.408807689542e-01,7.108065499572e+01,-6.958328656965e-01,-7.061081577266e-01,9.936710807924e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,7.104242795232e+01,-7.722869525056e-01,-6.712411772229e-01,9.931602882968e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,7.101005480068e+01,-8.370332557821e-01,-6.319737859919e-01,9.927259841091e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-7.817863703751e-02,-4.936004880108e-01,1.564344650402e-01,9.876883405951e-01,7.098364597994e+01,-8.898508972594e-01,-5.887876211322e-01,9.923697879480e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.703093827340e-02,-4.975353574357e-01,9.410831331851e-02,9.955619646031e-01,7.096312055301e+01,-9.309017511272e-01,-5.427397914953e-01,9.920909445545e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.569762988233e-02,-4.995066821071e-01,3.141075907813e-02,9.995065603657e-01,7.094810693985e+01,-9.609289774460e-01,-4.948522537882e-01,9.918847006868e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.569762988233e-02,-4.995066821071e-01,-3.141075907813e-02,9.995065603657e-01,7.093812597634e+01,-9.808909044538e-01,-4.460335673313e-01,9.917449683135e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.703093827340e-02,-4.975353574357e-01,-9.410831331851e-02,9.955619646031e-01,7.093264533737e+01,-9.918521823956e-01,-3.971243250601e-01,9.916649831573e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
7.817863703751e-02,-4.936004880108e-01,-1.564344650402e-01,9.876883405951e-01,7.093121235912e+01,-9.947181389121e-01,-3.487969298574e-01,9.916391338278e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.090178004376e-01,-4.877176029643e-01,-2.181432413965e-01,9.759167619387e-01,7.093343874083e+01,-9.902653754775e-01,-3.018525970521e-01,9.916624846427e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.394267203850e-01,-4.799099193559e-01,-2.789911060392e-01,9.602936856769e-01,7.093876208148e+01,-9.796186941928e-01,-2.569051335246e-01,9.917282156252e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.692853867649e-01,-4.702082505459e-01,-3.387379202453e-01,9.408807689542e-01,7.094671917068e+01,-9.637045157768e-01,-2.144063704778e-01,9.918304614706e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.984759610624e-01,-4.586508845886e-01,-3.971478906348e-01,9.177546256840e-01,7.095685341102e+01,-9.434360351069e-01,-1.747403052255e-01,9.919634686700e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.268832414167e-01,-4.452834331275e-01,-4.539904997395e-01,8.910065241884e-01,7.096870844733e+01,-9.197259624733e-01,-1.381731571801e-01,9.921213366975e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.543951172702e-01,-4.301586513865e-01,-5.090414157504e-01,8.607420270039e-01,7.098187674143e+01,-8.933893742879e-01,-1.049727597425e-01,9.922987069589e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.809030118179e-01,-4.133362299692e-01,-5.620833778521e-01,8.270805742746e-01,7.099579666106e+01,-8.655495350239e-01,-7.529196795212e-02,9.924880050009e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.063023105103e-01,-3.948825592877e-01,-6.129070536530e-01,7.901550123757e-01,7.101013478823e+01,-8.368732806760e-01,-4.908456103760e-02,9.926846485427e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.304927739193e-01,-3.748704675493e-01,-6.613118653237e-01,7.501110696305e-01,7.102462338921e+01,-8.078960787210e-01,-2.635321041724e-02,9.928848716123e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.533789333375e-01,-3.533789333375e-01,-7.071067811865e-01,7.071067811865e-01,7.103901384115e+01,-7.791151748434e-01,-7.043714266559e-03,9.930850798743e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.748704675493e-01,-3.304927739193e-01,-7.501110696305e-01,6.613118653237e-01,7.105311961155e+01,-7.509036340477e-01,8.946435807525e-03,9.932824959733e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.948825592877e-01,-3.063023105103e-01,-7.901550123757e-01,6.129070536530e-01,7.106678758139e+01,-7.235676943547e-01,2.171519057063e-02,9.934747314114e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.133362299692e-01,-2.809030118179e-01,-8.270805742746e-01,5.620833778521e-01,7.107989272645e+01,-6.973574042335e-01,3.136775038363e-02,9.936597789650e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.301586513865e-01,-2.543951172702e-01,-8.607420270039e-01,5.090414157504e-01,7.109231749830e+01,-6.725078605384e-01,3.800972911598e-02,9.938357469457e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.452834331275e-01,-2.268832414167e-01,-8.910065241884e-01,4.539904997395e-01,7.110393856345e+01,-6.492657302330e-01,4.175317330765e-02,9.940006739791e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.586508845886e-01,-1.984759610624e-01,-9.177546256840e-01,3.971478906348e-01,7.111461542767e+01,-6.279120018079e-01,4.273150221466e-02,9.941523734797e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.702082505459e-01,-1.692853867649e-01,-9.408807689542e-01,3.387379202453e-01,7.112418913680e+01,-6.087645835375e-01,4.112879769272e-02,9.942884749778e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.799099193559e-01,-1.394267203850e-01,-9.602936856769e-01,2.789911060392e-01,7.113249841076e+01,-5.921460356276e-01,3.719800552772e-02,9.944066374025e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.877176029643e-01,-1.090178004376e-01,-9.759167619387e-01,2.181432413965e-01,7.113939945872e+01,-5.783439396928e-01,3.124305363054e-02,9.945047724458e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.936004880108e-01,-7.817863703751e-02,-9.876883405951e-01,1.564344650402e-01,7.114475526601e+01,-5.676323251321e-01,2.359933301571e-02,9.945809102347e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.975353574357e-01,-4.703093827340e-02,-9.955619646031e-01,9.410831331852e-02,7.114841832985e+01,-5.603061974463e-01,1.467517817418e-02,9.946329502229e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.995066821071e-01,-1.569762988233e-02,-9.995065603657e-01,3.141075907813e-02,7.115029212682e+01,-5.565586035053e-01,4.943071219114e-03,9.946595511743e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.995066821071e-01,1.569762988233e-02,-9.995065603657e-01,-3.141075907813e-02,7.115029852772e+01,-5.565458017107e-01,-5.082102125012e-03,9.946596375038e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.975353574357e-01,4.703093827340e-02,-9.955619646031e-01,-9.410831331851e-02,7.114843409204e+01,-5.602746730716e-01,-1.482775118595e-02,9.946331388394e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.936004880108e-01,7.817863703751e-02,-9.876883405951e-01,-1.564344650402e-01,7.114477051361e+01,-5.676018299257e-01,-2.377103357359e-02,9.945810610137e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.877176029643e-01,1.090178004376e-01,-9.759167619387e-01,-2.181432413965e-01,7.113940979608e+01,-5.783232649788e-01,-3.143643015343e-02,9.945048459718e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.799099193559e-01,1.394267203850e-01,-9.602936856769e-01,-2.789911060392e-01,7.113248805553e+01,-5.921667460877e-01,-3.740539240536e-02,9.944064044666e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.702082505459e-01,1.692853867649e-01,-9.408807689542e-01,-3.387379202453e-01,7.112415908033e+01,-6.088246964920e-01,-4.133284990613e-02,9.942879294068e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.586508845886e-01,1.984759610624e-01,-9.177546256840e-01,-3.971478906348e-01,7.111457271443e+01,-6.279974282819e-01,-4.292845093448e-02,9.941516041278e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.452834331275e-01,2.268832414167e-01,-8.910065241884e-01,-4.539904997395e-01,7.110388616419e+01,-6.493705287553e-01,-4.194729479879e-02,9.939997271198e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.301586513865e-01,2.543951172702e-01,-8.607420270039e-01,-5.090414157504e-01,7.109225614419e+01,-6.726305687552e-01,-3.820546222163e-02,9.938346469814e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.133362299692e-01,2.809030118179e-01,-8.270805742746e-01,-5.620833778521e-01,7.107982108087e+01,-6.975006953995e-01,-3.156633764406e-02,9.936584956622e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.948825592877e-01,3.063023105103e-01,-7.901550123757e-01,-6.129070536530e-01,7.106670452944e+01,-7.237337982616e-01,-2.191467815641e-02,9.934732414099e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.748704675493e-01,3.304927739193e-01,-7.501110696305e-01,-6.613118653237e-01,7.105302478007e+01,-7.510932969956e-01,-9.142766325361e-03,9.932807931751e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.533789333375e-01,3.533789333375e-01,-7.071067811865e-01,-7.071067811865e-01,7.103890827690e+01,-7.793263033519e-01,6.854683533867e-03,9.930831880545e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.304927739193e-01,3.748704675493e-01,-6.613118653237e-01,-7.501110696305e-01,7.102450815547e+01,-8.081265461995e-01,2.617466631847e-02,9.928828133718e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
3.063023105103e-01,3.948825592877e-01,-6.129070536530e-01,-7.901550123757e-01,7.101001166716e+01,-8.371195228235e-01,4.891875703570e-02,9.926824641356e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.809030118179e-01,4.133362299692e-01,-5.620833778521e-01,-8.270805742746e-01,7.099566651705e+01,-8.658098230336e-01,7.513891011352e-02,9.924857180949e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.543951172702e-01,4.301586513865e-01,-5.090414157504e-01,-8.607420270039e-01,7.098174003566e+01,-8.936627858316e-01,1.048308199216e-01,9.922963270006e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
2.268832414167e-01,4.452834331275e-01,-4.539904997395e-01,-8.910065241884e-01,7.096856276335e+01,-9.200173304492e-01,1.380425216831e-01,9.921188244888e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.984759610624e-01,4.586508845886e-01,-3.971478906348e-01,-9.177546256840e-01,7.095670102039e+01,-9.437408163629e-01,1.746203103501e-01,9.919608896717e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.692853867649e-01,4.702082505459e-01,-3.387379202453e-01,-9.408807689542e-01,7.094655724458e+01,-9.640283679920e-01,2.142957652609e-01,9.918277662148e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.394267203850e-01,4.799099193559e-01,-2.789911060392e-01,-9.602936856769e-01,7.093858693190e+01,-9.799689933406e-01,2.568058444895e-01,9.917253245648e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.090178004376e-01,4.877176029643e-01,-2.181432413965e-01,-9.759167619387e-01,7.093325363303e+01,-9.906355910783e-01,3.017659427349e-01,9.916594902297e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
7.817863703751e-02,4.936004880108e-01,-1.564344650402e-01,-9.876883405951e-01,7.093101418460e+01,-9.951144879371e-01,3.487243349644e-01,9.916359711946e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
4.703093827340e-02,4.975353574357e-01,-9.410831331851e-02,-9.955619646031e-01,7.093243352216e+01,-9.922758128269e-01,3.970688759722e-01,9.916616342543e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
1.569762988233e-02,4.995066821071e-01,-3.141075907812e-02,-9.995065603657e-01,7.093789903164e+01,-9.813447938675e-01,4.459982580201e-01,9.917413736722e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.569762988233e-02,4.995066821071e-01,3.141075907813e-02,-9.995065603657e-01,7.094786720121e+01,-9.614084547279e-01,4.948401348457e-01,9.918809279407e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-4.703093827340e-02,4.975353574357e-01,9.410831331851e-02,-9.955619646031e-01,7.096286908901e+01,-9.314046791141e-01,5.427524068833e-01,9.920870061564e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-7.817863703751e-02,4.936004880108e-01,1.564344650402e-01,-9.876883405951e-01,7.098338296159e+01,-8.903769339720e-01,5.888274928048e-01,9.923656773767e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.090178004376e-01,4.877176029643e-01,2.181432413965e-01,-9.759167619387e-01,7.100978649272e+01,-8.375698716994e-01,6.320419138213e-01,9.927218572746e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.394267203850e-01,4.799099193559e-01,2.789911060392e-01,-9.602936856769e-01,7.104215665362e+01,-7.728295498944e-01,6.713365406744e-01,9.931561744239e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.692853867649e-01,4.702082505459e-01,3.387379202453e-01,-9.408807689542e-01,7.108038266763e+01,-6.963775218765e-01,7.062302527246e-01,9.936669868266e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-1.984759610624e-01,4.586508845886e-01,3.971478906348e-01,-9.177546256840e-01,7.112503561639e+01,-6.070716243532e-01,7.360264514439e-01,9.942622800610e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.268832414167e-01,4.452834331275e-01,4.539904997395e-01,-8.910065241884e-01,7.117557832094e+01,-5.059862152666e-01,7.594586998395e-01,9.949346748464e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.543951172702e-01,4.301586513865e-01,5.090414157504e-01,-8.607420270039e-01,7.123138772926e+01,-3.943673986325e-01,7.759784865453e-01,9.956757822578e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
-2.809030118179e-01,4.133362299692e-01,5.620833778521e-01,-8.270805742746e-01,7.129176905412e+01,-2.736047489086e-01,7.851087750435e-01,9.964763586130e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL
