step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,-2.314513488058e-04,3.176047801085e+02,-1.748461694930e-04,0.000000000000e+00,3.176047801085e+02,0.000000000000e+00,-2.314513488058e-04
2,0.000000000000e+00,-1.778208719523e-04,2.825254680585e+02,-1.343099452455e-04,1.429626580767e-03,2.825240384319e+02,-3.587808404537e-08,-1.777849938682e-04
3,0.000000000000e+00,-1.361997477500e-04,2.527732795009e+02,-1.028521332547e-04,2.221617040066e-03,2.527710578838e+02,-5.011257908638e-08,-1.361496351709e-04
4,0.000000000000e+00,-1.039584673210e-04,2.274595451322e+02,-7.848466568561e-05,2.685902765757e-03,2.274568592294e+02,-5.230462690742e-08,-1.039061626941e-04
5,0.000000000000e+00,-7.910255597496e-05,2.058502136187e+02,-5.969971192599e-05,2.985004173165e-03,2.058472286145e+02,-5.011388623521e-08,-7.905244208872e-05
6,0.000000000000e+00,-6.015615169902e-05,1.873381205620e+02,-4.538137075283e-05,3.202988380214e-03,1.873349175736e+02,-4.996913910427e-08,-6.010618255992e-05
7,0.000000000000e+00,-4.605668343682e-05,1.714205147480e+02,-3.472632231105e-05,3.382592560835e-03,1.714171321554e+02,-5.806062430835e-08,-4.599862281252e-05
8,0.000000000000e+00,-3.405307187054e-05,1.576806736738e+02,-2.565583896796e-05,3.544845680233e-03,1.576771288282e+02,-4.299591105372e-08,-3.401007595949e-05
9,0.000000000000e+00,-2.444702394389e-05,1.457728049385e+02,-1.839782226476e-05,3.699414945969e-03,1.457691055235e+02,-2.932149467672e-08,-2.441770244921e-05
10,0.000000000000e+00,-1.700732327281e-05,1.354096050598e+02,-1.277734892735e-05,3.850333570210e-03,1.354057547262e+02,-2.860202669153e-08,-1.697872124612e-05
11,0.000000000000e+00,-1.036156864953e-05,1.263520455926e+02,-7.756928990688e-06,3.998728959732e-03,1.263480468636e+02,-3.804725423606e-09,-1.035776392411e-05
12,0.000000000000e+00,-5.421181470788e-06,1.184010194903e+02,-4.025064594515e-06,4.144227784647e-03,1.183968752625e+02,1.357604872965e-08,-5.434757519518e-06
13,0.000000000000e+00,-1.744749860533e-06,1.113903269208e+02,-1.248218050698e-06,4.286294098654e-03,1.113860406267e+02,2.575532492832e-08,-1.770505185461e-06
14,0.000000000000e+00,9.992843142959e-07,1.051810244536e+02,8.241519342533e-07,4.423832108236e-03,1.051766006215e+02,3.454613678455e-08,9.647381775113e-07
15,0.000000000000e+00,3.044407341390e-06,9.965682416032e+01,2.368488200677e-06,4.556551668064e-03,9.965226760865e+01,4.111552609487e-08,3.003291815296e-06
16,0.000000000000e+00,4.558986534509e-06,9.472013160537e+01,3.512022127339e-06,4.684651099542e-03,9.471544695427e+01,4.621676602534e-08,4.512769768483e-06
17,0.000000000000e+00,5.665798922139e-06,9.028891211762e+01,4.347511751934e-06,4.808315147150e-03,9.028410380247e+01,5.021351434653e-08,5.615585407792e-06
18,0.000000000000e+00,6.454576923220e-06,8.629406240581e+01,4.942754119330e-06,4.927727767886e-03,8.628913467804e+01,5.333500907589e-08,6.401241914145e-06
19,0.000000000000e+00,7.005923001568e-06,8.267723703329e+01,5.358676519407e-06,5.043020120942e-03,8.267219401317e+01,5.587199225499e-08,6.950051009313e-06
20,0.000000000000e+00,7.394547850204e-06,7.938905952807e+01,5.651718404831e-06,5.154385969378e-03,7.938390514210e+01,5.703720890038e-08,7.337510641303e-06
21,0.000000000000e+00,7.641254644919e-06,7.638763832836e+01,5.837578693768e-06,5.262049236028e-03,7.638237627913e+01,5.832112565107e-08,7.582933519268e-06
22,0.000000000000e+00,7.793221465047e-06,7.363734078689e+01,5.951922178671e-06,5.366237915300e-03,7.363197454898e+01,5.879913450579e-08,7.734422330541e-06
23,0.000000000000e+00,7.854151160142e-06,7.110777703959e+01,5.997535589941e-06,5.467174058817e-03,7.110230986553e+01,5.923949414344e-08,7.794911665998e-06
24,0.000000000000e+00,7.847078687173e-06,6.877295717728e+01,5.991820196449e-06,5.565086317801e-03,6.876739209096e+01,5.962828558692e-08,7.787450401586e-06
25,0.000000000000e+00,7.789293318267e-06,6.661058944135e+01,5.947832044662e-06,5.660202367341e-03,6.660492923898e+01,5.991794604920e-08,7.729375372217e-06
26,0.000000000000e+00,7.694003618830e-06,6.460149734322e+01,5.875545992406e-06,5.752698298340e-03,6.459574464492e+01,6.015512177271e-08,7.633848497057e-06
27,0.000000000000e+00,7.571706275245e-06,6.272913479107e+01,5.782888301553e-06,5.842746579337e-03,6.272329204449e+01,6.030049914951e-08,7.511405776095e-06
28,0.000000000000e+00,7.430648118256e-06,6.097918236910e+01,5.676072064364e-06,5.930497639904e-03,6.097325187146e+01,6.051162088072e-08,7.370136497376e-06
29,0.000000000000e+00,7.276597183414e-06,5.933920843641e+01,5.559465664273e-06,6.016095115946e-03,5.933319234129e+01,6.075838449027e-08,7.215838798924e-06
30,0.000000000000e+00,7.113966345396e-06,5.779838621263e+01,5.436398247571e-06,6.099705187743e-03,5.779228650745e+01,6.102099664451e-08,7.052945348751e-06
31,0.000000000000e+00,6.946053532020e-06,5.634725773668e+01,5.309357538508e-06,6.181609727182e-03,5.634107612696e+01,6.124560825160e-08,6.884807923768e-06
32,0.000000000000e+00,6.775435346024e-06,5.497753044802e+01,5.180286612561e-06,6.261892583471e-03,5.497126855544e+01,6.141413572136e-08,6.714021210302e-06
33,0.000000000000e+00,6.604178869857e-06,5.368191128960e+01,5.050743984159e-06,6.340644863434e-03,5.367557064474e+01,6.156747645036e-08,6.542611393406e-06
34,0.000000000000e+00,6.434126872484e-06,5.245396671030e+01,4.922120810491e-06,6.417939374155e-03,5.244754877093e+01,6.174356720345e-08,6.372383305281e-06
35,0.000000000000e+00,6.266634055230e-06,5.128800326963e+01,4.795440483818e-06,6.493834745266e-03,5.128150943489e+01,6.206231079053e-08,6.204571744439e-06
36,0.000000000000e+00,6.102351625792e-06,5.017896637742e+01,4.671191762950e-06,6.568385921037e-03,5.017239799150e+01,6.247653944191e-08,6.039875086350e-06
37,0.000000000000e+00,5.941597618964e-06,4.912235452851e+01,4.549602534043e-06,6.641646882029e-03,4.911571288162e+01,6.286238574127e-08,5.878735233222e-06
38,0.000000000000e+00,5.784839954781e-06,4.811414641440e+01,4.431040676822e-06,6.713671589637e-03,4.810743274281e+01,6.320605594468e-08,5.721633898836e-06
39,0.000000000000e+00,5.632261839361e-06,4.715073885775e+01,4.315640039776e-06,6.784514928633e-03,4.714395434282e+01,6.352996956283e-08,5.568731869798e-06
40,0.000000000000e+00,5.484144587481e-06,4.622889390208e+01,4.203611367437e-06,6.854226380296e-03,4.622203967570e+01,6.383933565113e-08,5.420305251830e-06
41,0.000000000000e+00,5.340585036262e-06,4.534569341108e+01,4.095025846196e-06,6.922851752792e-03,4.533877055933e+01,6.413719649823e-08,5.276447839764e-06
42,0.000000000000e+00,5.201613488437e-06,4.449850017224e+01,3.989906474100e-06,6.990434761008e-03,4.449150973748e+01,6.443226635566e-08,5.137181222081e-06
43,0.000000000000e+00,5.067213313781e-06,4.368492447310e+01,3.888244411554e-06,7.057017552955e-03,4.367786745555e+01,6.472363145438e-08,5.002489682326e-06
44,0.000000000000e+00,4.937325303017e-06,4.290279519610e+01,3.789991776859e-06,7.122639740698e-03,4.289567255636e+01,6.500779214935e-08,4.872317510868e-06
45,0.000000000000e+00,4.811808982569e-06,4.215013485041e+01,3.695040932339e-06,7.187338781535e-03,4.214294751163e+01,6.522449208513e-08,4.746584490484e-06
46,0.000000000000e+00,4.690601508012e-06,4.142513794265e+01,3.603343312397e-06,7.251149979068e-03,4.141788679268e+01,6.541632768808e-08,4.625185180324e-06
47,0.000000000000e+00,4.573615670411e-06,4.072615215885e+01,3.514832613183e-06,7.314106794193e-03,4.071883805205e+01,6.561582788223e-08,4.507999842529e-06
48,0.000000000000e+00,4.460741785978e-06,4.005166197997e+01,3.429426882695e-06,7.376240956490e-03,4.004428573902e+01,6.582001349509e-08,4.394921772483e-06
49,0.000000000000e+00,4.351833480964e-06,3.940027436802e+01,3.347014675636e-06,7.437582671434e-03,3.939283678535e+01,6.602921270860e-08,4.285804268256e-06
50,0.000000000000e+00,4.246771549060e-06,3.877070623567e+01,3.267505677584e-06,7.498160425794e-03,3.876320807524e+01,6.624181614345e-08,4.180529732917e-06
51,0.000000000000e+00,4.145383205867e-06,3.816177342978e+01,3.190770604844e-06,7.558001146211e-03,3.815421542863e+01,6.645461314569e-08,4.078928592721e-06
52,0.000000000000e+00,4.047554068021e-06,3.757238101923e+01,3.116721795982e-06,7.617130587436e-03,3.756476388865e+01,6.667004953664e-08,3.980884018484e-06
53,0.000000000000e+00,3.953140865293e-06,3.700151476980e+01,3.045251346645e-06,7.675570863612e-03,3.699383919894e+01,6.688718784398e-08,3.886253677449e-06
54,0.000000000000e+00,3.862090832002e-06,3.644823355798e+01,2.976319315451e-06,7.733342419886e-03,3.644050021556e+01,6.705866006929e-08,3.795032171933e-06
55,0.000000000000e+00,3.774140575785e-06,3.591166258236e+01,2.909726475542e-06,7.790470451123e-03,3.590387211190e+01,6.719435585723e-08,3.706946219928e-06
56,0.000000000000e+00,3.689167356796e-06,3.539098743241e+01,2.845380138394e-06,7.846978149569e-03,3.538314045426e+01,6.732380625207e-08,3.621843550544e-06
57,0.000000000000e+00,3.607051920804e-06,3.488544877341e+01,2.783190768740e-06,7.902886663972e-03,3.487754588674e+01,6.746185882145e-08,3.539590061982e-06
58,0.000000000000e+00,3.527720947999e-06,3.439433758458e+01,2.723102761504e-06,7.958215397056e-03,3.438637936918e+01,6.760717974341e-08,3.460113768256e-06
59,0.000000000000e+00,3.451009606387e-06,3.391699090551e+01,2.664992304169e-06,8.012982507424e-03,3.390897792300e+01,6.775800659442e-08,3.383251599792e-06
60,0.000000000000e+00,3.376773785771e-06,3.345278800711e+01,2.608749913868e-06,8.067205111338e-03,3.344472080200e+01,6.791308837517e-08,3.308860697396e-06
61,0.000000000000e+00,3.304862290943e-06,3.300114695395e+01,2.554261318233e-06,8.120899390325e-03,3.299302605456e+01,6.806354985178e-08,3.236798741091e-06
