x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
1.913500124916e-05,-5.495555690284e-04,9.993943676096e-01,3.479795957017e-02,5.638868694444e-01,7.706308817460e-01,-3.203888911709e-02,1.397515161323e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.315779180713e-05,-1.627700740414e-03,9.946520240472e-01,1.032828691447e-01,5.572620171113e-01,7.573811770798e-01,-6.154298073475e-02,1.383869998165e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.346344931608e-04,-2.662346979947e-03,9.856752905128e-01,1.686541481034e-01,5.494082238594e-01,7.416735905759e-01,-8.568458980913e-02,1.367448272472e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.390854237922e-04,-3.665068381381e-03,9.729787549752e-01,2.308946564277e-01,5.406402832393e-01,7.241377093357e-01,-1.041188774226e-01,1.348958830133e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.044344396482e-04,-4.648319866488e-03,9.570044912896e-01,2.900731005309e-01,5.313868471177e-01,7.056308370925e-01,-1.171669482777e-01,1.329391591826e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.021556225103e-03,-5.596400208893e-03,9.385996197702e-01,3.450083386923e-01,5.223053272476e-01,6.874677973522e-01,-1.245309388244e-01,1.310065465884e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.378815082818e-03,-6.494614583848e-03,9.187957681603e-01,3.947332471566e-01,5.137168475549e-01,6.702908379669e-01,-1.265898196974e-01,1.291501788174e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.784473100775e-03,-7.375363281045e-03,8.976223486524e-01,4.407653788579e-01,5.055131231442e-01,6.538833891455e-01,-1.253810215956e-01,1.273653544250e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.234481347914e-03,-8.239294274146e-03,8.753098186008e-01,4.835625310763e-01,4.979397929182e-01,6.387367286936e-01,-1.227293750026e-01,1.257042085909e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.708731442500e-03,-9.055525426615e-03,8.532097090887e-01,5.215680131266e-01,4.911830520877e-01,6.252232470326e-01,-1.182768952794e-01,1.242049246535e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.212294286292e-03,-9.842776789700e-03,8.313905417703e-01,5.556885522078e-01,4.849777290735e-01,6.128126010041e-01,-1.132960447820e-01,1.228099404128e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.754717172253e-03,-1.062095390846e-02,8.092361084251e-01,5.874835494045e-01,4.792393527303e-01,6.013358483177e-01,-1.087146112384e-01,1.215146040108e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.321999690633e-03,-1.137402606599e-02,7.876574461496e-01,6.161134209909e-01,4.740654929392e-01,5.909881287356e-01,-1.044197848435e-01,1.203374706821e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.897447488290e-03,-1.208541960185e-02,7.667769880648e-01,6.419135849740e-01,4.693641991303e-01,5.815855411178e-01,-1.005769735867e-01,1.192558219482e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
5.511098472117e-03,-1.279505896759e-02,7.466579844938e-01,6.652081284768e-01,4.649402579823e-01,5.727376588218e-01,-9.701551439358e-02,1.182415714805e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
6.162708931538e-03,-1.350527885328e-02,7.266612641268e-01,6.869959295496e-01,4.607899528709e-01,5.644370485989e-01,-9.499994566450e-02,1.172949100169e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
6.817833219012e-03,-1.417925776943e-02,7.070630654251e-01,7.071504942455e-01,4.569723632196e-01,5.568018692964e-01,-9.356166730084e-02,1.164226970763e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.493462380569e-03,-1.483767639851e-02,6.889885341974e-01,7.247722399103e-01,4.533765635606e-01,5.496102699782e-01,-9.194198274047e-02,1.156044480233e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
8.213478615941e-03,-1.550483201013e-02,6.706523122079e-01,7.417718491088e-01,4.499487213067e-01,5.427545854705e-01,-9.111782402442e-02,1.148370490580e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
8.956930397157e-03,-1.616139814354e-02,6.529456136386e-01,7.574047964134e-01,4.467633185527e-01,5.363837799625e-01,-9.059793848088e-02,1.141280955118e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.697345360974e-03,-1.678604188620e-02,6.364280040429e-01,7.713361107001e-01,4.437703207332e-01,5.303977843235e-01,-8.993405817764e-02,1.134625933884e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.048933990457e-02,-1.742462077492e-02,6.198352096385e-01,7.847320006807e-01,4.408599813535e-01,5.245771055641e-01,-8.948169967794e-02,1.128273579085e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.133628341703e-02,-1.807951244515e-02,6.033976931959e-01,7.974404202483e-01,4.381187525887e-01,5.190946480345e-01,-8.953760329312e-02,1.122424477969e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.218243072842e-02,-1.870670559107e-02,5.873495879629e-01,8.093333438823e-01,4.355305776531e-01,5.139182981634e-01,-8.957117559806e-02,1.116929548426e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.305567585734e-02,-1.932851061297e-02,5.730721271106e-01,8.195049341699e-01,4.330143094798e-01,5.088857618168e-01,-8.908579220716e-02,1.111664833389e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.399777969410e-02,-1.997368528241e-02,5.574880229613e-01,8.301849819496e-01,4.305326199477e-01,5.039223827525e-01,-8.924410089830e-02,1.106575095420e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.497717556801e-02,-2.061889238972e-02,5.426117885322e-01,8.399835992124e-01,4.281732561534e-01,4.992036551640e-01,-8.919982662462e-02,1.101801721612e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.595146068223e-02,-2.123709844772e-02,5.287776567780e-01,8.487603841441e-01,4.258945834275e-01,4.946463097122e-01,-8.886070346256e-02,1.097212740654e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.700567193007e-02,-2.188107194760e-02,5.148006019065e-01,8.573099441140e-01,4.236090709240e-01,4.900752847052e-01,-8.840230603464e-02,1.092683111069e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.814718312240e-02,-2.255363119082e-02,5.004040478151e-01,8.657920009623e-01,4.213797985598e-01,4.856167399768e-01,-8.826688256079e-02,1.088330937592e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.929077874545e-02,-2.320316385825e-02,4.872281616375e-01,8.732747096460e-01,4.192278415125e-01,4.813128258821e-01,-8.760920184896e-02,1.084134814820e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.047671613898e-02,-2.385293775339e-02,4.741917923148e-01,8.804215718059e-01,4.171017432265e-01,4.770606293101e-01,-8.681199030305e-02,1.080018613582e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.177101102824e-02,-2.453692498857e-02,4.608486966314e-01,8.874787202030e-01,4.150012845274e-01,4.728597119120e-01,-8.590476407541e-02,1.076012840761e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.312715210016e-02,-2.522842800805e-02,4.475767905336e-01,8.942455012890e-01,4.130004755878e-01,4.688580940327e-01,-8.495723435343e-02,1.072252849830e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.447949810551e-02,-2.589376411597e-02,4.352457921153e-01,9.003116685048e-01,4.110811838739e-01,4.650195106049e-01,-8.370980415968e-02,1.068652567751e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.595296181425e-02,-2.659264080362e-02,4.228265925862e-01,9.062106116141e-01,4.091765645175e-01,4.612102718921e-01,-8.230162761396e-02,1.065134015120e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.756059229786e-02,-2.732903727514e-02,4.101025126476e-01,9.120394339721e-01,4.073055714759e-01,4.574682858090e-01,-8.112537806813e-02,1.061726822058e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
2.917757709580e-02,-2.804401787776e-02,3.986383808024e-01,9.171081950082e-01,4.054884623981e-01,4.538340676533e-01,-7.964397806631e-02,1.058422773605e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.085834746133e-02,-2.876050076655e-02,3.860748428835e-01,9.224674605061e-01,4.036983058400e-01,4.502537545371e-01,-7.822370573992e-02,1.055185395364e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.270227436646e-02,-2.951786119900e-02,3.743666969390e-01,9.272807429376e-01,4.019302303276e-01,4.467176035123e-01,-7.646898940040e-02,1.052041832081e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.464338601385e-02,-3.028723103490e-02,3.625206607229e-01,9.319757349572e-01,4.002144668458e-01,4.432860765487e-01,-7.492621936910e-02,1.049029029666e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.658302613737e-02,-3.102852754636e-02,3.514336773985e-01,9.362127805099e-01,3.985480608760e-01,4.399532646091e-01,-7.323970401419e-02,1.046100403381e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
3.869756872879e-02,-3.180677051591e-02,3.402459723103e-01,9.403364708053e-01,3.968865824110e-01,4.366303076790e-01,-7.138006856485e-02,1.043210855738e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.100895065534e-02,-3.262676978952e-02,3.285196443923e-01,9.444971377661e-01,3.952409166813e-01,4.333389762197e-01,-6.963973011359e-02,1.040410794560e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.334134846603e-02,-3.342287920336e-02,3.175031430945e-01,9.482572193899e-01,3.936504623113e-01,4.301580674797e-01,-6.780219533724e-02,1.037715595362e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.576331470071e-02,-3.421869204084e-02,3.071748392334e-01,9.516530975844e-01,3.920881736217e-01,4.270334901006e-01,-6.590270808879e-02,1.035069821268e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
4.841884410039e-02,-3.505777283856e-02,2.959850979846e-01,9.551925574307e-01,3.905338425692e-01,4.239248279956e-01,-6.397023545553e-02,1.032506569687e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
5.121921666593e-02,-3.590777908093e-02,2.848854368111e-01,9.585615723014e-01,3.890800738680e-01,4.210172905931e-01,-6.192978655958e-02,1.030052325028e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
5.402071677791e-02,-3.672522167522e-02,2.753082119937e-01,9.613560154328e-01,3.875675563835e-01,4.179922556242e-01,-5.984027772573e-02,1.027650786817e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
5.706248713300e-02,-3.757739142348e-02,2.650188922181e-01,9.642432197156e-01,3.861857691622e-01,4.152286811816e-01,-5.767139795601e-02,1.025378310982e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
6.037909833653e-02,-3.847023560835e-02,2.549638131157e-01,9.669505954295e-01,3.847886232054e-01,4.124343892680e-01,-5.544005712052e-02,1.023152860275e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
6.373203938436e-02,-3.933483005994e-02,2.444061276869e-01,9.696729576249e-01,3.834791203088e-01,4.098153834748e-01,-5.326337836104e-02,1.021072135892e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
6.720362811881e-02,-4.019155965795e-02,2.350820497313e-01,9.719755294729e-01,3.821652614502e-01,4.071876657576e-01,-5.104857945408e-02,1.018997219749e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.099340333903e-02,-4.108705697783e-02,2.253382946276e-01,9.742805822628e-01,3.808932542782e-01,4.046436514135e-01,-4.887090983194e-02,1.017034327269e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.498615211468e-02,-4.198969335521e-02,2.156589645403e-01,9.764687455384e-01,3.796852188156e-01,4.022275804883e-01,-4.677171296254e-02,1.015247147467e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
7.898248634194e-02,-4.285285651807e-02,2.065718626304e-01,9.784314312048e-01,3.784915670742e-01,3.998402770056e-01,-4.478360248881e-02,1.013416344738e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
8.329176206970e-02,-4.374023495831e-02,1.974555767977e-01,9.803118356888e-01,3.773576270821e-01,3.975723970213e-01,-4.269394404277e-02,1.011736126311e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
8.796539140404e-02,-4.465804016847e-02,1.880360518407e-01,9.821621267429e-01,3.762415437707e-01,3.953402303985e-01,-4.051505102141e-02,1.010099320829e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.269443218750e-02,-4.554103846387e-02,1.790491318666e-01,9.838401335470e-01,3.751757270781e-01,3.932085970134e-01,-3.831553480252e-02,1.008517215243e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
9.756978127075e-02,-4.640617121050e-02,1.706316319303e-01,9.853348903722e-01,3.741479402870e-01,3.911530234312e-01,-3.611623631940e-02,1.006966862545e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.028546556068e-01,-4.729471572637e-02,1.614254183476e-01,9.868849144208e-01,3.731974338304e-01,3.892520105179e-01,-3.381708244396e-02,1.005568907717e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.084078432382e-01,-4.817838934507e-02,1.528736212719e-01,9.882457467246e-01,3.722539293210e-01,3.873650014992e-01,-3.166049055516e-02,1.004128362988e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.139663623394e-01,-4.901504912802e-02,1.448063674842e-01,9.894600122976e-01,3.713215259161e-01,3.855001946893e-01,-2.983753224271e-02,1.002648836249e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.199061741214e-01,-4.985796582919e-02,1.367069753386e-01,9.906115297602e-01,3.704016487882e-01,3.836604404336e-01,-2.814988454436e-02,1.001214054661e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.262982955546e-01,-5.071371717289e-02,1.287623430191e-01,9.916754806993e-01,3.694792810166e-01,3.818157048904e-01,-2.662120422218e-02,9.997823500724e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.327672864998e-01,-5.152552599594e-02,1.202665530146e-01,9.927416361904e-01,3.686130965563e-01,3.800833359696e-01,-2.517435128196e-02,9.983864441527e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
1.394033771834e-01,-5.230273604144e-02,1.125654757314e-01,9.936443094354e-01,3.677574794424e-01,3.783721017420e-01,-2.375868994183e-02,9.970204222152e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,bc-4
