step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,1.33078807e-11,15.69524196,-8.136602503e-12,0,15.69524196,0,1.330791033e-11
1,0.01,8.270392506e-05,31.16925699,-0.0003569612185,28.57119696,2.598060033,-3.998534278e-05,0.0001226892678
2,0.02,8.631475316e-05,27.22196761,-0.0004715680099,25.88765166,1.334315947,-0.0001084581318,0.0001947728849
3,0.03,9.78459427e-05,24.26674257,-0.0003586613661,22.92960075,1.33714182,-4.857851421e-05,0.0001464244569
4,0.04,0.0001284706839,21.478285,-0.0002563680455,20.14942351,1.328861487,3.110687288e-05,9.736381099e-05
5,0.05,0.0001514229826,18.80556895,-0.0001895516017,17.50833285,1.297236102,8.657314839e-05,6.484983417e-05
6,0.06,0.0001343185551,16.30985172,-0.0001464007804,15.05224642,1.257605304,9.123901875e-05,4.30795363e-05
7,0.07,7.201052797e-05,14.01495561,-0.0001174081591,12.80119094,1.213764671,4.476653023e-05,2.724399774e-05
8,0.08,8.686115447e-06,11.93080597,-9.69701147e-05,10.76353423,1.167271738,-6.531290321e-06,1.521740577e-05
9,0.09,8.283704383e-06,10.05871708,-8.186228247e-05,8.939462627,1.119254458,1.717050931e-06,6.566653453e-06
10,0.1,0.0001004145996,8.394270404,-7.13476158e-05,7.323524832,1.070745572,9.868976318e-05,1.724836398e-06
11,0.11,0.0002409131827,6.926259779,-6.269083294e-05,5.903761857,1.022497922,0.0002416384929,-7.253102548e-07
12,0.12,0.0003572033769,5.643617332,-5.548484206e-05,4.668547046,0.9750702864,0.0003589030639,-1.699686978e-06
13,0.13,0.0003977985327,4.534313918,-5.05378926e-05,3.60521563,0.9290982875,0.0003996794111,-1.880878391e-06
14,0.14,0.0003356953578,3.584307101,-4.708336815e-05,2.699218325,0.8850887762,0.0003384921139,-2.796756055e-06
15,0.15,0.0001540021232,2.779990384,-4.429769681e-05,1.936641003,0.8433493806,0.0001596828,-5.680676882e-06
16,0.16,-0.0001436282308,2.10832898,-4.075345528e-05,1.304408661,0.803920319,-0.0001314356186,-1.219261226e-05
17,0.17,-0.000505461573,1.55604299,-3.741727535e-05,0.7892281526,0.7668148375,-0.0004839779614,-2.148361165e-05
18,0.18,-0.0007758415426,1.10975126,-3.454633715e-05,0.3775972983,0.7321539616,-0.0007444370705,-3.140447213e-05
19,0.19,-0.0007644668608,0.7557418763,-3.215286877e-05,0.05560324874,0.7001386275,-0.0007263794373,-3.808742353e-05
20,0.2,-0.0003630572621,0.4820380144,-2.933842956e-05,-0.1886449418,0.6706829563,-0.0003233082661,-3.974899601e-05
21,0.21,0.0003200855146,0.276005882,-2.660941971e-05,-0.3675439976,0.6435498797,0.0003546711817,-3.458566716e-05
22,0.22,0.001007068896,0.1271113058,-2.428502946e-05,-0.4915396972,0.618651003,0.001031439599,-2.437070355e-05
23,0.23,0.001383468301,0.02593770735,-2.209906666e-05,-0.570093385,0.5960310924,0.001397063456,-1.359515479e-05
24,0.24,0.00127833954,-0.03393029774,-2.046461212e-05,-0.6094510555,0.5755207577,0.001286366733,-8.027192451e-06
25,0.25,0.0007506940516,-0.0597217445,-1.951939416e-05,-0.6165776122,0.5568558677,0.0007602837141,-9.58966256e-06
26,0.26,5.504181202e-05,-0.05740887419,-1.848229799e-05,-0.5974650227,0.5400561485,7.219845859e-05,-1.715664658e-05
27,0.27,-0.0004901154917,-0.03151518536,-1.823954427e-05,-0.556471408,0.5249562227,-0.000462256477,-2.785901474e-05
28,0.28,-0.0006853987018,0.01232713886,-1.853214766e-05,-0.4989760177,0.5113031565,-0.0006484747648,-3.692393702e-05
29,0.29,-0.0005063350522,0.06950753271,-1.820882927e-05,-0.4295930138,0.4991005465,-0.0004654051781,-4.092987416e-05
30,0.3,-0.0001399711532,0.1358036201,-1.881927956e-05,-0.3523820369,0.488185657,-0.0001000169334,-3.995421982e-05
31,0.31,0.0002050380877,0.2072616009,-1.993118142e-05,-0.271054452,0.4783160529,0.0002405790428,-3.554095503e-05
32,0.32,0.0003713403489,0.2808840239,-2.129624184e-05,-0.18849314,0.4693771639,0.0004017023799,-3.036203105e-05
33,0.33,0.000328958424,0.354417102,-2.278588772e-05,-0.1068548732,0.4612719751,0.0003556219561,-2.666353208e-05
34,0.34,0.000163017907,0.4262356991,-2.430237035e-05,-0.02767077322,0.4539064723,0.0001882833555,-2.52654485e-05
35,0.35,7.170366926e-06,0.4951947978,-2.575161814e-05,0.04800264369,0.4471921542,3.266808429e-05,-2.549771737e-05
36,0.36,-3.031616568e-05,0.5605039406,-2.704496943e-05,0.1194559589,0.4410479817,-4.467406655e-06,-2.584875903e-05
37,0.37,8.957969543e-05,0.6216525126,-2.811866811e-05,0.1862513908,0.4354011218,0.0001144157598,-2.483606436e-05
38,0.38,0.0003337232123,0.678418437,-2.895812993e-05,0.248230788,0.430187649,0.000355375068,-2.165185573e-05
39,0.39,0.0006215368526,0.7308564057,-2.961304003e-05,0.3055033008,0.4253531049,0.000637941382,-1.640452934e-05
40,0.4,0.0008549098415,0.7792049341,-3.018899622e-05,0.3583529589,0.4208519752,0.0008649436841,-1.003384265e-05
41,0.41,0.0009403088815,0.8237440808,-3.081299411e-05,0.4070981776,0.4166459032,0.0009443856326,-4.076751024e-06
42,0.42,0.0008043671022,0.8646429633,-3.158237602e-05,0.4519420059,0.4127009574,0.0008047475594,-3.804572688e-07
43,0.43,0.0004097365882,0.9018668745,-3.251725401e-05,0.4928821384,0.4089847361,0.0004104951259,-7.585376909e-07
44,0.44,-0.0002021797323,0.9350761394,-3.305532401e-05,0.5295707263,0.4055054131,-0.0001971352999,-5.044432415e-06
45,0.45,-0.0009921868183,0.9643606022,-3.393497822e-05,0.5621383422,0.40222226,-0.0009767181113,-1.546870695e-05
46,0.46,-0.001766522207,0.9895183813,-3.462034e-05,0.5904579115,0.3990604698,-0.001735789538,-3.073266933e-05
47,0.47,-0.002312616906,1.010876908,-3.47397832e-05,0.6148818727,0.3959950357,-0.002264541094,-4.807581216e-05
48,0.48,-0.002426435096,1.029126357,-3.412861067e-05,0.6361111342,0.393015223,-0.002362906472,-6.352862401e-05
