step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
0,0,0,100,0.01,0.07987415943,0.08951417197,0.02120985393,0.2000872778,0.117129677,1253.819869
1,0.01,17,100,0.01,0.0001285810154,7.219304079e-05,3.141381986e-05,0.0001198296416,9.629496836e-05,2.008755143
2,0.02,26,100,0.01,2.984561159e-05,4.630199469e-06,2.652229288e-06,3.837281724e-06,1.528036591e-05,0.2346433581
3,0.03,18,100,0.01,1.504224026e-05,1.036369048e-05,5.800882238e-06,1.242584586e-05,1.142067153e-05,0.1527021306
4,0.04,18,100,0.01,1.288820187e-05,4.972856802e-06,2.923086036e-06,1.189034782e-05,9.229840943e-06,0.1580853777
5,0.05,18,100,0.01,1.317408443e-05,3.964019456e-06,2.509612273e-06,1.114257561e-05,8.940429182e-06,0.1507049376
6,0.06,18,100,0.01,1.2968492e-05,3.839461065e-06,2.518052119e-06,1.023132591e-05,8.572395556e-06,0.1431207439
7,0.07,18,100,0.01,1.249601815e-05,3.80029028e-06,2.552142498e-06,9.245427181e-06,8.102222395e-06,0.1335877162
8,0.08,18,100,0.01,1.185570627e-05,3.721506648e-06,2.536740659e-06,8.224736675e-06,7.557921828e-06,0.1209397072
9,0.09,18,100,0.01,1.109841624e-05,3.599361759e-06,2.46478791e-06,7.218112531e-06,6.969694686e-06,0.1061961133
10,0.1,17,100,0.01,1.195650714e-05,4.231641923e-06,2.815899362e-06,1.157654609e-05,8.700726477e-06,0.1000444779
11,0.11,17,100,0.01,1.094143558e-05,4.04237707e-06,2.630595849e-06,1.012704893e-05,7.834745998e-06,0.08696193963
12,0.12,17,100,0.01,9.921821129e-06,3.830111913e-06,2.414556948e-06,8.768941653e-06,6.997083584e-06,0.07440567955
13,0.13,16,100,0.01,9.985831299e-06,4.284832649e-06,2.747514795e-06,1.162462678e-05,8.073992243e-06,0.08859391729
14,0.14,15,100,0.01,8.982158615e-06,5.350162163e-06,3.745785716e-06,1.209388908e-05,8.20969659e-06,0.09764992368
15,0.15,14,100,0.01,6.868101288e-06,7.957172691e-06,5.681985946e-06,1.05272764e-05,7.962347725e-06,0.06781333125
16,0.16,14,100,0.01,6.23383161e-06,7.096055413e-06,4.931393343e-06,9.018853279e-06,6.979846233e-06,0.05712521457
17,0.17,14,100,0.01,5.656663269e-06,6.325949464e-06,4.256138307e-06,7.670415434e-06,6.102570405e-06,0.04731363828
18,0.18,14,100,0.01,5.114578159e-06,5.632843772e-06,3.664860408e-06,6.488725977e-06,5.325002472e-06,0.03854397368
19,0.19,13,100,0.01,5.600013163e-06,7.704595546e-06,5.08358495e-06,1.000968671e-05,7.361345052e-06,0.05727940007
20,0.2,13,100,0.01,5.09251464e-06,6.684739026e-06,4.354669003e-06,8.252433825e-06,6.27863933e-06,0.04739699907
21,0.21,13,100,0.01,4.620299674e-06,5.799871525e-06,3.738348184e-06,6.753225419e-06,5.351798284e-06,0.03798706532
22,0.22,13,100,0.01,4.180186649e-06,5.027657069e-06,3.217753045e-06,5.477732099e-06,4.558255687e-06,0.03318911737
23,0.23,12,100,0.01,5.839696156e-06,6.184221979e-06,4.06588845e-06,9.982388095e-06,6.865241686e-06,0.06369654466
24,0.24,12,100,0.01,5.018363795e-06,5.301775393e-06,3.516905479e-06,7.628035257e-06,5.564358533e-06,0.04793362418
25,0.25,12,100,0.01,4.352977292e-06,4.555947657e-06,3.065687831e-06,5.817895043e-06,4.553883369e-06,0.0372620561
26,0.26,11,100,0.01,5.56365374e-06,5.543132868e-06,3.69558461e-06,9.160180626e-06,6.309651727e-06,0.05851128803
27,0.27,11,100,0.01,4.835201979e-06,4.847833085e-06,3.260301539e-06,7.440947054e-06,5.312201121e-06,0.05018958919
28,0.28,11,100,0.01,4.390486363e-06,4.281128095e-06,2.880682126e-06,6.747292703e-06,4.780918233e-06,0.04337765669
