x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag
-0.4995066821,-0.01569762988,0.9995065604,0.03141075908,71.96837962,1.079616376,0.02007325036,1.004817204,0,0,0,WALL
-0.4975353574,-0.04703093827,0.9955619646,0.09410831332,71.95435159,1.051560321,0.0598696336,1.004631143,0,0,0,WALL
-0.493600488,-0.07817863704,0.9876883406,0.156434465,71.92659196,0.9960410574,0.09904804858,1.004262608,0,0,0,WALL
-0.487717603,-0.1090178004,0.9759167619,0.2181432414,71.88585101,0.914559155,0.1371980495,1.00372168,0,0,0,WALL
-0.4799099194,-0.1394267204,0.9602936857,0.278991106,71.83287904,0.8086152168,0.1740081149,1.0030184,0,0,0,WALL
-0.4702082505,-0.1692853868,0.940880769,0.3387379202,71.76848361,0.6798243578,0.2091628974,1.002163479,0,0,0,WALL
-0.4586508846,-0.1984759611,0.9177546257,0.3971478906,71.69352481,0.5299067574,0.242358401,1.001168306,0,0,0,WALL
-0.4452834331,-0.2268832414,0.8910065242,0.4539904997,71.60891324,0.3606836286,0.2732871532,1.000044974,0,0,0,WALL
-0.4301586514,-0.2543951173,0.860742027,0.5090414158,71.51573379,0.1743247155,0.3016135045,0.9988076866,0,0,0,WALL
-0.41333623,-0.2809030118,0.8270805743,0.5620833779,71.41536275,-0.02641736285,0.3269929633,0.9974744606,0,0,0,WALL
-0.3948825593,-0.3063023105,0.7901550124,0.6129070537,71.30945219,-0.2382384709,0.3491181017,0.9960671849,0,0,0,WALL
-0.3748704675,-0.3304927739,0.7501110696,0.6613118653,71.19995585,-0.4572311578,0.3677776888,0.9946118988,0,0,0,WALL
-0.3533789333,-0.3533789333,0.7071067812,0.7071067812,71.08875418,-0.6796344919,0.3827849669,0.9931336252,0,0,0,WALL
-0.3304927739,-0.3748704675,0.6613118653,0.7501110696,70.97802877,-0.9010853146,0.3940098598,0.991661795,0,0,0,WALL
-0.3063023105,-0.3948825593,0.6129070537,0.7901550124,70.86961362,-1.117915618,0.4013009006,0.9902210386,0,0,0,WALL
-0.2809030118,-0.41333623,0.5620833779,0.8270805743,70.76588594,-1.325370979,0.404613822,0.9888429496,0,0,0,WALL
