step,physical_time,inner_iterations,inner_residual_ratio,converged,initial_inner_residual,final_inner_residual
1,0.01,51,9.885340558e-05,1,0.117129677,1.157866747e-05
2,0.02,72,9.758923733e-05,1,0.01586594746,1.548345712e-06
3,0.03,53,9.976627554e-05,1,0.0119892243,1.196120255e-06
4,0.04,50,9.742464138e-05,1,0.0108605761,1.058087732e-06
5,0.05,51,9.498312086e-05,1,0.01028842314,9.772265387e-07
6,0.06,50,9.925333146e-05,1,0.009934257943,9.860081965e-07
7,0.07,50,9.588960151e-05,1,0.009684874977,9.286788022e-07
8,0.08,49,9.615941898e-05,1,0.009488559955,9.124144122e-07
9,0.09,48,9.516665018e-05,1,0.009323752943,8.873103347e-07
10,0.1,46,9.833546532e-05,1,0.00917639815,9.023653821e-07
11,0.11,45,9.558360897e-05,1,0.009033271218,8.634326638e-07
12,0.12,43,9.73615876e-05,1,0.008889084177,8.654553478e-07
13,0.13,41,9.854593704e-05,1,0.008748853701,8.62163986e-07
14,0.14,39,9.911439152e-05,1,0.008617588443,8.541270349e-07
15,0.15,37,9.906953471e-05,1,0.008494216161,8.415180428e-07
16,0.16,35,9.851184136e-05,1,0.008375621553,8.250979017e-07
17,0.17,33,9.763645149e-05,1,0.008261187052,8.065929889e-07
18,0.18,31,9.682558152e-05,1,0.008151868467,7.893094048e-07
19,0.19,29,9.69325322e-05,1,0.008047684824,7.800824684e-07
20,0.2,27,9.946313227e-05,1,0.007947766179,7.905097188e-07
21,0.21,26,9.607738342e-05,1,0.00785175627,7.543761977e-07
22,0.22,25,9.389763245e-05,1,0.007759842234,7.28630814e-07
23,0.23,24,9.311540625e-05,1,0.007671368249,7.14322571e-07
24,0.24,23,9.428007569e-05,1,0.007584329457,7.150511552e-07
25,0.25,22,9.809296827e-05,1,0.007496644586,7.353681195e-07
26,0.26,22,9.016263741e-05,1,0.007407378465,6.678687787e-07
27,0.27,21,9.813017797e-05,1,0.00731653316,7.179727011e-07
28,0.28,21,9.223016809e-05,1,0.007224313133,6.662996145e-07
29,0.29,21,8.73492168e-05,1,0.007131019071,6.228889308e-07
30,0.3,20,9.935279958e-05,1,0.007037349838,6.99180408e-07
31,0.31,20,9.545871297e-05,1,0.006944338699,6.628976346e-07
32,0.32,20,9.203225924e-05,1,0.006852830364,6.306814605e-07
33,0.33,20,8.88570985e-05,1,0.006763024185,6.009427061e-07
34,0.34,20,8.585328069e-05,1,0.006674354837,5.730152592e-07
35,0.35,19,9.691280197e-05,1,0.006585626948,6.382315603e-07
36,0.36,19,9.37074564e-05,1,0.006495579659,6.086842476e-07
37,0.37,19,9.094180479e-05,1,0.00640396983,5.823885741e-07
38,0.38,19,8.858080535e-05,1,0.006312342259,5.59152361e-07
39,0.39,18,9.87572801e-05,1,0.006223369089,6.146030043e-07
40,0.4,18,9.719891153e-05,1,0.00613898172,5.96702341e-07
41,0.41,18,9.579704794e-05,1,0.006058991877,5.804335353e-07
42,0.42,18,9.440401049e-05,1,0.005981455153,5.64673355e-07
43,0.43,18,9.301497237e-05,1,0.005904177771,5.491769322e-07
44,0.44,18,9.169874118e-05,1,0.005825855697,5.342236337e-07
45,0.45,18,9.060850058e-05,1,0.005746156156,5.206505934e-07
46,0.46,18,8.983697146e-05,1,0.005665260985,5.089498894e-07
47,0.47,18,8.947254445e-05,1,0.005583653562,4.995836915e-07
48,0.48,18,8.946871011e-05,1,0.005502268759,4.922808885e-07
49,0.49,18,8.969353805e-05,1,0.005422522743,4.8636525e-07
50,0.5,18,8.995903305e-05,1,0.005345854884,4.809079363e-07
