step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
0,0,1.330612435e-10,156.9524196,-8.135214724e-11,0,156.9524196,0,1.330631161e-10
1,0,1.346352302e-10,146.8000886,-6.013345377e-11,0.5145364782,146.2855521,-7.056568871e-12,1.416915474e-10
2,0,1.36033303e-10,137.6150402,-2.157607426e-11,1.019565518,136.5954747,-1.336809049e-11,1.494027124e-10
3,0,1.369754079e-10,129.2968142,3.262445869e-11,1.51453659,127.7822776,-1.874766314e-11,1.557236562e-10
4,0,1.374153888e-10,121.75601,1.004261119e-10,1.999074996,119.756935,-2.305088932e-11,1.604663069e-10
5,0,1.374241033e-10,114.9130004,1.796485183e-10,2.472966812,112.4400336,-2.628225762e-11,1.637079361e-10
6,0,1.371098568e-10,108.6968773,2.681053157e-10,2.936181611,105.7606956,-2.849038713e-11,1.656004223e-10
7,0,1.365257323e-10,103.0444997,3.63714503e-10,3.388869209,99.6556305,-2.982370254e-11,1.663502669e-10
8,0,1.357808091e-10,97.89962127,4.645692164e-10,3.831329271,94.068292,-3.046159852e-11,1.662404658e-10
9,0,1.349435714e-10,93.21209808,5.689211324e-10,4.263969255,88.94812883,-3.055980469e-11,1.655029447e-10
10,0,1.340836253e-10,88.93718304,6.752790549e-10,4.687263622,84.24991942,-3.031431356e-11,1.643982728e-10
11,0,1.332630607e-10,85.03490046,7.823085513e-10,5.101718262,79.9331822,-2.986391689e-11,1.631275115e-10
12,0,1.325520683e-10,81.46949708,8.888957903e-10,5.507844213,75.96165287,-2.933761567e-11,1.618892798e-10
13,0,1.319980599e-10,78.20895993,9.940899215e-10,5.906138674,72.30282126,-2.88345528e-11,1.608331246e-10
14,0,1.316565281e-10,75.22459393,1.097096136e-09,6.297073124,68.92752081,-2.845151892e-11,1.601089261e-10
15,0,1.316245136e-10,72.49065109,1.197259569e-09,6.681086483,65.8095646,-2.82087409e-11,1.598327026e-10
16,0,1.319354776e-10,69.98400462,1.294037932e-09,7.058582015,62.92542261,-2.81606613e-11,1.600967137e-10
17,0,1.32676752e-10,67.68386213,1.386987525e-09,7.429926834,60.25393529,-2.830963935e-11,1.609854472e-10
18,0,1.338863004e-10,65.57151237,1.47576662e-09,7.795452871,57.77605949,-2.867888566e-11,1.625660162e-10
19,0,1.356328702e-10,63.63010184,1.560081897e-09,8.155459006,55.47464284,-2.926081599e-11,1.648944314e-10
20,0,1.37969814e-10,61.84443897,1.639731795e-09,8.510212965,53.334226,-3.005076743e-11,1.680207085e-10
21,0,1.409608044e-10,60.20081563,1.71453407e-09,8.859953568,51.34086206,-3.103219071e-11,1.719945297e-10
22,0,1.446585351e-10,58.68684994,1.784373538e-09,9.204895426,49.48195451,-3.21911664e-11,1.768498126e-10
23,0,1.490103075e-10,57.29134926,1.849209647e-09,9.545231876,47.74611738,-3.349681643e-11,1.825062879e-10
24,0,1.541443791e-10,56.00418824,1.9089193e-09,9.881136963,46.12305128,-3.497703516e-11,1.891212187e-10
25,0,1.601547936e-10,54.81619862,1.963479851e-09,10.21276593,44.60343269,-3.657436853e-11,1.967305208e-10
26,0,1.670655348e-10,53.71907206,2.012867428e-09,10.54026178,43.17881028,-3.828944106e-11,2.053558434e-10
27,0,1.74925099e-10,52.70527319,2.057081477e-09,10.86375389,41.8415193,-4.010280996e-11,2.150288281e-10
28,0,1.837662984e-10,51.76796165,2.096145424e-09,11.18335839,40.58460326,-4.200563508e-11,2.257724563e-10
29,0,1.936498648e-10,50.90092206,2.130078891e-09,11.49917997,39.40174208,-4.397475439e-11,2.376255304e-10
30,0,2.045898098e-10,50.09850278,2.158906415e-09,11.81131657,38.28718621,-4.601935499e-11,2.506106433e-10
31,0,2.166520395e-10,49.35555969,2.182674569e-09,12.11985749,37.2357022,-4.810614407e-11,2.647589925e-10
32,0,2.298558113e-10,48.66740597,2.201417604e-09,12.42488398,36.24252199,-5.023885474e-11,2.800956689e-10
33,0,2.442531182e-10,48.02977043,2.215186395e-09,12.72647301,35.30329742,-5.240051448e-11,2.966553669e-10
34,0,2.598727582e-10,47.43875418,2.2240218e-09,13.02469459,34.41405959,-5.459427355e-11,3.144679517e-10
35,0,2.767535493e-10,46.89079591,2.227982882e-09,13.31961358,33.57118233,-5.680854398e-11,3.335620669e-10
