step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
1,3,3.801853939e-08,1,0,0
2,3,5.274331151e-08,1,3.401799994e-06,1.323790555
3,3,6.855902956e-08,1,3.402652083e-06,1.325824209
4,3,8.528971573e-08,1,3.403530259e-06,1.327860987
5,3,1.028057619e-07,1,3.40444433e-06,1.329900895
6,3,1.209849408e-07,1,3.405402184e-06,1.331943936
7,3,1.39705185e-07,1,3.406409918e-06,1.333990115
8,3,1.58845504e-07,1,3.407471895e-06,1.336039438
9,3,1.782893725e-07,1,3.408590896e-06,1.338091909
10,3,1.979286192e-07,1,3.409768337e-06,1.340147534
11,3,2.176667883e-07,1,3.411004512e-06,1.342206316
12,3,2.37421493e-07,1,3.412298848e-06,1.344268261
13,3,2.571256251e-07,1,3.413650135e-06,1.346333374
14,3,2.76727508e-07,1,3.415056725e-06,1.348401659
15,3,2.961901916e-07,1,3.4165167e-06,1.350473121
16,3,3.154901208e-07,1,3.418028007e-06,1.352547766
17,3,3.346153989e-07,1,3.419588554e-06,1.354625598
18,3,3.535642199e-07,1,3.421196285e-06,1.356706622
19,3,3.723428152e-07,1,3.422849229e-06,1.358790843
20,3,3.909647387e-07,1,3.424545527e-06,1.360878266
21,3,4.094490139e-07,1,3.426283456e-06,1.362968895
22,3,4.278162632e-07,1,3.428061433e-06,1.365062737
23,3,4.460890944e-07,1,3.429878015e-06,1.367159795
24,3,4.642921405e-07,1,3.431731896e-06,1.369260074
25,3,4.824532661e-07,1,3.4336219e-06,1.37136358
26,3,5.005938889e-07,1,3.435545385e-06,1.373470317
27,3,5.187394182e-07,1,3.437500106e-06,1.375580291
28,3,5.369168258e-07,1,3.439488225e-06,1.377693507
29,3,5.551523374e-07,1,3.441508979e-06,1.379809968
30,3,5.734646602e-07,1,3.443561685e-06,1.381929681
31,3,5.918759303e-07,1,3.445645736e-06,1.384052651
32,3,6.104072045e-07,1,3.447760525e-06,1.386178882
33,3,6.290784536e-07,1,3.449905536e-06,1.388308379
34,3,6.479085112e-07,1,3.452080438e-06,1.390441148
35,3,6.669151799e-07,1,3.45428484e-06,1.392577193
36,3,6.861153751e-07,1,3.45651839e-06,1.394716519
37,3,7.05528062e-07,1,3.458780771e-06,1.396859132
38,3,7.251660161e-07,1,3.461071695e-06,1.399005037
39,3,7.45041984e-07,1,3.463390904e-06,1.401154238
40,3,7.651693548e-07,1,3.465738162e-06,1.403306741
41,3,7.85562298e-07,1,3.468113253e-06,1.405462551
42,3,8.062324116e-07,1,3.47051598e-06,1.407621672
43,3,8.271911113e-07,1,3.472946147e-06,1.409784111
44,3,8.484489005e-07,1,3.475403593e-06,1.411949871
45,3,8.700157674e-07,1,3.477888169e-06,1.414118959
46,3,8.919019525e-07,1,3.480399738e-06,1.416291379
47,3,9.141163291e-07,1,3.482938173e-06,1.418467136
48,3,9.366684322e-07,1,3.485503353e-06,1.420646235
49,3,9.595668159e-07,1,3.488095165e-06,1.422828683
50,3,9.828197414e-07,1,3.490713505e-06,1.425014483
51,3,1.006436075e-06,1,3.493358271e-06,1.42720364
52,3,1.030422759e-06,1,3.496029369e-06,1.429396161
53,3,1.054788489e-06,1,3.498726709e-06,1.431592051
54,3,1.07954014e-06,1,3.501450205e-06,1.433791313
55,3,1.104685361e-06,1,3.504199774e-06,1.435993954
56,3,1.13023182e-06,1,3.506975337e-06,1.438199979
57,3,1.156186004e-06,1,3.509776819e-06,1.440409393
