step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
0,0,0,1.001536236,0,0.07987415943,0.3743931844,0.1576534844,0.2000872843,0.2299128532,2491.402578
1,0,3,1.001536236,1.323790555,0.08001091772,0.3397813188,0.1416013122,0.1974226258,0.2126497804,2253.361079
2,0,3,1.003074831,1.325824209,0.0800305687,0.3090745705,0.1272661525,0.1949093028,0.1975590367,2040.407184
3,0,3,1.00461579,1.327860987,0.07993078377,0.2818181868,0.1144320067,0.1924565404,0.184353346,1849.737945
4,0,3,1.006159117,1.329900895,0.07971251434,0.2576125666,0.1029137894,0.1900085384,0.1727807947,1678.877759
5,0,3,1.007704814,1.331943936,0.07938445265,0.2361009889,0.09255906458,0.1875453306,0.1626237988,1525.638953
6,0,3,1.009252886,1.333990115,0.0789604607,0.2169658832,0.08324058034,0.1850691103,0.153694924,1388.086474
7,0,3,1.010803336,1.336039438,0.07845606515,0.1999263893,0.07484911225,0.1825915226,0.1458320687,1264.507223
8,0,3,1.012356168,1.338091909,0.07788621423,0.1847352851,0.067288846,0.1801262065,0.1388944086,1153.383501
9,0,3,1.013911386,1.340147534,0.07726424053,0.1711754839,0.06047466705,0.1776853938,0.1327592687,1068.418045
10,0,3,1.015468992,1.342206316,0.07660155189,0.1590565241,0.05433051547,0.1752787738,0.127319705,1052.655089
11,0,3,1.017028992,1.344268261,0.07590767945,0.1482112848,0.0487882986,0.1729134087,0.1224825556,1037.421993
12,0,3,1.018591388,1.346333374,0.07519047303,0.1384930394,0.04378706744,0.1705940648,0.118166801,1022.669897
13,0,3,1.020156184,1.348401659,0.07445633925,0.1297728572,0.03927234434,0.1683236553,0.1143021335,1008.357681
14,0,3,1.021723385,1.350473121,0.07371047615,0.1219373364,0.03519553602,0.1661036685,0.1108276847,994.4501674
15,0,3,1.023292992,1.352547766,0.07295708618,0.1148866365,0.03151341136,0.1639345409,0.1076908822,980.9168638
16,0,3,1.024865011,1.354625598,0.07219956386,0.1085327731,0.02818763258,0.1618159691,0.1048464238,967.7310349
17,0,3,1.026439445,1.356706622,0.07144061197,0.1027981476,0.02518432562,0.1597470531,0.1022553072,954.8690208
18,0,3,1.028016298,1.358790843,0.07068239887,0.09761425834,0.02247372748,0.1577265504,0.09988403035,942.3097039
19,0,3,1.029595573,1.360878266,0.069926545,0.09292064636,0.02002961629,0.1557527388,0.09770372228,930.0341155
20,0,3,1.031177275,1.362968895,0.06917422645,0.08866401396,0.0178291019,0.1538235713,0.09568953565,918.025125
21,0,3,1.032761406,1.365062737,0.06842659863,0.08479703602,0.01585330972,0.1519375617,0.09382042261,906.2671835
22,0,3,1.034347971,1.367159795,0.06768462409,0.08127774177,0.0140867253,0.1500932825,0.09207837547,894.746122
23,0,3,1.035936973,1.369260074,0.06694900197,0.07806900648,0.01251674159,0.1482891343,0.09044787836,883.4489855
24,0,3,1.037528416,1.37136358,0.06622000751,0.07513819047,0.01113312053,0.1465229412,0.08891534702,872.3638958
25,0,3,1.039122304,1.373470317,0.06549847186,0.07245576795,0.009930020139,0.1447941462,0.08746976364,861.479937
26,0,3,1.04071864,1.375580291,0.06478465152,0.06999594292,0.008902841027,0.1431011312,0.08610121578,850.7870535
27,0,3,1.042317429,1.377693507,0.06407853858,0.06773599329,0.008048290062,0.141441941,0.08480097513,840.2759649
28,0,3,1.043918674,1.379809968,0.06338009032,0.065655723,0.007363667244,0.1398147868,0.08356151627,829.9380908
29,0,3,1.045522379,1.381929681,0.06268975141,0.06373672073,0.006845560509,0.138219191,0.08237684895,819.7654853
30,0,3,1.047128548,1.384052651,0.06200752626,0.06196294668,0.006485953265,0.1366538062,0.08124141558,809.750779
31,0,3,1.048737184,1.386178882,0.06133338586,0.06032012907,0.006271545146,0.1351173628,0.08015038398,799.887128
32,0,3,1.050348291,1.388308379,0.0606672741,0.05879555754,0.00618376471,0.1336086637,0.07909954125,790.1681676
33,0,3,1.051961874,1.390441148,0.06000911821,0.05737790532,0.006200518395,0.1321265906,0.07808521093,780.5879722
34,0,3,1.053577935,1.392577193,0.05935882697,0.05605706449,0.006298843644,0.1306700851,0.07710416879,771.1410178
35,0,3,1.055196479,1.394716519,0.05871628851,0.05482401441,0.006457364706,0.1292381313,0.07615357383,761.8221504
36,0,3,1.056817509,1.396859132,0.05808120343,0.05367085004,0.006657966054,0.1278293681,0.07523074871,752.626555
37,0,3,1.05844103,1.399005037,0.05745359789,0.05259020166,0.006885857973,0.1264432584,0.07433363614,743.5497294
38,0,3,1.060067045,1.401154238,0.05683342507,0.05157552465,0.00712965948,0.125079143,0.07346035838,734.5874602
39,0,3,1.061695557,1.403306741,0.05622055911,0.05062100496,0.007380923922,0.1237362298,0.07260917643,725.7358007
40,0,3,1.063326572,1.405462551,0.05561498205,0.04972131989,0.007633520956,0.1224140043,0.07177864406,716.9910507
41,0,3,1.064960092,1.407621672,0.05501652338,0.04887181092,0.007883102831,0.1211116525,0.07096732951,708.349739
42,0,3,1.066596121,1.409784111,0.0544251871,0.04806815613,0.008126649999,0.1198288281,0.07017413896,699.8866837
43,0,3,1.068234664,1.411949871,0.05384081774,0.04730656989,0.008362122846,0.1185648155,0.06939792105,691.528853
44,0,3,1.069875724,1.414118959,0.05326320925,0.04658367012,0.008588205254,0.1173188176,0.06863758085,683.2553892
45,0,3,1.071519305,1.416291379,0.05269220912,0.04589635601,0.008804085099,0.1160901934,0.06789217426,675.0652497
46,0,3,1.073165411,1.418467136,0.05212763958,0.0452418492,0.00900934991,0.114878292,0.06716082578,666.9571615
47,0,3,1.074814046,1.420646235,0.0515694101,0.04461756256,0.009203822972,0.1136826816,0.06644282017,658.929708
48,0,3,1.076465214,1.422828683,0.05101735379,0.04402120463,0.009387552715,0.1125027715,0.06573742578,650.9813941
49,0,3,1.078118918,1.425014483,0.05047133762,0.0434506745,0.009560700958,0.1113380756,0.06504400648,643.1106918
50,0,3,1.079775162,1.42720364,0.04993130626,0.0429039971,0.009723498686,0.1101882965,0.06436205293,635.316072
51,0,3,1.081433951,1.429396161,0.04939701693,0.04237951649,0.00987632168,0.1090527171,0.06369090503,627.5960265
