x,y,nx,ny,tag,cell_u,cell_v,cell_pressure,wall_u,wall_v,wall_pressure
-0.4995066821,-0.01569762988,0.9995065604,0.03141075908,WALL,8.691273896e-05,-0.0004208577224,72.0619771,0,0,72.06273995
-0.4975353574,-0.04703093827,0.9955619646,0.09410831332,WALL,0.0001917098525,-0.001253893055,72.05267602,0,0,72.05342975
-0.493600488,-0.07817863704,0.9876883406,0.156434465,WALL,0.0003980009029,-0.002057415571,72.03424159,0,0,72.03497735
-0.487717603,-0.1090178004,0.9759167619,0.2181432414,WALL,0.0006992641131,-0.00281271043,72.00702144,0,0,72.0077311
-0.4799099194,-0.1394267204,0.9602936857,0.278991106,WALL,0.001085949919,-0.003502534936,71.97152476,0,0,71.97220086
-0.4702082505,-0.1692853868,0.940880769,0.3387379202,WALL,0.001545845882,-0.004111580098,71.92841207,0,0,71.92904764
-0.4586508846,-0.1984759611,0.9177546257,0.3971478906,WALL,0.00206447305,-0.004626919247,71.87847926,0,0,71.87906763
-0.4452834331,-0.2268832414,0.8910065242,0.4539904997,WALL,0.002625479851,-0.00503835753,71.82263482,0,0,71.82316925
-0.4301586514,-0.2543951173,0.860742027,0.5090414158,WALL,0.003211205064,-0.00533869932,71.76188875,0,0,71.76236244
-0.41333623,-0.2809030118,0.8270805743,0.5620833779,WALL,0.003803205761,-0.005524015022,71.697328,0,0,71.6977342
-0.3948825593,-0.3063023105,0.7901550124,0.6129070537,WALL,0.004382869018,-0.00559375555,71.63009252,0,0,71.63042497
-0.3748704675,-0.3304927739,0.7501110696,0.6613118653,WALL,0.004932038791,-0.005550766596,71.56134846,0,0,71.56160194
-0.3533789333,-0.3533789333,0.7071067812,0.7071067812,WALL,0.005433619746,-0.005401171852,71.49226059,0,0,71.49243153
-0.3304927739,-0.3748704675,0.6613118653,0.7501110696,WALL,0.005872206629,-0.005154165449,71.42396351,0,0,71.42405053
-0.3063023105,-0.3948825593,0.6129070537,0.7901550124,WALL,0.006234652512,-0.004821598519,71.35753424,0,0,71.35753853
-0.2809030118,-0.41333623,0.5620833779,0.8270805743,WALL,0.006510523921,-0.004417519232,71.29396473,0,0,71.29388995
-0.2543951173,-0.4301586514,0.5090414158,0.860742027,WALL,0.006692452721,-0.003957604368,71.23413805,0,0,71.23399006
-0.2268832414,-0.4452834331,0.4539904997,0.8910065242,WALL,0.006776377553,-0.003458521568,71.17880965,0,0,71.17859594
-0.1984759611,-0.4586508846,0.3971478906,0.9177546257,WALL,0.006761619584,-0.002937284661,71.12859029,0,0,71.12831933
-0.1692853868,-0.4702082505,0.3387379202,0.940880769,WALL,0.006650795063,-0.002410603871,71.08393714,0,0,71.08361772
-0.1394267204,-0.4799099194,0.278991106,0.9602936857,WALL,0.006449740002,-0.001894196873,71.04515306,0,0,71.0447941
-0.1090178004,-0.487717603,0.2181432414,0.9759167619,WALL,0.00616688303,-0.001402442912,71.01236324,0,0,71.01197277
-0.07817863704,-0.493600488,0.156434465,0.9876883406,WALL,0.005812925578,-0.0009475731268,70.98556699,0,0,70.9851528
-0.04703093827,-0.4975353574,0.09410831332,0.9955619646,WALL,0.005400425219,-0.000539634137,70.96462302,0,0,70.96419245
-0.01569762988,-0.4995066821,0.03141075908,0.9995065604,WALL,0.004943112962,-0.0001861164972,70.94926535,0,0,70.94882532
0.01569762988,-0.4995066821,-0.03141075908,0.9995065604,WALL,0.004455274697,0.0001081598572,70.9391235,0,0,70.93868066
0.04703093827,-0.4975353574,-0.09410831332,0.9955619646,WALL,0.003951136362,0.0003410210782,70.93374322,0,0,70.93330394
0.07817863704,-0.493600488,-0.156434465,0.9876883406,WALL,0.003444269804,0.0005127850553,70.9326091,0,0,70.93217935
0.1090178004,-0.487717603,-0.2181432414,0.9759167619,WALL,0.002947075598,0.0006260015001,70.93516813,0,0,70.93475339
0.1394267204,-0.4799099194,-0.278991106,0.9602936857,WALL,0.002470370295,0.0006850886237,70.94085281,0,0,70.94045784
0.1692853868,-0.4702082505,-0.3387379202,0.940880769,WALL,0.002023114076,0.0006959187781,70.94910424,0,0,70.94873297
0.1984759611,-0.4586508846,-0.3971478906,0.9177546257,WALL,0.001612287926,0.0006653845389,70.95939074,0,0,70.95904626
0.2268832414,-0.4452834331,-0.4539904997,0.8910065242,WALL,0.001242885992,0.0006009844575,70.9712222,0,0,70.97090671
0.2543951173,-0.4301586514,-0.5090414158,0.860742027,WALL,0.0009180026664,0.0005104484877,70.98415924,0,0,70.98387413
0.2809030118,-0.41333623,-0.5620833779,0.8270805743,WALL,0.0006389851227,0.0004013830788,70.99781797,0,0,70.99756384
0.3063023105,-0.3948825593,-0.6129070537,0.7901550124,WALL,0.0004056509805,0.0002810773586,71.01187825,0,0,71.01165518
0.3304927739,-0.3748704675,-0.6613118653,0.7501110696,WALL,0.0002165922817,0.0001563273962,71.02607726,0,0,71.0258849
0.3533789333,-0.3533789333,-0.7071067812,0.7071067812,WALL,6.94080675e-05,3.33572315e-05,71.04020266,0,0,71.04004044
0.3748704675,-0.3304927739,-0.7501110696,0.6613118653,WALL,-3.907664765e-05,-8.222145621e-05,71.0540824,0,0,71.05394961
0.3948825593,-0.3063023105,-0.7901550124,0.6129070537,WALL,-0.0001126415589,-0.0001854399262,71.06757192,0,0,71.06746778
0.41333623,-0.2809030118,-0.8270805743,0.5620833779,WALL,-0.0001555551157,-0.0002720035688,71.08054203,0,0,71.0804657
0.4301586514,-0.2543951173,-0.860742027,0.5090414158,WALL,-0.0001724770129,-0.0003383631483,71.09286701,0,0,71.09281752
0.4452834331,-0.2268832414,-0.8910065242,0.4539904997,WALL,-0.0001683916266,-0.0003817662524,71.10441766,0,0,71.10439393
0.4586508846,-0.1984759611,-0.9177546257,0.3971478906,WALL,-0.000148518653,-0.0004003764267,71.11504914,0,0,71.11504987
0.4702082505,-0.1692853868,-0.940880769,0.3387379202,WALL,-0.0001182001176,-0.0003936037765,71.12459244,0,0,71.12461559
0.4799099194,-0.1394267204,-0.9602936857,0.278991106,WALL,-8.278508959e-05,-0.0003623102354,71.13287812,0,0,71.13292097
0.487717603,-0.1090178004,-0.9759167619,0.2181432414,WALL,-4.73613937e-05,-0.0003085810593,71.1397608,0,0,71.1398204
0.493600488,-0.07817863704,-0.9876883406,0.156434465,WALL,-1.644685931e-05,-0.0002354405881,71.14510488,0,0,71.14517817
0.4975353574,-0.04703093827,-0.9955619646,0.09410831332,WALL,6.444868358e-06,-0.0001472351551,71.14875798,0,0,71.14884069
0.4995066821,-0.01569762988,-0.9995065604,0.03141075908,WALL,1.850206716e-05,-4.939543109e-05,71.15062287,0,0,71.15071071
0.4995066821,0.01569762988,-0.9995065604,-0.03141075908,WALL,1.843053565e-05,5.184974308e-05,71.15062396,0,0,71.15071185
0.4975353574,0.04703093827,-0.9955619646,-0.09410831332,WALL,6.196701637e-06,0.0001498023576,71.14875908,0,0,71.14884198
0.493600488,0.07817863704,-0.9876883406,-0.156434465,WALL,-1.684162583e-05,0.0002381515848,71.14509414,0,0,71.14516754
0.487717603,0.1090178004,-0.9759167619,-0.2181432414,WALL,-4.798802307e-05,0.0003114130853,71.13973429,0,0,71.13979411
0.4799099194,0.1394267204,-0.9602936857,-0.278991106,WALL,-8.353992881e-05,0.0003651676104,71.13281928,0,0,71.13286206
0.4702082505,0.1692853868,-0.940880769,-0.3387379202,WALL,-0.000119071364,0.000396282921,71.12450554,0,0,71.12452853
0.4586508846,0.1984759611,-0.9177546257,-0.3971478906,WALL,-0.0001494774486,0.0004028269201,71.11494149,0,0,71.11494209
0.4452834331,0.2268832414,-0.8910065242,-0.4539904997,WALL,-0.0001694201779,0.0003840049743,71.1042931,0,0,71.10426927
0.4301586514,0.2543951173,-0.860742027,-0.5090414158,WALL,-0.0001735593563,0.0003404043992,71.09272729,0,0,71.0926777
0.41333623,0.2809030118,-0.8270805743,-0.5620833779,WALL,-0.0001566715894,0.00027384711,71.08038886,0,0,71.08031242
0.3948825593,0.3063023105,-0.7901550124,-0.6129070537,WALL,-0.0001137683175,0.0001870820954,71.0674073,0,0,71.06730306
0.3748704675,0.3304927739,-0.7501110696,-0.6613118653,WALL,-4.019159838e-05,8.366290142e-05,71.05390847,0,0,71.05377558
0.3533789333,0.3533789333,-0.7071067812,-0.7071067812,WALL,6.832279373e-05,-3.21084486e-05,71.04002122,0,0,71.0398589
0.3304927739,0.3748704675,-0.6613118653,-0.7501110696,WALL,0.000215548392,-0.0001552578033,71.0258896,0,0,71.02569717
0.3063023105,0.3948825593,-0.6129070537,-0.7901550124,WALL,0.0004046547902,-0.0002801700666,71.01168506,0,0,71.01146192
0.2809030118,0.41333623,-0.5620833779,-0.8270805743,WALL,0.0006380395612,-0.0004006209714,70.99761927,0,0,70.9973651
0.2543951173,0.4301586514,-0.5090414158,-0.860742027,WALL,0.0009171093707,-0.0005098163759,70.98395457,0,0,70.98366943
0.2268832414,0.4452834331,-0.4539904997,-0.8910065242,WALL,0.001242047609,-0.0006004697782,70.97101068,0,0,70.97069518
0.1984759611,0.4586508846,-0.3971478906,-0.9177546257,WALL,0.001611509854,-0.0006649777211,70.95917125,0,0,70.95882676
0.1692853868,0.4702082505,-0.3387379202,-0.940880769,WALL,0.002022406558,-0.0006956123578,70.94887548,0,0,70.9485042
0.1394267204,0.4799099194,-0.278991106,-0.9602936857,WALL,0.002469749854,-0.0006848765291,70.94061346,0,0,70.94021847
0.1090178004,0.487717603,-0.2181432414,-0.9759167619,WALL,0.002946566118,-0.0006258767021,70.93491706,0,0,70.93450229
0.07817863704,0.493600488,-0.156434465,-0.9876883406,WALL,0.003443898705,-0.0005127394851,70.93234569,0,0,70.93191589
0.04703093827,0.4975353574,-0.09410831332,-0.9955619646,WALL,0.003950935179,-0.0003410404386,70.93346703,0,0,70.93302767
0.01569762988,0.4995066821,-0.03141075908,-0.9995065604,WALL,0.004455277847,-0.0001082255724,70.93883477,0,0,70.93839184
-0.01569762988,0.4995066821,0.03141075908,-0.9995065604,WALL,0.004943352299,0.0001860296921,70.94896513,0,0,70.94852497
-0.04703093827,0.4975353574,0.09410831332,-0.9955619646,WALL,0.005400926129,0.0005395570749,70.96431303,0,0,70.96388232
